#tail	head
BCKDHA	FASN
BCKDHA	IVD
BCKDHA	CTH
BCKDHA	SAT2
FGF9	HSP90AA1
FGF9	UBE2I
FGF9	ALPP
FGF9	RPS27A
FGF9	HBEGF
FGF9	IL1RAP
FGF9	PTK2
FGF9	FGF4
FGF9	SULT1E1
FGF9	CASP3
FGF9	IGHG2
FGF9	ERLIN2
FGF9	IRF8
FGF9	LAT
FGF9	VEGFA
CLDN7	TJP1
CLDN7	TMEM60
CLDN7	UPK1B
CLDN7	PRKCA
CLDN7	LAT
COMMD4	TIPRL
COMMD4	RPS27A
COMMD4	TRIM25
COMMD4	UCHL5
LYPD3	DNM3
LYPD3	VDAC3
LYPD3	SLC35B2
LYPD3	PALB2
LYPD3	ATP2B4
C1QTNF9	COL14A1
C1QTNF9	ZNF407
STAG1	SMC6
STAG1	SNW1
STAG1	HIST1H4B
STAG1	UBE2I
CHRNE	SLC4A4
CHRNE	ACTN2
CHRNE	ATP1B2
TPM4	CLIC2
TPM4	GRIA3
TPM4	TRDN
TPM4	FASN
TPM4	MYL6
TPM4	DUSP21
TPM4	TRPV6
TPM4	CATSPER2
TPM4	ACTN2
TPM4	ITGB5
TPM4	NCALD
TPM4	ADD1
TPM4	G3BP1
TPM4	MYBPC3
TPM4	MYH3
TPM4	ATP2B4
RIOK1	MCM6
RIOK1	FASN
RIOK1	RPS16
RIOK1	RPS27A
RIOK1	STRAP
RIOK1	PKM
RIOK1	SNW1
RIOK1	HSP90AA1
RIOK1	RPL4
RIOK1	RPS20
RIOK1	G3BP1
RIOK1	RPL22
RIOK1	TRIM25
RIOK1	HIST1H4B
SULT1E1	PRDX6
SULT1E1	PTK2
SULT1E1	VEGFA
SULT1E1	UBE2I
SULT1E1	ABCC2
SULT1E1	CASP3
SULT1E1	SLC35B2
SULT1E1	ALPP
SULT1E1	SLC5A1
SLC22A9	PTK2
SLC22A9	SLC35B2
SLC22A9	CASP3
SLC22A9	SLC22A5
SLC22A9	PPARG
SLC22A9	SLC26A2
SLC22A9	VEGFA
IL1RAP	FGF4
IL1RAP	ERLIN2
IL1RAP	IGHG2
IL1RAP	LAT
IL1RAP	STAT4
CXCR4	PPARG
CXCR4	TMEM63B
CXCR4	ATP2B4
CXCR4	TJP1
CXCR4	SLC5A1
CXCR4	PKM
CXCR4	ALPP
CXCR4	VEGFA
CXCR4	ITIH1
CXCR4	TRPV6
CXCR4	SLC2A1
CXCR4	IRF8
CXCR4	PTK2
SLC4A4	SLC38A1
SLC4A4	SLC8A2
SLC4A4	SLC5A1
SLC4A4	SLC22A5
SLC4A4	GRIA3
SLC4A4	SLC6A6
SLC4A4	ACTN2
ADD1	CASP3
ADD1	NAPA
ADD1	SNW1
ADD1	PRKCA
ADD1	PKM
ADD1	TRIM25
ADD1	TCTE1
PPCS	FASN
PPCS	ANPEP
PPCS	PKM
PPCS	CTH
PPCS	NUDT2
PPCS	SLC27A2
PPCS	AMPD3
PPCS	NME6
PTK2	PRDX6
PTK2	IRF8
PTK2	SLC2A1
PTK2	POR
PTK2	SDC1
PTK2	PPARG
PTK2	FASN
PTK2	ACAN
PTK2	LTF
PTK2	DUSP21
PTK2	PKM
PTK2	ABCC2
PTK2	ITGB7
PTK2	ACTN2
PTK2	CA1
PTK2	HSP90AA1
PTK2	PRKCA
PTK2	ITGB5
PTK2	HNRNPL
PTK2	HBEGF
PTK2	LAT
PTK2	CASP3
PTK2	SLC5A1
PTK2	STAT4
PTK2	TRIM25
PTK2	AQP7
PTK2	VEGFA
PTK2	SLC22A5
PTK2	CCR9
PTK2	COL14A1
PTK2	ATP2B4
PTK2	ALPP
PTK2	TRPV6
ATP2B4	STXBP1
ATP2B4	SLC8A2
ATP2B4	PRKCA
ATP2B4	SLC4A1
ATP2B4	ITGB5
ATP2B4	CCR9
ATP2B4	NFATC1
ATP2B4	VEGFA
ATP2B4	MTHFD1L
ATP2B4	ACTN2
ATP2B4	TRPV6
ATP2B4	SLC2A1
ATP2B4	TRIM25
ATP2B4	VDAC3
ATP2B4	MYL6
ATP2B4	MYBPC3
ATP2B4	MYH3
ITIH1	TRPV6
ITIH1	CA1
ITIH1	LDB3
ITIH1	ITGB5
ITIH1	PALB2
