#tail	head
CAPZA2	IPO7
CAPZA2	IQGAP1
CAPZA2	PLA2G4A
CAPZA2	DCTN5
CAPZA2	UNC45A
CAPZA2	CARD10
CAPZA2	ELAVL1
CAPZA2	ABLIM1
CAPZA2	CEBPA
CAPZA2	CD59
CAPZA2	APC
YY1	HIST1H3H
YY1	DDX5
YY1	MDC1
YY1	POLR3E
YY1	RBM10
YY1	SUZ12
YY1	KRTAP10-5
YY1	CBX8
YY1	TP53
YY1	BCL2L1
YY1	RARA
YY1	HIST1H4A
YY1	FOXO4
YY1	ATP5F1A
YY1	HIST3H3
YY1	HIST1H2AJ
YY1	ARMC8
YY1	RPS8
YY1	HIST1H2BC
YY1	EPC2
YY1	FOXO3
YY1	ELAVL1
YY1	STAT3
YY1	HSPA1A
YY1	SP1
YY1	HIST1H3A
YY1	WDR5
YY1	BRCA2
YY1	NCL
YY1	MKI67
YY1	KDM6A
YY1	ING3
YY1	ID2
CBX8	CARD10
CBX8	HIST1H3A
CBX8	RPS12
CBX8	HIST1H4A
CBX8	USP11
CBX8	HIST3H3
CBX8	HIST1H3H
CBX8	HIST1H2AJ
CBX8	HSPA1A
CBX8	NCL
CBX8	RPS8
CBX8	RARA
CBX8	HIST1H2BC
CBX8	SUZ12
DCTN5	PLA2G4A
DCTN5	CD59
RPS8	HIST1H2BC
RPS8	MRPS9
RPS8	TP53
RPS8	NCL
RPS8	MKI67
RPS8	RPL37
RPS8	DDX5
RPS8	VDAC2
RPS8	RARA
RPS8	SMG6
RPS8	RPS12
RPS8	UBL4A
RPS8	HIST1H1D
RPS8	HNRNPD
RPS8	RPL9
RPS8	EIF4A3
RPS8	ATP5F1A
IQGAP1	DDX5
IQGAP1	DNM1L
IQGAP1	IPO7
IQGAP1	EIF4A3
IQGAP1	HIST3H3
IQGAP1	TP53
IQGAP1	ABLIM1
IQGAP1	MYB
IQGAP1	CD59
IQGAP1	POLR3E
IQGAP1	APC
IQGAP1	SP1
STAT3	BCL2L1
STAT3	FOXO3
STAT3	PIK3CA
STAT3	PLA2G4A
STAT3	GEN1
STAT3	ELAVL1
STAT3	SP1
STAT3	TP53
STAT3	FOXO4
STAT3	RNLS
STAT3	CEBPA
STAT3	SUZ12
STAT3	PRKD3
STAT3	SGMS1
PLA2G5	ACSL4
PLA2G5	SGMS1
PLA2G5	PLA2G4A
PLA2G5	LPCAT4
PLA2G5	CYP2C19
ING3	HSPA1A
ING3	HIST1H4A
ING3	YEATS4
ING3	TP53
ING3	FOXA1
ING3	MYB
ING3	ELAVL1
ING3	SP1
ING3	HIST1H2AJ
ING3	EPC2
ING3	CEBPA
HIST1H2AJ	RARA
HIST1H2AJ	HIST1H2BC
HIST1H2AJ	WDR5
HIST1H2AJ	YEATS4
HIST1H2AJ	HIST3H3
HIST1H2AJ	EHMT2
HIST1H2AJ	TAF9B
HIST1H2AJ	MYB
HIST1H2AJ	HIST1H3A
HIST1H2AJ	KDM6A
HIST1H2AJ	SUZ12
HIST1H2AJ	MEIS1
HIST1H2AJ	HIST1H3H
HIST1H2AJ	FOXA1
HIST1H2AJ	HIST1H4A
SLC6A15	SP1
SLC6A15	CEBPA
SLC6A15	ACSL4
LOX	MDC1
LOX	FOXO4
LOX	PRDX6
LOX	HSPA1A
LOX	TPO
TMUB1	RARA
TMUB1	RIC3
TMUB1	SP1
NCL	HIST1H2BC
NCL	UBL4A
NCL	ELAVL1
NCL	GTF2F1
NCL	BRCA2
NCL	MYB
NCL	MKI67
NCL	RPS12
NCL	RPL9
NCL	DDX5
NCL	MDC1
NCL	TP53
NCL	HMGA1
NCL	HIST1H1D
NCL	RARA
NCL	KCTD12
NCL	ANAPC1
NCL	HNRNPD
NCL	SP1
NCL	ATP5F1A
NCL	VDAC2
NCL	HIST3H3
NCL	SUZ12
BRCA2	USP11
BRCA2	GEN1
BRCA2	MDC1
BRCA2	INTS5
BRCA2	HIST1H2BC
BRCA2	HIST3H3
BRCA2	TP53
BRCA2	SP1
BRCA2	HIST1H4A
MRPS18A	MRPL14
MRPS18A	TRMT61B
MRPS18A	MRPS9
MRPS18A	GFM1
CARD10	TP53
CARD10	PIK3CA
RBM48	ID2
RBM48	ARMC7
SPEG	MBD1
SPEG	TP53
SPEG	SP1
SPEG	FOXO3
SPEG	FLI1
RARA	HIST3H3
RARA	TP53
RARA	FOXA1
RARA	HIST1H2BC
RARA	MBD1
RARA	SP1
RARA	HIST1H3A
RARA	FOXO4
RARA	ATP5F1A
RARA	SUZ12
RARA	MKI67
RARA	KDM6A
RARA	UBL4A
RARA	HIST1H3H
RARA	CEBPA
RARA	RPS12
RARA	HMGA1
RARA	PRDX6
RARA	HIST1H4A
RARA	RPL37
RARA	WDR5
RARA	HIST1H1D
RARA	RPL9
DNM1L	KCTD12
DNM1L	EIF4A3
DNM1L	WDR5
DNM1L	SP1
DNM1L	PRDX6
DNM1L	BCL2L1
HMGA1	SMG6
HMGA1	HNRNPD
HMGA1	HIST1H3A
HMGA1	MEIS1
HMGA1	HIST3H3
HMGA1	TP53
HMGA1	HSPA1A
HMGA1	HIST1H4A
HMGA1	HIST1H1D
HMGA1	HIST1H3H
HMGA1	SP1
HMGA1	FOXA1
HMGA1	GEN1
HIST1H2BC	PIK3CA
HIST1H2BC	HIST1H3H
HIST1H2BC	FOXA1
HIST1H2BC	RPS12
HIST1H2BC	RNF169
HIST1H2BC	WDR5
HIST1H2BC	HIST3H3
HIST1H2BC	VDAC2
HIST1H2BC	EHMT2
HIST1H2BC	ATP5F1A
HIST1H2BC	MDC1
HIST1H2BC	TAF9B
HIST1H2BC	MYB
HIST1H2BC	HNRNPD
HIST1H2BC	DDX5
HIST1H2BC	HIST1H3A
HIST1H2BC	KDM6A
HIST1H2BC	SUZ12
HIST1H2BC	HIST1H4A
HIST1H2BC	YEATS4
HIST1H2BC	MEIS1
HIST1H2BC	EIF4A3
ICE2	TAF8
ICE2	PIK3CA
ICE2	JCHAIN
ICE2	SP1
ICE2	ELAVL1
ICE2	GTF2F1
ICE2	INTS5
ARMC8	DDX5
ARMC8	MRPS9
ARMC8	GRAMD1A
TEKT5	RHOXF2
RNLS	TPO
RNLS	SP1
POLR3E	BAG5
POLR3E	SP1
ID2	FOXO3
ID2	FOXA1
ID2	TP53
ID2	HSPA1A
ID2	FOXO4
HNRNPUL1	FOXO4
HNRNPUL1	DDX5
HNRNPUL1	SP1
HNRNPUL1	TP53
HNRNPUL1	HNRNPD
HNRNPUL1	MYB
HNRNPUL1	EIF4A3
HNRNPUL1	FOXA1
HNRNPUL1	ELAVL1
HNRNPUL1	DES
HNRNPUL1	GTF2F1
MEIS1	HIST1H3A
MEIS1	SP1
