#tail	head
PURA	YBX1
PURA	XBP1
PURA	UBC
PURA	HNF1A
PURA	SP1
PURA	TNIP2
TPSB2	TPSAB1
NAIP	HNF1A
CD4	SYNCRIP
CD4	YBX1
CD4	HIST1H2BF
CD4	IL23R
UBE2K	DEK
UBE2K	ELOC
UBE2K	UBC
UBE2K	ASB14
UBE2K	RNF114
UBE2K	SP1
UBE2K	FBXO11
UBE2K	HNF4A
UBE2K	BTBD6
ARRB2	AGTR1
ARRB2	ALYREF
ARRB2	TUBA1C
ARRB2	FOXA1
ARRB2	RPS19
ARRB2	SP1
ARRB2	FZD5
NAPA	HNF4A
NAPA	EMD
NAPA	HSPD1
NAPA	HIST1H1B
NAPA	SQSTM1
NAPA	SYNCRIP
NAPA	NPM1
NAPA	PDHA1
SP1	SLCO2A1
SP1	CDKN2C
SP1	SQSTM1
SP1	ATP12A
SP1	UBC
SP1	PODN
SP1	HSPD1
SP1	NPM1
SP1	TNIP2
SP1	LSM2
SP1	NUFIP2
SP1	FUS
SP1	SYNCRIP
SP1	PRSS12
SP1	CCND1
SP1	YBX1
SP1	DPF2
IFNA13	C5
IFNA13	AGTR1
EVA1A	FAM20A
UBE2V2	HIST1H2BD
UBE2V2	TRIM11
UBE2V2	BTBD6
UBE2V2	ELOC
RPS19	HSPD1
RPS19	HIST1H1B
RPS19	UBC
RPS19	NPM1
RPS19	YBX1
RPS19	HNF4A
CCND1	INS
CCND1	HIST1H3I
CCND1	CDKN2C
CCND1	XBP1
CCND1	FOXA1
CCND1	SLCO2A1
CCND1	HIST1H2BD
CCND1	HIST1H2BF
CCND1	UBC
CCND1	SQSTM1
HIST1H3D	PDHA1
HIST1H3D	EMD
HIST1H3D	ST13
HIST1H3D	HIST1H2BF
HIST1H3D	HIST1H2BD
HIST1H3D	BCCIP
HIST1H3D	DPF2
HIST1H3D	NOG
HIST1H3D	FOXA1
HIST1H3D	SNRPG
HIST1H3D	PHF3
HIST1H3D	HIST1H1B
TRIM11	PGPEP1
TRIM11	UBE2R2
TRIM11	NUFIP2
TRIM11	SQSTM1
TRIM11	UBE2E3
TRIM11	UBC
FUS	ELOC
FUS	ST13
FUS	SF3B2
FUS	UBC
FUS	HSPD1
FUS	ALYREF
FUS	COPS6
FUS	SNRPG
FUS	SYNCRIP
FUS	CA2
FUS	YBX1
FUS	NPM1
FUS	SHKBP1
KCNG2	ATP1B1
KCNG2	FXYD6
EMD	COPS6
EMD	SQSTM1
EMD	HIST1H3I
EMD	PDHA1
ERCC6	HNF4A
ERCC6	INS
ERCC6	TYR
FBXO11	NOG
FBXO11	FOXI1
FBXO11	UBE2R2
FBXO11	UBE2E3
FBXO11	COPS6
FBXO11	UBC
COPS6	FOXI1
COPS6	NPM1
COPS6	TUBA1C
COPS6	UBC
COPS6	SNRPG
COPS6	SYNCRIP
THOC7	INS
THOC7	SF3B2
THOC7	AGTR1
THOC7	ALYREF
ELOC	UBC
ELOC	SQSTM1
ELOC	INS
