#tail	head
GFRA3	NOG
GFRA3	FOXM1
RBPMS	LEF1
RBPMS	FOXS1
RBPMS	JUN
RBPMS	HNRNPLL
RBPMS	NOG
RBPMS	GRAP
TWF1	UBE2A
TWF1	SH3KBP1
TWF1	DUSP12
TWF1	STYX
TWF1	PTPN4
TWF1	DUSP1
TWF1	PTPMT1
TWF1	EYA3
CUL3	MOV10
CUL3	NOG
CUL3	UBR5
CUL3	COPS2
CUL3	SUPT5H
CUL3	NFKB1
CUL3	HOOK3
CUL3	AKAP8L
CUL3	KIF13B
CUL3	SENP3
CUL3	KLHL20
CUL3	PSMD14
CUL3	PSMD3
CUL3	UBC
CUL3	PSMB6
CUL3	KBTBD2
CUL3	RPL10
CUL3	DCTN2
CUL3	SDHB
CUL3	NCBP3
CUL3	CASP1
CUL3	UBE2A
CUL3	SUCLG2
CUL3	AKAP8
CUL3	HOOK2
CUL3	KLHL4
PLEKHN1	AKAP8L
PLEKHN1	MTUS2
NOG	MAP3K20
NOG	MYC
NOG	TAB2
NOG	BCL2L1
NOG	LEF1
NOG	EYA3
NOG	SUCLG2
NOG	ZFP1
NOG	AGPAT2
NOG	NRP2
NOG	MOV10
NOG	PLA2G4A
NOG	KBTBD2
NOG	HMGCS1
NOG	ACP5
NOG	SEPT4
NOG	VDR
NOG	HNF1A
NOG	ELOVL4
NOG	ADRB2
NOG	ENPP1
NOG	CSNK2A1
NOG	JUN
NOG	SH3KBP1
NOG	SAT1
NOG	ACACB
NOG	MTAP
NOG	CXCL8
NOG	VSX1
NOG	KIAA1107
NOG	STYX
NOG	SOX2
NOG	RANBP9
NOG	HNRNPLL
NOG	KLHL4
NOG	SNCAIP
NOG	NDC1
NOG	DUSP1
NOG	MTUS2
NOG	PFKFB2
NOG	AKAP8L
NOG	IGDCC3
NOG	UBR5
NOG	GPAT3
HNF1A	EREG
HNF1A	TLNRD1
HNF1A	CXCL8
HNF1A	JUN
HNF1A	MYC
HNF1A	HMGA1
HNF1A	VSX1
HNF1A	LEF1
HNF1A	PLA2G4A
HNF1A	MOV10
HNF1A	HMGCS1
HNF1A	TMED10
HNF1A	EYA3
HNF1A	SAT1
HNF1A	IGDCC3
HNF1A	FOXO4
HNF1A	BPIFA1
HNF1A	MARK2
HNF1A	NRP2
HNF1A	NDC1
SNCAIP	FOXO4
SNCAIP	UBC
SNCAIP	LEF1
SNCAIP	MYC
SNCAIP	SEPT4
SNCAIP	CSNK2A1
PTPMT1	OXA1L
PTPMT1	LTK
PTPMT1	BAZ1B
PTPMT1	MTAP
PTPMT1	VDR
PTPMT1	MTUS2
ZNF76	IKZF3
ZNF76	MYC
ZNF76	MOV10
ZNF76	MTUS2
AKAP8	AKAP8L
AKAP8	FOXS1
AKAP8	MYC
AKAP8	ASH2L
AKAP8	CSNK2A1
PFKFB2	JUN
PFKFB2	UBC
PFKFB2	MTAP
PFKFB2	AKT1
PFKFB2	COPS2
KLHL4	VSX1
KLHL4	LEF1
KLHL4	CXCL8
DCTN2	TCTN1
DCTN2	UBC
DCTN2	JUN
DCTN2	TMED10
DCTN2	PLA2G4A
DCTN2	PSMB6
DCTN2	RANBP9
MAP3K20	FOXO4
MAP3K20	ZFP1
MAP3K20	RPL10
MAP3K20	RXRB
MAP3K20	VSX1
MAP3K20	MAP2K7
MAP3K20	BCL2L1
MAP3K20	LEF1
MAP3K20	ZNF746
MAP3K20	MYC
MAP3K20	HMGCS1
ALDH6A1	ACACB
ALDH6A1	AGPAT2
ALDH6A1	DUSP12
ALDH6A1	LCLAT1
ALDH6A1	MYC
ALDH6A1	LEF1
ALDH6A1	GPAT3
ALDH6A1	AWAT2
ALDH6A1	E2F1
ALDH6A1	PPT1
ALDH6A1	ECHS1
ALDH6A1	SUCLG2
ALDH6A1	PLA2G4A
ALDH6A1	AGPAT4
ALDH6A1	ENPP1
ALDH6A1	HMGCS1
ALDH6A1	SAT1
RANBP9	FOXO4
RANBP9	SOX2
RANBP9	UBC
RANBP9	LEF1
RANBP9	JUN
PSMD14	NFKB1
PSMD14	CCDC74B
PSMD14	PSMD3
PSMD14	UBC
PSMD14	COPS2
PSMD14	E2F1
PSMD14	MCM9
PSMD14	MYC
PSMD14	JUN
PSMD14	PSMB6
PTPN4	E2F1
PTPN4	LEF1
PTPN4	MTAP
PTPN4	CSNK2A1
PTPN4	LTK
PTPN4	BAZ1B
ZFP1	MTUS2
ZFP1	MYC
ZFP1	HOOK2
ACVR1	PSMD3
ACVR1	PSMB6
ACVR1	AMHR2
ACVR1	REPIN1
ACVR1	UBC
ACVR1	DUSP12
ACVR1	BMP15
ACVR1	FOXO4
ACVR1	AKT1
ACVR1	VDR
NFKB1	AKT1
NFKB1	SAT1
NFKB1	E2F1
NFKB1	HMGA1
NFKB1	MYC
NFKB1	BCL2L1
NFKB1	VDR
NFKB1	PSMD3
NFKB1	PSMB6
NFKB1	UBC
NFKB1	CXCL8
NFKB1	BMP15
NFKB1	TAB2
COPS2	VDR
COPS2	PSMD3
COPS2	CSNK2A1
COPS2	KLHL20
COPS2	JUN
COPS2	MYC
COPS2	MCRS1
UBE2A	PSMD3
UBE2A	AREL1
UBE2A	UBC
UBE2A	CSNK2A1
UBE2A	KLHL20
UBE2A	MRE11
UBE2A	UBR5
UBE2A	OBSCN
UBE2A	LEF1
LENG8	NCBP3
LENG8	KIAA1107
PALMD	FOXO4
PALMD	REPIN1
PALMD	SH3KBP1
GPAT3	AGPAT2
GPAT3	PPT1
GPAT3	LPIN2
GPAT3	LPIN3
GPAT3	CXCL8
GPAT3	AGPAT4
GPAT3	JUN
GPAT3	SUCLG2
GPAT3	PLA2G4A
GPAT3	ACSBG1
GPAT3	AWAT2
GPAT3	LCLAT1
SH3KBP1	VDR
SH3KBP1	MTUS2
SH3KBP1	E2F1
SH3KBP1	IGKV2D-28
SH3KBP1	PRKCQ
SH3KBP1	MOV10
SH3KBP1	UBC
SH3KBP1	ASH2L
SH3KBP1	SLC2A8
SH3KBP1	ADRB2
SH3KBP1	CSNK2A1
SH3KBP1	EREG
STYX	COA6
STYX	FHL3
TIRAP	TAB2
TIRAP	CASP1
TIRAP	CAPN1
FOXS1	REPIN1
TLNRD1	LEF1
TLNRD1	REPIN1
TLNRD1	VDR
AMHR2	BMP15
AMHR2	AKT1
AMHR2	PSMD3
