#tail	head
ZAP70	STAT6
USP15	HNF4A
USP15	TRIM25
USP15	OGA
KBTBD8	COPS8
KBTBD8	COMMD4
C16orf92	PGA4
HIST1H2BN	POLR2A
HIST1H2BN	HIST1H3H
HIST1H2BN	MYO1C
HTR3A	CLCA2
HTR3A	ATP1A4
EVC2	VANGL1
HIST2H4A	FOXA1
HIST2H4A	ARID1B
HIST2H4A	RNF2
HIST2H4A	EP300
HIST2H4A	OGA
HIST2H4A	CEP57
PSMC2	PPP2R1A
PSMC2	RNF2
PSMC2	PPP2CB
KBTBD13	DCUN1D1
KBTBD13	DCUN1D2
ESYT1	SCGN
ESYT1	OGA
DSN1	NUP107
DSN1	OGA
DSN1	HNF4A
DSN1	PPP2CB
F7	HNF4A
F7	KRT1
F7	PLA2G4F
F7	CRELD2
F7	CLCA2
SPSB1	DCUN1D2
SPSB1	COPS3
FARSB	FOXR1
FARSB	UBB
FARSB	HSP90AA1
FARSB	EIF3B
KCNMB4	ATP1A4
CCND1	POLR2A
CCND1	SLCO5A1
CCND1	HIST1H4C
CCND1	FOXA1
CCND1	SLCO1B1
CCND1	LEF1
CCND1	MAX
CCND1	TLE1
CCND1	DNMT1
CLCA2	QTRT2
CLCA2	KRT10
NFIL3	EP300
NFIL3	ARID1B
NFIL3	SLC35C2
PRKCI	PIH1D1
PRKCI	PPP2R1A
SRRT	UBB
SRRT	KIF23
SRRT	PRPF4
NPAT	LEF1
NPAT	HIST1H4H
VASN	TAF12
VASN	GLMN
HEY1	EP300
HEY1	HNF4A
MAB21L1	LEF1
HOXC6	POLR2A
RNF2	ESRP1
RNF2	KIF23
RNF2	SON
RNF2	UBB
CUL2	KRT10
CUL2	KRT1
SLCO1B1	HSP90AA1
SLCO1B1	CYP27A1
SLCO1B1	CXCL10
SLCO1B1	SLCO1A2
SLCO1B1	HNF4A
COPS8	DCUN1D1
COPS8	COMMD4
COPS8	POLR2A
COPS8	HNF4A
COPS8	COPS3
COPS8	FEM1A
COPS8	FBXL21
LEF1	FBXW11
LEF1	EP300
LEF1	KRT1
LEF1	HIST1H4H
LEF1	PEX13
LEF1	CEP57
LEF1	POLR2A
LEF1	HOXC8
LEF1	EPC1
LEF1	MAX
SCGN	BBS7
TLL1	STAT6
TLL1	FOXA1
DCUN1D2	COMMD4
DCUN1D2	FBXW11
DCUN1D2	DCAF4
DCUN1D2	DDB1
DCUN1D2	DCUN1D1
CEP164	CEP57
FOXA1	HNF4A
FOXA1	DNMT1
FOXA1	TAF5L
FOXA1	HIST1H4C
FOXA1	FBXW11
FOXA1	EP300
FOXA1	SLCO1A2
BCAT1	SLC38A1
TAF2	POLR2A
MYADM	TRIM25
COMMD4	UBB
COMMD4	COPS3
COMMD4	DCAF4
COMMD4	FBXW2
HIST1H4H	TAF12
HIST1H4H	OGA
HIST1H4H	ATP1A4
GLMN	FEM1C
GLMN	OGA
GLMN	HNF4A
MAX	FOXR1
MAX	PPP2CB
MAX	STAT3
MAX	NDUFA6
MAX	CHERP
MAX	POLR2A
MAX	OGA
MAX	QTRT2
ARID1B	HIST1H4C
ARID1B	TRIM25
DCUN1D1	DDB1
DCUN1D1	FEM1C
DCUN1D1	KRT10
NUP107	BIRC5
NUP107	HNF4A
BCCIP	OGA
CENPO	PPP2CB
CENPO	HIST1H4C
HSD17B10	PPP2R1A
HSD17B10	OGA
HSD17B10	HADHB
HSD17B10	ECI2
HSP90AA1	CEP57
HSP90AA1	TRIM25
HSP90AA1	KDR
HSP90AA1	SLCO1A2
HSP90AA1	CRK
HSP90AA1	STAT3
HSP90AA1	COPS3
HSP90AA1	BIRC5
KIF7	LRRCC1
ECI2	HSD17B13
HLA-C	SLC38A1
DHRS4	HNF4A
MYO1C	EIF3B
MYO1C	HIST1H4C
MYO1C	EP300
MYO1C	HIST1H3H
INCENP	KIF23
INCENP	PPP2R1A
INCENP	TRIM25
INCENP	PPP2CB
BIRC5	EP300
BIRC5	PPP2R1A
BIRC5	KIF23
HOXC8	TRIP6
ENO1	RETN
ENO1	OGA
ENO1	UBB
MIA2	PLA2G4F
MIA2	KRT1
MIA2	CEP57
FOXR1	EPC1
SON	CIAO2B
SON	FBXW11
SON	OGA
BBS4	BBS7
PRLR	FBXW11
PRLR	KDR
BBS7	MCHR1
VANGL1	TRIM25
VANGL1	CREB3
VANGL1	FBXW11
QTRT2	HNF4A
QTRT2	SLC1A5
CD74	STAT6
KRT10	KRT1
KRT10	HNF4A
HIST1H4C	OGA
HIST1H4C	CEP57
HIST1H4C	TLE1
HIST1H4C	ATP1A4
HIST1H4C	POLR2A
HIST1H4C	EP300
PHF5A	PRPF4
PHF5A	HIST1H3H
PHF5A	POLR2A
SLC38A1	TMEM60
SLC38A1	HNF4A
SLC38A1	STAT6
SLC38A1	SLC1A5
KDR	STAT3
TLE1	TRIM25
PPP2R1A	CEP57
PPP2R1A	PPP2CB
PPP2R1A	OGA
PPP2R1A	TRIM25
UBB	PPP2CB
UBB	ANXA1
UBB	DNMT1
UBB	EIF3B
UBB	POLR2A
UBB	FBXW11
UBB	EP300
UBB	UBA7
OGA	CHERP
OGA	KIF23
OGA	HNF4A
TRIM25	PPP2CB
TRIM25	TAF5L
TRIM25	SLCO5A1
TRIM25	SLC35C2
TRIM25	DDB1
TRIM25	HNF4A
COPS3	DCAF4
COPS3	FEM1A
CRK	KRT1
CRK	TRIP6
RETN	NAMPT
FEM1C	HNF4A
NAMPT	HNF4A
NAMPT	FBXW11
NAMPT	DNMT1
ANXA1	CXCL10
POLR2A	HIST1H3H
POLR2A	PIH1D1
PPP2CB	DNMT1
HNF4A	GCKR
HNF4A	TOM1L2
HNF4A	PIH1D1
HNF4A	CEP57
HNF4A	PRPF4
CXCL10	SLCO1A2
CXCL10	CTSL
KIF23	HIST1H3H
STAT6	FBXW11
TRIP6	PIH1D1
KRT1	PIH1D1
KRT1	CTSL
EP300	HIST1H3H
EP300	TAF12
EP300	SLCO5A1
PRPF4	CHERP
STAT3	PIH1D1
STAT3	SLCO5A1
CREB3	SLC35C2
