#tail	head
KDELR3	SPTBN1
KDELR3	MBOAT7
KDELR3	ALG8
VAV2	RHOH
VAV2	KRAS
VAV2	CHMP3
VAV2	HSP90AA1
RPL6	CHMP4B
RPL6	MRPS34
RPL6	HSP90AA1
RPL6	SPTBN1
RPL6	KRAS
RPL6	NXF1
RPL6	HNRNPU
NEK2	HSP90AA1
NEK2	BORA
NEK2	TUBGCP3
GPX8	ALG8
GPX8	SMOX
SUPV3L1	MRPS34
SUPV3L1	SREBF1
HNRNPU	FBXW11
HNRNPU	TBL3
HNRNPU	NXF1
HNRNPU	UTP14A
HNRNPU	KPNA5
HNRNPU	TUBGCP3
HNRNPU	MRPS34
MRPS34	FBXW11
CHMP3	UBAP1
CHMP3	CHMP2B
CHMP3	CHMP4C
CHMP3	CHMP2A
CHMP3	CHMP4B
MDFI	KRAS
MDFI	EIF4E2
ALG8	NXF1
C10orf88	KLHL15
C10orf88	EIF4E2
C10orf88	SPTBN1
FBXW11	TUBGCP3
FBXW11	MAST3
FBXW11	UTP14A
FBXW11	BORA
FBXW11	EIF4E2
FBXW11	HSP90AA1
PLEKHA5	MAST3
PLEKHA5	SPTBN1
PLEKHA5	EIF4E2
SMOX	DHPS
CHMP2A	CHMP4B
CHMP2A	CHMP4C
CHMP2A	UBAP1
CHMP2A	CHMP2B
BORA	HSP90AA1
RASGRF2	RHOH
RASGRF2	KRAS
CHMP4C	CHMP4B
CHMP4C	UBAP1
CHMP4C	CHMP2B
UTP14A	RHOH
UTP14A	TBL3
KLHL15	HSP90AA1
KLHL15	EPOP
KPNA5	NXF1
UBAP1	CHMP4B
UBAP1	CHMP2B
UBAP1	NXF1
EPOP	NXF1
EIF4E2	TUBGCP3
EIF4E2	MAST3
DHPS	BCKDHA
DHPS	TUBGCP3
DHPS	SPTBN1
HSP90AA1	TUBGCP3
HSP90AA1	KRAS
HSP90AA1	SREBF1
HSP90AA1	NXF1
HSP90AA1	SPTBN1
GPAM	SREBF1
GPAM	BCKDHA
GPAM	MBOAT7
KRAS	SPTBN1
CHMP4B	CHMP2B
CHMP4B	SPTBN1
TUBGCP3	NXF1
BCKDHA	MBOAT7
SPTBN1	NXF1
