#tail	head
RABEPK	KRT9
RABEPK	IGF2R
RABEPK	PDE4B
GSK3B	SLC11A2
GSK3B	AR
GSK3B	PPP2CA
GSK3B	JUN
GSK3B	RPS27A
GSK3B	HDAC4
GSK3B	MAPK1
GSK3B	NOG
GSK3B	GSTP1
GSK3B	COPS5
GSK3B	FOXL2
GSK3B	SLC4A7
NOG	NOTCH2NLA
NOG	RET
NOG	CBLC
NOG	RPL13A
NOG	IGF2R
NOG	AR
NOG	SLC30A4
NOG	PCDH10
NOG	AMOT
NOG	RGS17
NOG	GSTP1
NOG	PAPOLA
NOG	TET3
NOG	HDAC4
NOG	GARS
NOG	ZNF207
NOG	CPEB4
NOG	UBE2D3
NOG	HSF2
NOG	PPIE
NOG	JUN
NOG	PDE4B
NOG	HNRNPL
NOG	PPP2CA
NOG	SLC4A7
NOG	AHI1
NOG	FOXA2
NOG	FOXL2
NOG	ARL8B
NOG	SLC11A2
NOG	SLC30A2
NOG	MEIS1
NOG	CBX2
DDOST	RPS27A
DDOST	HDAC4
DDOST	JUN
DDOST	ARL8B
DDOST	TMEM258
DDOST	RPL13A
METTL5	SLC4A7
METTL5	SLC11A2
OLFM2	NOTCH2NLA
OLFM2	HNRNPL
NACC1	LSM3
NACC1	FOXA2
NACC1	HDAC4
SNRPD2	ZNF207
SNRPD2	NPM1
SNRPD2	JUN
SNRPD2	PAPOLA
SNRPD2	HNRNPL
SNRPD2	USP39
SNRPD2	LSM3
SNRPD2	COPS5
SNRPD2	PPIE
SNRPD2	HDAC4
AR	HDAC4
AR	HNRNPL
AR	SLC30A2
AR	GSTP1
AR	MAPK1
AR	HIST1H4L
AR	CPEB4
AR	UBE2D3
AR	SLC22A1
AR	MAGEA11
AR	PPP2CA
AR	JUN
AR	SLC4A7
MAPK1	RET
MAPK1	NPM1
MAPK1	MDFI
MAPK1	GSTP1
MAPK1	MARK3
MAPK1	HIST1H4L
MAPK1	HDAC4
MAPK1	JUN
MAPK1	PDE4B
MAPK1	PPP2CA
MAPK1	FAM114A2
MAPK1	SLC22A1
HIST1H4L	JUN
HIST1H4L	HDAC4
HIST1H4L	GARS
HIST1H4L	MEIS1
HIST1H4L	NPM1
HIST1H4L	NSD3
HIST1H4L	GSTP1
HIST1H4L	COPS5
HIST1H4L	RPS27A
HIST1H4L	CBX2
COPS5	KRT6C
COPS5	FAM114A2
COPS5	HNRNPL
COPS5	KRT75
COPS5	KRT9
COPS5	GSTP1
COPS5	JUN
COPS5	AMOT
COPS5	NPM1
COPS5	FBXW12
PPP2CA	AHI1
PPP2CA	RPS27A
PPP2CA	GSTP1
PPP2CA	NPM1
PPP2CA	RET
PPP2CA	RPL13A
PPP2CA	MARK3
PPP2CA	HDAC4
PPP2CA	JUN
PPP2CA	HTT
LCE3C	KRTAP5-11
LCE3C	KRTAP5-4
LCE3C	NOTCH2NLA
LCE3C	MDFI
LCE3C	RGS17
KRT20	KRT6C
KRT20	KRT75
KRT20	NOTCH2NLA
KRT9	SLC30A8
KRT9	KRT6C
KRT9	SLC4A7
KRT9	APOC2
KRT9	SLC11A2
KRT9	PDE4B
KRT9	KRT75
KRT9	SLC30A4
KRT9	SLC30A2
KRT9	MEIS1
PCNT	AHI1
PCNT	HNRNPL
PCNT	MEIS1
PCNT	FAM81B
PCNT	RET
HTT	GSTP1
HTT	HNRNPL
HTT	PDE4B
HTT	ATG12
SLC11A2	SLC4A7
SLC11A2	JUN
SLC11A2	PAPOLA
SLC11A2	APOC2
SLC11A2	CCS
SLC11A2	RPS27A
SLC11A2	MARK3
SLC11A2	KRT6C
SLC11A2	HDAC4
FAM114A2	MARK3
MEIS1	NSD3
MEIS1	SLC30A4
MEIS1	PCDH10
MEIS1	ATG12
MEIS1	AMOT
HSF2	JUN
HSF2	PCDH10
HSF2	TET3
PERM1	PEX12
PERM1	SLC30A2
CCS	SLC30A4
CCS	SLC30A2
CCS	SLC30A8
APOC2	PDE4B
NPM1	HDAC4
NPM1	RPL13A
NPM1	JUN
NPM1	HNRNPL
NPM1	CBX2
NPM1	PAPOLA
FAM81B	RET
CBX2	MDFI
SLC4A7	MARK3
SLC4A7	KRT6C
SLC4A7	PAPOLA
FOXA2	CPEB4
FOXA2	NSD3
IGF2R	RPS27A
KRT75	GOLGA6L9
ATG12	SLC22A1
ATG12	MDFI
LCE4A	KRTAP5-11
LCE4A	MDFI
LCE4A	RGS17
LCE4A	NOTCH2NLA
LCE4A	KRTAP5-4
RPL13A	JUN
RPL13A	RPS27A
RPL13A	TET3
RGS17	KRTAP5-11
RGS17	KRTAP5-4
JUN	AMOT
JUN	GSTP1
JUN	SLC22A1
JUN	GARS
JUN	USP39
JUN	HNRNPL
JUN	MDFI
JUN	AHI1
JUN	FOXL2
JUN	RPS27A
JUN	ZNF207
UBE2D3	FBXW12
UBE2D3	PEX12
UBE2D3	RPS27A
UBE2D3	CBLC
SLC30A8	ARL8B
SLC30A8	HDAC4
FBXW12	RPS27A
APEH	HDAC4
APEH	GARS
APEH	USP39
AHI1	RET
MARK3	HDAC4
MARK3	PPIE
MARK3	HNRNPL
MARK3	RPS27A
TET3	HNRNPL
CBLC	RET
CBLC	NSD3
LSM3	ZNF207
LSM3	HNRNPL
LSM3	PPIE
LSM3	USP39
LSM3	NSD3
SLC30A2	HDAC4
SLC30A2	SLC30A4
RET	NOTCH2NLA
RET	HNRNPL
MDFI	GSTP1
GSTP1	NOTCH2NLA
GSTP1	ARL8B
PEX12	RPS27A
PEX12	IER3IP1
TMEM258	IER3IP1
IER3IP1	SLC30A4
NOTCH2NLA	KRTAP5-11
NOTCH2NLA	KRTAP5-4
NOTCH2NLA	HNRNPL
HDAC4	SLC30A4
HDAC4	GOLGA6L9
HDAC4	RPS27A
HDAC4	GARS
HDAC4	HNRNPL
SLC30A4	HNRNPL
GOLGA6L9	HOXB5
PAPOLA	PPIE
PAPOLA	HNRNPL
PDE4B	MAGEA11
HOXB5	MAGEA11
ZNF207	PPIE
ZNF207	USP39
PPIE	HNRNPL
PPIE	RPS27A
PPIE	USP39
RPS27A	HNRNPL
USP39	HNRNPL
