#tail	head
YY1	PRMT1
YY1	NAT8L
YY1	PATZ1
YY1	RARA
YY1	APP
YY1	ARNT
YY1	ZFP91
YY1	PDE4D
YY1	CPEB4
YY1	RPL18A
YY1	CREB1
YY1	CSNK2A1
YY1	HSPA4
YY1	TERF2
YY1	CUL4B
YY1	EGLN3
YY1	XRCC6
YY1	EED
YY1	RING1
NUP37	TPR
NUP37	CCNB1
NUP37	RBM8A
NUP37	HSPA4
NUP37	CPSF1
APP	ZEB1
APP	STUB1
APP	IDO2
APP	LURAP1L
APP	L3HYPDH
APP	RING1
APP	CSNK2A1
APP	SULT1A3
APP	MAL
APP	ABCA1
APP	EVI2A
APP	AGR2
APP	SIRT7
APP	CREB1
APP	PDE4D
APP	CDC37
APP	HMGCR
APP	SRPK1
APP	BMP2
APP	GNGT1
APP	RBM8A
APP	ESRRA
APP	SETX
APP	REPIN1
APP	GNAT3
APP	C3
APP	HSPA4
APP	NAT1
APP	GSTP1
APP	CPT2
APP	RARA
APP	TF
APP	GNAI3
APP	ALOX5
APP	CGB3
APP	CUL4B
GNAI3	PDE4D
GNAI3	C3
GNAI3	HRH3
GNAI3	ADSL
GNAI3	ADRA1B
GNAI3	PRKAR1A
GNAI3	GNAL
GNAI3	EGLN3
GNAI3	GNGT1
CUL4B	SRSF4
CUL4B	SIRT7
CUL4B	ARNT
CUL4B	EED
CUL4B	RPL3
CUL4B	RPL18A
CUL4B	CDC37
CUL4B	RARA
CUL4B	STUB1
LURAP1L	IRF1
LURAP1L	REPIN1
LURAP1L	PATZ1
NAT1	CPT2
NAT1	GSTP1
NAT1	PDHB
NAT1	ACSL1
NAT1	ACSS3
ERICH5	IDO2
C3	GNAT3
C3	TF
C3	AGR2
C3	GNGT1
C3	CR1
SLC28A2	UCK2
SLC28A2	NKAIN4
EVI2A	RTP2
EVI2A	MAL
ACSL1	PDHB
ACSL1	ALOX5
ACSL1	ACSS3
ACSL1	PDE4D
ACSL1	HMGCR
ACSL1	ACOT9
ACSL1	ADSL
ACSL1	CPT2
ACSL1	EGLN3
ACSL1	SOAT2
EGLN3	PSMA3
EGLN3	RING1
EGLN3	PRMT1
EGLN3	SETX
EGLN3	ARNT
EGLN3	MGA
EGLN3	ECD
EGLN3	HSPA4
EGLN3	CDC37
EGLN3	CPEB4
EGLN3	PDHB
EGLN3	TTC27
EGLN3	ZEB1
EGLN3	STUB1
EGLN3	ANAPC7
EGLN3	CSNK2A1
EGLN3	PRKAR1A
REPIN1	RARA
REPIN1	ESRRA
REPIN1	TERF2
REPIN1	CPEB4
REPIN1	ZEB1
REPIN1	KLK1
REPIN1	HSD11B1
REPIN1	ARNT
RARA	RPL18A
RARA	TPR
RARA	CSNK2A1
RARA	TTC27
RARA	ZEB1
RARA	HSPA4
RARA	XRCC6
RARA	GSTP1
RARA	CDC37
RARA	ESRRA
RARA	EED
RARA	AGR2
RARA	SIRT7
RARA	CPSF1
RARA	PRKAR1A
RARA	MINDY4
RARA	PRMT1
RARA	IRF1
RARA	RPL3
ADRA1B	GNGT1
ADRA1B	SETX
ADRA1B	ALOX5
CCNB1	ANAPC7
CCNB1	TPR
SRSF4	CPSF1
SRSF4	SIRT7
SRSF4	SRPK1
SRSF4	RBM8A
TERF2	STUB1
TERF2	HSPA4
TERF2	CDC37
TERF2	XRCC6
TERF2	RING1
TERF2	PRMT1
MINDY4	ANAPC7
MAL	NKAIN4
MAL	ESRRA
TTC39B	MEOX2
TTC39B	ZEB1
HSD11B1	CGB3
HSD11B1	HMGCR
HSD11B1	BMP2
HSD11B1	KLK1
HSD11B1	ESRRA
RPL18A	SIRT7
RPL18A	SRPK1
RPL18A	RBM8A
RPL18A	RPL3
RPL18A	TPR
RPL18A	EED
RPL18A	PATZ1
IDO2	AFMID
ECD	TTC27
ECD	ZFP91
ECD	CSNK2A1
MEOX2	GOLGA8G
CPEB4	ARNT
CPEB4	IRF1
PDHB	NAT8L
PDHB	CPT2
PDHB	ACSS3
PDHB	ACOT9
PDHB	AFMID
SOAT2	CPT2
SOAT2	ACSS3
SOAT2	ABCA1
INHBA	TF
INHBA	CGB3
INHBA	GNAL
INHBA	BMP2
INHBA	ESRRA
CSNK2A1	SIRT7
CSNK2A1	SRPK1
CSNK2A1	ESRRA
CSNK2A1	XRCC6
CSNK2A1	CPT2
CSNK2A1	RING1
CSNK2A1	HSPA4
CSNK2A1	ARNT
CSNK2A1	CDC37
CSNK2A1	ABCA1
CSNK2A1	PSMA3
CSNK2A1	RERE
CSNK2A1	CREB1
CGB3	ARNT
CGB3	STUB1
CGB3	SULT1A3
CGB3	AGR2
ZFP91	ARNT
ZFP91	ESRRA
ZFP91	RING1
