#tail	head
IKBKG	ATG16L1
IKBKG	TAB1
IKBKG	UBC
IKBKG	FBXW7
TGOLN2	E2F1
TGOLN2	UBC
TGOLN2	APP
TGOLN2	VAPA
TGOLN2	PIP5K1C
SPTBN1	LMNA
SPTBN1	DCTN6
SPTBN1	PRKAR1A
SPTBN1	UBC
APP	CALM1
APP	SLC5A1
APP	DCTN6
APP	RBM42
APP	CDK5
APP	ATG16L1
APP	CHEK1
APP	SNAI1
APP	VAPA
APP	DAB1
APP	SLC39A9
APP	AMPD1
TAB1	PRKAR1A
TAB1	UBC
TAB1	AMPD1
LMNA	SNAI1
LMNA	VAPA
LMNA	KIF5A
LMNA	CDK5
LMNA	SLC5A1
LMNA	CHEK1
LMNA	CALM1
PIP5K1C	UBC
PIP5K1C	CDK5
PRKAR1A	CALM1
PRKAR1A	UBC
PRKAR1A	VAPA
DCTN6	KIF5A
MAP1B	DAB1
MAP1B	RASSF1
CDK5	DAB1
DCUN1D5	RCHY1
DCUN1D5	FBXW7
DCUN1D5	COPS2
DCUN1D5	ASB13
DCUN1D5	UBC
SLC39A9	E2F1
SLC39A9	SLC5A1
ATG16L1	UBC
RCHY1	CALM1
RCHY1	AMPD1
RCHY1	UBC
CHEK1	E2F1
CHEK1	RASSF1
CHEK1	RBM42
CHEK1	UBC
AMPD1	UBC
AMPD1	FBXW7
AMPD1	ASB13
COPS2	SNAI1
COPS2	FBXW7
COPS2	ASB13
FBXW7	UBC
FBXW7	SNAI1
RASSF1	VAPA
ASB13	UBC
E2F1	CALM1
E2F1	RANBP3
E2F1	UBC
UBC	SNAI1
UBC	CALM1
ADRA1B	RANBP3
ADRA1B	CALM1
