#tail	head
ACTR10	AR
ACTR10	BCL7C
ESRRA	AR
ESRRA	RIN2
ESRRA	RARA
ESRRA	TCERG1
ESRRA	SNRPF
ESRRA	KLK15
ESRRA	PIAS4
GABRQ	TCF3
GABRQ	GABRG3
GABRQ	GABRA4
PDLIM7	MYO1C
PDLIM7	TRIP6
PDLIM7	THRB
ATXN3	BCL7C
ATXN3	IBA57
GABRG3	GABRA4
TRMT112	FOXF2
TRMT112	OGA
TRMT112	RARA
SNRPF	TCERG1
SNRPF	NUP93
SNRPF	RARA
SNRPF	PHLDA3
SNRPF	OLA1
TRIP6	KLK15
TRIP6	OGA
TRIP6	THRB
FOXF2	RARA
FOXF2	OGA
RARA	TCERG1
RARA	THRB
FEZF2	CEBPD
FEZF2	AR
FEZF2	TCF3
OGA	IBA57
OGA	OLA1
OGA	TCERG1
RIN2	NAA11
LRR1	CDC34
PIAS4	CEBPD
PIAS4	AR
PIAS4	TCERG1
ZNF202	NAA11
ZNF202	AR
ZNF202	TCF3
IBA57	CDC34
NUP93	CDC34
NUP93	PHLDA3
NUP93	MYO1C
MYO1C	PHLDA3
OLA1	TCF3
OLA1	AR
