#tail	head
HIST1H1E	HIST2H4B
HIST1H1E	SRSF1
HIST1H1E	NOG
AFP	NOG
TEC	DUSP12
TEC	CPSF6
FLT1	DUSP12
FLT1	MMP2
FLT1	NOG
FLT1	IGF1
ALG13	NOG
SRSF1	C1QBP
SRSF1	LUC7L3
SRSF1	HIST2H4B
SRSF1	CCNL1
SRSF1	SRSF9
SRSF1	CPSF1
SRSF1	TUBB3
SRSF1	RRP1B
LGALS12	LIMD1
LGALS12	VPS13C
SRPK2	HNRNPM
SRPK2	BAZ1A
SRPK2	LUC7L3
SRPK2	PRKAA1
SRPK2	SRSF9
ATP6V1C2	NOG
ATP6V1C2	NME6
ATP6V1C2	AK7
ATP6V1C2	ATP6V1F
LUC7L3	RRP1B
LUC7L3	BMI1
LUC7L3	SRSF9
LUC7L3	DHX16
FASTKD1	MYC
FASTKD1	LPAR4
NOS2	MMP2
NOS2	C1QBP
NOS2	GUCY1A2
NOS2	NOG
NUDCD1	DHX16
NUDCD1	CPSF1
NUDCD1	NOG
HNRNPM	SRSF9
HNRNPM	SMC3
HNRNPM	TADA2A
HNRNPM	DHX16
HNRNPM	MYC
NME6	PDE6C
NME6	AK7
NME6	ATP6V1F
NME6	GUCY1A2
NME6	UGCG
NOG	MYC
NOG	ALDH2
NOG	AK7
NOG	EHMT2
NOG	GUCY1A2
NOG	BAZ1A
NOG	UGCG
NOG	IGF1
NOG	PDE11A
NOG	VPS13C
NOG	LPAR4
RRP1B	C1QBP
RRP1B	MYC
RRP1B	HIST2H4B
HIST1H2BO	BMI1
HIST1H2BO	SMC3
HIST1H2BO	PHC3
ALDH2	VDAC2
ALDH2	ALKBH3
ALDH2	MMP2
ALDH2	GUCY1A2
CCDC134	TADA2A
PHC3	BMI1
CPSF1	DHX16
CPSF1	CPSF6
BMI1	MYC
BMI1	BAZ1A
BMI1	MMP2
CPSF6	SRSF9
CPSF6	UBQLN4
CPSF6	DHX16
CPSF6	GIN1
TUBB3	ALKBH3
TUBB3	IGF1
TUBB3	MYC
TUBB3	ENPP7
SRSF9	DHX16
C1QBP	MYC
RIMBP3	PRKAA1
HIST2H4B	BAZ1A
PRKAA1	MMP2
PRKAA1	IGF1
PRKAA1	MYC
PRKAA1	PDE11A
PRKAA1	GUCY1A2
BAZ1A	SMC3
IGF1	MYC
DHX16	TADA2A
UBQLN4	SEM1
MYC	MMP2
MYC	TADA2A
AK7	PDE11A
ENPP7	UGCG
PDE11A	GUCY1A2
