#tail	head
GSTM2	CYP19A1
GSTM2	AKR7A2
NOS2	HUWE1
NOS2	RAC1
NOS2	CALM1
NOS2	CCT3
NOS2	CYP19A1
NOS2	RELA
RAD18	XPO1
RAD18	HIST1H3G
DNAJC8	PPARA
DNAJC8	HUWE1
DNAJC8	HIST1H3G
NRAS	RAC1
NRAS	CALM1
NRAS	RGL3
NRAS	FOXD3
DCAF12	CCT3
DCAF12	GOLIM4
FOXD3	HTN1
FOXD3	FOXB1
HTN1	XPO1
HTN1	PPARA
RAC1	AKR7A2
RAC1	IRAK1
RAC1	DVL1
RAC1	MFSD10
RAC1	HIST1H3G
RAC1	CALM1
RABL3	GOLT1B
RABL3	TCTN2
ITGB4	RELA
ITGB4	ITGB5
ITGB4	COL9A2
IRAK1	DVL1
IRAK1	RELA
IRAK1	XPO1
IRAK1	CCT3
GOLT1B	GOLIM4
DVL1	HUWE1
DVL1	XPO1
RGL3	PPARA
ARMC6	PPARA
ARMC6	XPO1
ARMC6	CCT3
RELA	CALM1
RELA	PPARA
RELA	CYP19A1
RELA	XPO1
RELA	AKR7A2
PPARA	AKR7A2
PPARA	CALM1
PPARA	TPM2
PPARA	CYP19A1
ITGB5	TPM2
ITGB5	CALM1
ITGB5	COL9A2
XPO1	HUWE1
TPM2	CALM1
TCTN2	MFSD10
HUWE1	CALM1
HUWE1	CCT3
HUWE1	FOXB1
