#tail	head
ASPH	ACAD9
ASPH	NFATC2
MAPK15	GABARAPL1
MAPK15	ERG
RFX3	IRF7
SULT2B1	PRDX6
IRF7	RFX4
IRF7	HIVEP1
TMEM35A	SF1
TMEM35A	MYB
HIVEP1	UBC
PRIM2	POLE3
PRIM2	MCM8
TPR	SF1
TPR	HRAS
TPR	NUP210
TPR	KPNB1
TPR	LGR4
TPR	MAPK1
SEC24C	SEPHS1
SEC24C	KIF5B
SEC24C	KPNB1
SEC24C	HSPH1
SEC24C	CCT8
SEC24C	GEMIN2
SEC24C	PPP2CB
SEC24C	MAPK1
SEC24C	GABARAPL1
SEC24C	SPTBN1
SEC24C	NAPG
SEC24C	EIF3M
ERG	ZNF384
ERG	MAPK1
SEPHS1	KIF5B
SEPHS1	CCT8
SEPHS1	SPTBN1
SEPHS1	GEMIN2
SEPHS1	SF1
SEPHS1	PPP2CB
SEPHS1	MAPK1
SEPHS1	KPNB1
NUP210	LGR4
NUP210	KPNB1
NUP210	GEMIN2
NUP210	GABARAPL1
LGR4	UBC
MYB	KPNB1
MYB	RFX4
MYB	MAPK1
CCT8	NAPG
CCT8	SPTBN1
CCT8	TCP1
CCT8	GABARAPL1
CCT8	SF1
CCT8	PPP2CB
EIF3M	HSPH1
EIF3M	NAPG
EIF3M	SPTBN1
EIF3M	TCP1
EIF3M	SF1
TCP1	HSPH1
TCP1	PPP2CB
TCP1	NFATC2
HRAS	SPTBN1
HRAS	NQO1
HRAS	MAPK1
HRAS	PPP2CB
HRAS	MPO
NFATC2	ZNF384
NFATC2	HSPH1
MAPK1	SF1
MAPK1	NAPG
MAPK1	SPTBN1
MAPK1	PRDX6
TAOK1	CENPA
TAOK1	PPP2CB
TAOK1	CENPK
TAOK1	SF1
NQO1	PRDX6
MPO	PRDX6
KPNB1	NAPG
KPNB1	SF1
CENPA	SMARCA5
CENPA	CENPK
CENPA	PPP2CB
CENPA	RBBP4
POLE3	UBC
POLE3	SMARCA5
HSPH1	NAPG
HSPH1	SF1
RBBP4	CENPK
RBBP4	UBC
RBBP4	SMARCA5
RFX4	ZNF384
KIF5B	NAPG
KIF5B	SPTBN1
SPTBN1	GEMIN2
SPTBN1	PPP2CB
SPTBN1	GABARAPL1
SPTBN1	UBC
SPTBN1	SF1
SPTBN1	NAPG
SF1	GABARAPL1
SF1	NAPG
SF1	PPP2CB
SF1	GEMIN2
GABARAPL1	PRDX6
NAPG	PPP2CB
NAPG	GEMIN2
PPP2CB	CENPK
PPP2CB	UBC
