#tail	head
MAP3K7	HIST4H4
MAP3K7	TGFB1
MAP3K7	RNF4
MAP3K7	GDF2
MAP3K7	CALM2
MAP3K7	UBC
DOCK3	CALM2
DOCK3	PSEN2
DOCK3	GRB2
ONECUT1	C2
ONECUT1	GRB2
ONECUT1	TOB1
ONECUT1	PABPC1
ONECUT1	ASPA
ONECUT1	CREBBP
ICE2	INTS6
ICE2	PSMD10
ICE2	NCBP2
ICE2	MUC5B
ICE2	PPARA
ICE2	CCNT1
U2SURP	NTRK1
U2SURP	NCBP2
U2SURP	DDX41
U2SURP	RBM15
U2SURP	PABPC1
U2SURP	POLR2K
U2SURP	HIST1H3E
U2SURP	LSM7
U2SURP	RPS8
U2SURP	VIRMA
U2SURP	CDC5L
U2SURP	METTL14
U2SURP	HIST1H3A
CPLX3	CPLX4
PTCD3	HIST1H3E
PTCD3	ARMC8
PTCD3	FBXW11
PTCD3	HIST1H3A
PTCD3	HIST4H4
PTCD3	NTRK1
PTCD3	MRPS10
PTCD3	HIST1H3C
PTCD3	RPS8
DTX2	MVP
DTX2	UBC
DTX2	PSEN2
DTX2	SFN
DTX2	HIST4H4
ENG	TGFB1
ENG	GDF2
PCBP3	CDC73
PCBP3	RNPS1
PCBP3	RNF4
IGKV1-33	METTL14
IGKV1-33	C2
IGKV1-33	GRB2
IGKV1-33	PRKCB
SFN	CDC73
SFN	RPS25
SFN	PABPC1
SFN	CHEK1
SFN	CSNK1G3
SFN	KSR1
SFN	RPS8
SFN	NTRK1
SFN	CALM2
SFN	CTNNB1
SFN	RPL24
SFN	PAK4
OAZ3	PSMD10
OAZ3	PSMA4
SGO1	CENPS
SGO1	PPARA
SGO1	SEC13
SGO1	DYNLL1
HIST1H3A	DDX31
HIST1H3A	CREBBP
HIST1H3A	METTL14
HIST1H3A	CTNNB1
HIST1H3A	PABPC1
HIST1H3A	CHEK1
HIST1H3A	RPL32
HIST1H3A	GRB2
HIST1H3A	ARID1B
HIST1H3A	RNF4
HIST1H3A	POLR1D
HIST1H3A	CDC73
HIST1H3A	RPL19
HIST1H3A	HIST1H1B
