#tail	head
TRAT1	CD86
TRAT1	FGF18
TRAT1	FGF7
TRAT1	IGKV3D-20
TRAT1	DVL1
TRAT1	CD3E
TRAT1	GNB4
TRAT1	FGFR4
TRAT1	PIK3R1
TRAT1	IGLV2-8
TRAT1	GNG10
TRAT1	IGKV1D-39
PHIP	HIST1H4E
PHIP	NOG
PHIP	COPS7A
PHIP	TP53
NOG	CXCR4
NOG	MYC
NOG	BIK
NOG	SYT13
NOG	FBXL20
NOG	FGF11
NOG	TRPC6
NOG	HSPA1B
NOG	ABCA1
NOG	VDR
NOG	HOXA1
NOG	FZD8
NOG	FGF18
NOG	RNF125
NOG	JUN
NOG	PPARA
NOG	PIK3R1
NOG	FGFR4
NOG	GNG10
NOG	ZNRF3
NOG	FZD7
NOG	SLC16A10
NOG	TRIM8
NOG	CDKN1A
NOG	LRP6
NOG	TCF3
NOG	TGFB1
RFX1	BIK
RFX1	ITSN1
RFX1	QRFP
RFX1	ZFYVE1
RFX1	E2F1
RFX1	PPARA
RFX1	SP1
RFX1	GNB4
SYT13	TP53
SYT13	PPARA
CXCR4	TCF3
CXCR4	STIM1
CXCR4	GNG10
CXCR4	TRPC6
CXCR4	CCL21
CXCR4	PPARA
CXCR4	PIK3R1
CXCR4	GNA15
CXCR4	ITIH1
CXCR4	GNB4
GTF3C2	BRF1
GTF3C2	MYC
GTF3C2	HIST1H2BC
GTF3C2	POLR3K
GTF3C2	POLR2F
GTF3C2	SYN1
POLR2F	POLR3K
POLR2F	BRF1
POLR2F	SP1
POLR2F	HOXA1
POLR2F	UBC
POLR2F	HIST1H2BC
POLR2F	JUN
POLR2F	HIST1H4E
ITIH1	HSPA1B
ITIH1	SEMA6C
ITIH1	KLK3
ITIH1	TGFB1
ITIH1	GNA15
ITIH1	TRPC6
ITIH1	RANBP2
ITIH1	STIM1
ITIH1	ADRA1D
QRFP	GNB4
QRFP	GNG10
QRFP	GNA15
SYN1	SP1
SYN1	S100A1
SYN1	JUN
SYN1	PIK3R1
CD3E	JUN
CD3E	GC
CD3E	KLK3
CD3E	VDR
CD3E	CD86
CD3E	PIK3R1
HIST1H2BC	UBC
HIST1H2BC	PPARA
HIST1H2BC	JUN
HIST1H2BC	MYC
HIST1H2BC	HIST1H4E
HIST1H2BC	HDAC2
HIST1H2BC	IL33
HIST1H2BC	KLK3
HIST1H2BC	HOXA1
HIST1H2BC	E2F1
COPS7A	TP53
COPS7A	MYC
COPS7A	COMMD2
COPS7A	FBXL20
COPS7A	JUN
CDKN1A	SP1
CDKN1A	HIST1H4E
CDKN1A	USP4
CDKN1A	BIK
CDKN1A	HDAC2
CDKN1A	UBC
CDKN1A	JUN
CDKN1A	MYC
CDKN1A	HSPA1B
CDKN1A	E2F1
CDKN1A	TP53
CDKN1A	PDHX
CDKN1A	TGFB1
CDKN1A	VDR
CDKN1A	GPX4
PIK3R1	IGKV1D-39
PIK3R1	HOXA1
PIK3R1	CD86
PIK3R1	FGF18
PIK3R1	DVL1
PIK3R1	GNB4
PIK3R1	UBC
PIK3R1	FGFR4
PIK3R1	TCF3
PIK3R1	GNG10
PIK3R1	GNA15
PIK3R1	NFKBIA
PIK3R1	ITSN1
PIK3R1	TP53
PIK3R1	FGF7
PIK3R1	VDR
PIK3R1	IGKV3D-20
PIK3R1	PPARA
PIK3R1	IGLV2-8
CCL28	SP1
CCL28	GNG10
CCL28	CCL21
CCL28	GNB4
FGF18	IGLV2-8
FGF18	FGFR4
FGF18	FGF11
FGF18	GNG10
FGF18	UBC
FGF18	FZD8
FGF18	IGKV3D-20
FGF18	DVL1
FGF18	TLR9
FGF18	GNB4
FGF18	IL33
FGF18	FGF7
FGF18	CD86
FGF18	IGKV1D-39
FGF18	FZD7
NFKBIA	SP1
NFKBIA	NLRC5
NFKBIA	UBC
NFKBIA	HSPA1B
NFKBIA	HDAC2
NFKBIA	TP53
NFKBIA	TGFB1
NFKBIA	VDR
RANBP2	MYC
RANBP2	KLK3
RANBP2	TP53
RANBP2	HSPA1B
RANBP2	JUN
RANBP2	SEMA6C
SEMA6C	TCF3
SEMA6C	KLK3
SEMA6C	SP1
GNG10	WNT3A
GNG10	GNB4
GNG10	FGFR4
GNG10	IGLV2-8
GNG10	HCAR2
GNG10	S1PR2
GNG10	FZD7
GNG10	GNA15
GNG10	CD86
GNG10	IGKV3D-20
GNG10	FGF7
GNG10	TLR9
GNG10	IL33
GNG10	ADRA1D
GNG10	LRP6
GNG10	CCL21
GNG10	TRPC6
GNG10	IGKV1D-39
GNG10	FZD8
GNG10	DVL1
WNT3A	GNA15
WNT3A	LRP6
WNT3A	FZD7
WNT3A	ZNRF3
WNT3A	FZD8
WNT3A	TCF3
WNT3A	DVL1
WNT3A	GNB4
FZD7	DVL1
FZD7	PPARA
FZD7	GNA15
FZD7	FGF7
FZD7	ZNRF3
FZD7	GNB4
FZD7	TP53
FZD7	LRP6
FZD7	FGF11
FZD7	TGFB1
FZD7	SP1
FZD7	CD86
IL33	IGKV3D-20
IL33	FGF7
IL33	GNB4
IL33	FGFR4
IL33	IGLV2-8
IL33	IGKV1D-39
IL33	CD86
IL33	DVL1
FZD8	FGF7
FZD8	LRP6
FZD8	TGFB1
FZD8	DVL1
FZD8	GNB4
FZD8	SP1
FZD8	CD86
FZD8	GNA15
FZD8	ZNRF3
FZD8	FGF11
MYC	FGF11
MYC	TP53
MYC	TCF3
MYC	TGFB1
MYC	HSPA1B
MYC	JUN
MYC	HDAC2
MYC	HIST1H4E
MYC	SP1
MYC	FGFR4
MYC	RXRG
MYC	USP4
MYC	ABCA1
MYC	HOXA1
MYC	VDR
MYC	RNF125
MYC	UBC
MYC	E2F1
MYC	TRIM8
MYC	POLR3K
FGF11	JUN
FGF11	E2F1
FGF11	TP53
FGF11	SP1
FGF11	FGF7
FGF11	FGFR4
FGF11	TCF3
ADRA1D	TRPC6
ADRA1D	VDR
ADRA1D	STIM1
ADRA1D	GNA15
ADRA1D	GNB4
PPARA	TP53
PPARA	ABCA1
PPARA	TCF3
PPARA	TGFB1
PPARA	LRP6
PPARA	HIST1H4E
PPARA	HCAR2
PPARA	SP1
PPARA	RXRG
PPARA	ACADM
PPARA	TRPC6
PPARA	VDR
PPARA	ZFYVE1
PPARA	JUN
PPARA	FGFR4
HIST1H4E	CD86
HIST1H4E	JUN
HIST1H4E	HCAR2
HIST1H4E	KLK3
HIST1H4E	HOXA1
HIST1H4E	HDAC2
TGFB1	TP53
TGFB1	E2F1
TGFB1	TRPC6
TGFB1	VDR
TGFB1	NLRC5
TGFB1	HSPA1B
TGFB1	HOXA1
TGFB1	JUN
TGFB1	STIM1
TGFB1	SP1
TGFB1	HCAR2
TGFB1	UBC
TGFB1	IMPDH1
TGFB1	KLK3
VDR	SP1
VDR	HCAR2
VDR	FBXL20
VDR	RXRG
VDR	HSPA1B
VDR	TP53
VDR	JUN
VDR	GC
VDR	STIM1
VDR	FGFR4
VDR	ABCA1
VDR	TCF3
VDR	TRIM8
CD86	IGLV2-8
CD86	FGFR4
CD86	IGKV3D-20
CD86	DVL1
CD86	TLR9
CD86	GNB4
CD86	FGF7
CD86	IGKV1D-39
TP53	E2F1
TP53	UBC
TP53	RNF125
TP53	HSPA1B
TP53	JUN
TP53	HDAC2
TP53	SP1
TP53	HCAR2
TP53	FGFR4
TP53	BRF1
TP53	S100A1
TP53	TRIM8
HDAC2	TCF3
HDAC2	JUN
HDAC2	HSPA1B
HDAC2	SP1
HDAC2	USP4
HOXA1	TRIM8
HOXA1	TCF3
HOXA1	SP1
RBM23	RIPPLY2
RIPPLY2	USP4
IGLV2-8	GNB4
IGLV2-8	FGFR4
IGLV2-8	DVL1
IGLV2-8	TLR9
IGLV2-8	TRPC6
IGLV2-8	FGF7
FGF7	TCF3
FGF7	IGKV1D-39
FGF7	IGKV3D-20
FGF7	TLR9
FGF7	FGFR4
FGF7	GNB4
FGF7	DVL1
FGF7	UBC
TRPC6	IGKV3D-20
TRPC6	STIM1
TRPC6	GNB4
TRPC6	IGKV1D-39
TRPC6	GNA15
GNA15	STIM1
GNA15	DVL1
GNA15	CCL21
GNA15	GNB4
GNA15	S1PR2
GNA15	LRP6
GNA15	SP1
COMMD2	FBXL20
COMMD2	UBC
JUN	TRIM8
JUN	UBC
JUN	HSPA1B
JUN	GPX4
JUN	GNB4
JUN	IMPDH1
JUN	KLK3
JUN	PDHX
JUN	ACADM
JUN	SP1
JUN	STIM1
JUN	S1PR2
BRF1	POLR3K
BRF1	UBC
FGFR4	ABCA1
FGFR4	UBC
FGFR4	IGKV3D-20
FGFR4	DVL1
FGFR4	TLR9
FGFR4	GNB4
FGFR4	IGKV1D-39
SP1	KLK3
SP1	ITSN1
SP1	E2F1
SP1	TRIM8
SP1	UBC
SP1	HSPA1B
SP1	ABCA1
SP1	GPX4
SP1	HCAR2
SP1	STIM1
SP1	IMPDH1
TMEM91	ABCA1
TMEM91	SLC16A10
POLR3K	E2F1
CCL21	GNB4
HCAR2	GNB4
HCAR2	ABCA1
HCAR2	RXRG
ALAS2	ACADM
ALAS2	PDHX
ZNRF3	LRP6
IGKV3D-20	DVL1
IGKV3D-20	GNB4
IGKV3D-20	TLR9
E2F1	TCF3
E2F1	USP4
E2F1	UBC
E2F1	S1PR2
TRIM8	TCF3
