#tail	head
KLHL38	CTAG1A
KLHL38	TRAF1
KLHL38	SLC15A2
KLHL38	KRT35
KLHL38	TEPSIN
ESD	GGT1
ESD	LIPF
SERPINB1	HSD11B1
SERPINB1	SEPHS1
SERPINB1	SSR1
TRIM28	CCDC6
TRIM28	SSR1
TRIM28	SEPHS1
GPANK1	TEPSIN
GPANK1	HSF2BP
GPANK1	AES
GPANK1	ABI2
HSD11B1	FASN
EEF1A1	LAMTOR1
EEF1A1	SEPHS1
EEF1A1	PTPN11
EEF1A1	SSR1
AGTRAP	LNX1
AGTRAP	PRPF18
FRS2	VAV3
FRS2	ABI2
FRS2	PTPN11
FRS2	CCDC6
FRS2	IGLC3
IGLC3	PTPN11
IGLC3	ABI2
IGLC3	VAV3
LAMTOR1	CTAG1A
LAMTOR1	SLC7A6
SLC27A6	DGAT1
SLC27A6	FASN
SEPHS1	FASN
SEPHS1	SSR1
CCDC6	LNX1
ABI2	PTPN11
ABI2	HSF2BP
ABI2	AES
ABI2	LNX1
SLC15A2	ANPEP
SLC15A2	GGT1
C1orf94	HSF2BP
C1orf94	AES
LNX1	TRAF1
LNX1	FASN
LNX1	HSF2BP
LNX1	PTPN11
GGT1	SLC7A6
GGT1	ANPEP
AES	KRT35
AES	TRAF1
VAV3	TRAF1
VAV3	PTPN11
PRPF18	ASCC2
PRPF18	HSF2BP
PRPF18	KRT35
LIPF	DGAT1
SSR1	FASN
HSF2BP	TEPSIN
FASN	SLC7A6
FASN	DGAT1
FASN	PTPN11
ASCC2	TEPSIN
CTAG1A	TEPSIN
SLC7A6	ANPEP
TEPSIN	KRT35
