#tail	head
ATG5	PML
ATG5	ADIPOQ
ATG5	HSPE1
ATG5	FABP5
ATG5	EREG
ATG5	AREG
PML	NUP85
PML	TOP2B
PML	IER3
PML	NUPL2
PML	SLC1A2
PML	ADIPOQ
PML	GSTP1
PML	SLC2A1
PML	NUP210
PML	CD28
PML	S100A7
PML	MDM2
PDIK1L	CTDSPL2
PDIK1L	PPARA
IGHV2-5	ESR1
IGHV2-5	NRG2
IGHV2-5	PIK3CA
IGHV2-5	PIP5K1B
IGHV2-5	BLNK
IGHV2-5	CD28
IGHV2-5	EREG
IGHV2-5	TRPC3
IGHV2-5	BAIAP2
IGHV2-5	IGKV2-30
IGHV2-5	AREG
IGHV2-5	NTRK3
PPP2CB	PPP2R2B
PPP2CB	NUP85
PPP2CB	IER3
PPP2CB	PPARA
PPP2CB	BAIAP2
PPP2CB	PIP5K1B
PPP2CB	AURKB
PPP2CB	ESR1
PPP2CB	PTGES3L-AARSD1
PPP2CB	MDM2
AURKB	NUP85
AURKB	NUP210
AURKB	NUPL2
NUP85	NUP210
NUP85	KPNA2
NUP85	MDM2
NUP85	TOP2A
NUP85	NUPL2
RYR1	S100A8
RYR1	TRPC3
RYR1	CD28
RYR1	MYOM2
RYR1	MYL5
RYR1	TCF3
COL9A2	CRTAP
COL9A2	ILK
COL9A2	ACTB
S100A7	FABP5
S100A7	ESR1
S100A7	PPP2R2B
SLC1A4	SLC13A1
SLC1A4	GCLM
SLC1A4	PSAT1
SLC1A4	SLC27A3
SLC1A4	NFS1
SLC1A4	PPARA
SLC1A4	LGSN
AREG	FCHO2
AREG	ARPC1A
AREG	IGKV2-30
AREG	APOB
AREG	PIK3CA
AREG	PIP5K1B
AREG	CD28
AREG	BAIAP2
AREG	BLNK
AREG	PI4K2B
PIK3CA	FCHO2
PIK3CA	CD28
PIK3CA	EREG
PIK3CA	SYT11
PIK3CA	BAIAP2
PIK3CA	NTRK3
PIK3CA	APOB
PIK3CA	ARPC1A
PIK3CA	PSAT1
PIK3CA	HSPE1
PIK3CA	RICTOR
PIK3CA	PI4K2B
PIK3CA	NRG2
PIK3CA	ESR1
PIK3CA	IGKV2-30
PIK3CA	PIP5K1B
PIK3CA	PDK1
PIK3CA	BLNK
PDK1	ALDH2
PDK1	NFS1
FGB	ALDH2
FGB	MEF2A
FGB	PPID
APOB	ARPC1A
APOB	PI4K2B
APOB	EREG
APOB	SLC2A1
APOB	PIP5K1B
APOB	SYT11
APOB	ADIPOQ
APOB	FCHO2
APOB	PPARA
ESR1	ILK
ESR1	HECTD1
ESR1	IGKV2-30
ESR1	TOP2B
ESR1	PPARA
ESR1	IGFBP2
ESR1	IER3
ESR1	HSPE1
ESR1	FABP5
ESR1	ADIPOQ
ESR1	SLC2A1
ESR1	TOP2A
ESR1	BAIAP2
ESR1	NFS1
ESR1	PIP5K1B
ESR1	BLNK
ESR1	TCF3
ESR1	GSTP1
ESR1	ACTB
ESR1	S100A8
ESR1	CD28
