#tail	head
HIST1H2BD	YY1
HIST1H2BD	HIST1H4C
HIST1H2BD	EP300
HIST1H2BD	RPS27A
HIST1H2BD	HOXB2
HIST1H2BD	DNMT3L
HIST1H2BD	HDAC1
ERG28	BTBD2
ERG28	EBP
YY1	SMAD3
YY1	DNMT3L
YY1	HIST1H4C
YY1	ELAVL1
YY1	EP300
YY1	OTX2
YY1	HDAC1
IGHV4-59	IRAK4
IGHV4-59	FGF8
IGHV4-59	AKT1
IGHV4-59	CUX1
CDK2AP1	HDAC1
CDK2AP1	CUX1
CDK2AP1	ELAVL1
SMAD3	DNMT3L
SMAD3	OTX2
SMAD3	CFLAR
SMAD3	HDAC1
SMAD3	AKT1
SMAD3	RPS27A
SMAD3	EP300
SMAD3	CHRNB2
HIST1H4C	HDAC1
HIST1H4C	PAK2
HIST1H4C	DAXX
HIST1H4C	CFLAR
HIST1H4C	DNMT3L
HIST1H4C	EP300
HIST1H4C	RPS27A
HIST1H4C	HOXB2
IRAK4	AKT1
IRAK4	CUX1
IRAK4	CD36
IRAK4	FGF8
F2RL1	DNMT3L
F2RL1	MFSD10
F2RL1	CHRNB2
CHRNB2	AKT1
CHRNB2	FGF8
EP300	RPS27A
EP300	HOXB2
EP300	MED7
EP300	PAK2
EP300	AKT1
EP300	CARM1
EP300	CD36
EP300	FGF8
EP300	HDAC1
DNMT3L	MED7
DNMT3L	HDAC1
MFSD10	USB1
DAXX	CFLAR
DAXX	HDAC1
DAXX	FGF8
DAXX	CARM1
RPS27A	AKT1
RPS27A	PSMD5
RPS27A	CFLAR
RPS27A	FGF8
PSMD5	LNPEP
PSMD5	BTBD2
PSMD5	ELAVL1
AKT1	CFLAR
AKT1	PAK2
AKT1	CUX1
AKT1	LNPEP
AKT1	FGF8
SMIM12	USB1
SMIM12	ELAVL1
ELAVL1	PAK2
ELAVL1	CARM1
ELAVL1	USB1
ELAVL1	EBP
CD36	CARM1
CD36	MED7
CUX1	FGF8
CUX1	STX6
CUX1	HOXB2
HLA-C	LNPEP
HLA-C	LILRA3
LILRA3	HDAC1
FGF8	CARM1
FGF8	HDAC1
EBP	STX6
PAK2	STX6
