#tail	head
RPL41	RPS27A
RPL41	PPP2R1A
RPL41	RPS2
FIG4	MYOD1
FIG4	PTEN
CALM1	MYOD1
CALM1	IGHV4-39
CALM1	PRKCG
CALM1	PRKCZ
CALM1	ARNT
CALM1	IGKV3-20
CALM1	IGLV2-8
CALM1	HNF1A
CALM1	LCP2
CALM1	ITPR2
CALM1	FBXO9
CALM1	CSNK2B
STRIP1	PPP2R1A
SPTA1	DCTN2
SPTA1	PARP1
AMBP	ALDH1A2
AMBP	IGKV3-20
AMBP	IGLV2-8
AMBP	HNF1A
AMBP	PIK3R3
IMPDH2	PAX4
IMPDH2	RARA
HNF1A	KITLG
HNF1A	KLF9
HNF1A	ANXA5
HNF1A	PAX4
HNF1A	LMO2
HNF1A	NR1H4
HNF1A	CDK2
NDUFA4	MYOD1
IGHG1	IGKV3-20
IGHG1	IGLV2-8
IGHG1	LCK
IGHG1	PIK3R3
SFSWAP	DLST
RPS2	RARA
RPS2	ARNT
RPS2	PPP2R1A
RPS2	MAX
SORD	CTTN
SORD	SPINT1
SORD	NAPG
LRRC8D	LMO2
LRRC8D	RXRB
BCAM	UBE2I
SPINT1	CTTN
SPINT1	PPP2R1A
SPINT1	DLST
SPINT1	PSMC6
SPINT1	LMO2
VTI1B	STAMBP
VTI1B	DCTN2
VTI1B	NAPG
IGLC6	IGHV4-39
IGLC6	IGLV2-8
IGLC6	LCP2
IGLC6	ITPR2
IGLC6	KITLG
IGLC6	PTEN
IGLC6	PRKCG
IGLV2-8	JAK2
IGLV2-8	LCP2
IGLV2-8	KITLG
IGLV2-8	PTEN
IGLV2-8	PIK3R3
IGLV2-8	PTPN11
MAX	TNFAIP1
MAX	CDK2
MAX	FTH1
MAX	NDUFB5
MAX	ALDH1A2
MAX	RXRB
MAX	KITLG
MAX	RPS27A
MAX	CSNK2B
MAX	RAD9A
LCP2	IGHV4-39
LCP2	ITPR2
LCP2	PTEN
LCP2	STAMBP
LCP2	KITLG
LCP2	IGKV3-20
LCP2	PRKCZ
LCP2	EPS8
LMO2	PRKCZ
LMO2	MAP4K3
PAX4	MAP4K3
PAX4	LCK
PAX4	PRKCG
IL13RA1	KITLG
DLST	NDRG1
DLST	EEF1G
PPP2R1A	PSMC6
PPP2R1A	PTPN11
PPP2R1A	PSMC2
PPP2R1A	PRKCI
PPP2R1A	RARA
RARA	EEF1G
RARA	CTTN
RARA	PRKCI
RARA	PARP1
RARA	PRKCG
RARA	CSNK2B
RARA	MYOD1
PARP1	UBE2I
PARP1	RPS27A
PARP1	ALDH1A2
PARP1	PTEN
PARP1	FTH1
PARP1	CDK2
PARP1	SNRNP200
PSMC2	RPS27A
PSMC2	DCTN2
PSMC2	PSMC6
PSMC2	SNRNP200
LCN2	ALDH1A2
LCN2	FTH1
LCN2	NFKB1
CDK2	CTTN
CDK2	MYOD1
CDK2	PSME1
CDK2	NR1H4
CDK2	ANXA5
CDK2	UBE2I
CDK2	RPS27A
TNFAIP1	ARNT
RTF2	CTTN
RTF2	NAPG
RPS27A	PRKCZ
RPS27A	PSMC6
RPS27A	PTPN11
NDRG1	ANXA5
IGKV3-20	PRKCG
IGKV3-20	LCK
IGKV3-20	PTPN11
IGKV3-20	IGHV4-39
IGKV3-20	KITLG
IGKV3-20	PTEN
IGKV3-20	PIK3R3
IGKV3-20	JAK2
ITPR2	JAK2
ITPR2	PRKCG
ITPR2	PRKCZ
JAK2	IGHV4-39
JAK2	KITLG
JAK2	PTEN
MYOD1	PRKCG
CTTN	NAPG
CTTN	PRKCI
CTTN	EEF1G
ALDH1A2	NR1H4
PTPN11	PRKCZ
PTPN11	IL6R
PTPN11	IGHV4-39
PTPN11	STAMBP
PSME1	PIK3R3
LCK	PTEN
LCK	PIK3R3
LCK	PRKCG
LCK	EPS8
LCK	JAK3
LCK	PRKCZ
ARNT	UBE2I
JAK3	IL6R
JAK3	KITLG
JAK3	EPS8
JAK3	PRKCZ
PIK3R3	IGHV4-39
PIK3R3	PTEN
PIK3R3	NFKB1
FBXO9	NR1H4
SNRNP200	UBE2I
SNRNP200	EEF1G
SNRNP200	PSMC6
NFKB1	PTEN
NFKB1	PRKCZ
ANXA5	CRNN
KITLG	IGHV4-39
RXRB	NR1H4
CSNK2B	PRKCZ
CSNK2B	PTEN
ALDH1B1	FMO1
EPS8	PTEN
PRKCG	IGHV4-39
IGHV4-39	PTEN
PTEN	FTH1
PTEN	PRKCZ
