#tail	head
UBA52	AURKB
UBA52	FGFR4
UBA52	TGFBR2
UBA52	SPRY2
UBA52	CDKN1A
UBA52	ZNF16
UBA52	NCBP2
UBA52	MYC
UBA52	ANAPC15
UBA52	ACER1
ADCYAP1	GNG10
ADCYAP1	CDKN1A
ADCYAP1	IL1B
ADCYAP1	DPP4
DGKE	PLCG2
DGKE	SAMD8
DGKE	GNG10
DGKE	IGHD
DGKE	IGLV1-47
PTPN1	PTPN2
PTPN1	SNRPD2
PTPN1	REPIN1
PTPN1	MET
PTPN1	SPRY2
PTPN1	HGF
PTPN1	MYC
PTPN1	IL1B
PTPN1	FGFR4
PTPN1	AURKB
IDH3A	CLDN3
IDH3A	MT2A
IDH3A	MYC
RBMX	AURKB
RBMX	PPP1CA
RBMX	SNRPD2
RBMX	PRPF4B
RBMX	NCBP2
RBMX	BCAS2
RBMX	TNIP2
RBMX	SNRPG
RBMX	SNRPA1
RBMX	GPKOW
RBMX	DDX5
SNRPD2	MYC
SNRPD2	REPIN1
SNRPD2	BCAS2
SNRPD2	DDX5
SNRPD2	PPP1CA
SNRPD2	SNRPG
SNRPD2	GPKOW
SNRPD2	SNRPA1
SNRPD2	SNRNP35
SNRPD2	PRPF4B
SNRPD2	NCBP2
TPRN	PPP1CA
TPRN	PDLIM7
TPRN	PPP1R3A
DPP4	SLBP
DKC1	ENDOG
DKC1	MYC
DKC1	HDAC11
NCBP2	PRPF4B
NCBP2	MYC
NCBP2	SLBP
NCBP2	TNIP2
NCBP2	SNRPG
NCBP2	SNRPA1
NCBP2	BCAS2
NCBP2	SNRNP35
NCBP2	GPKOW
NCBP2	DDX5
PTPN2	MET
PTPN2	HGF
PTPN2	AURKB
PTPN2	FGFR4
PTPN2	STAT1
CLDN3	IL1B
CLDN3	MYC
CLDN3	BDNF
DNAJB1	ZNF16
DNAJB1	SLBP
REPIN1	MYC
REPIN1	RUNX1
REPIN1	SRF
REPIN1	PDLIM7
REPIN1	HDAC11
REPIN1	TGFBR2
REPIN1	HOXB1
REPIN1	DDX5
REPIN1	CACNB2
REPIN1	GRIN2B
REPIN1	TFAP4
REPIN1	MYLK
RASD1	PLSCR1
RASD1	KRTAP10-8
HGF	MYC
HGF	FGFR4
HGF	GNG10
HGF	IGLV1-47
HGF	PLCG2
HGF	MET
HGF	IGHD
HGF	IL1B
CDKN1A	TNIP2
CDKN1A	HDAC11
CDKN1A	IL1B
CDKN1A	MT2A
CDKN1A	ANAPC15
CDKN1A	MYC
CDKN1A	GOLGA2
CDKN1A	SPHK2
SNRNP35	SNRPG
SNRNP35	MAP4K2
GNG10	BDNF
GNG10	FGFR4
GNG10	IGHD
GNG10	MET
GNG10	CACNB2
GNG10	GPR18
GNG10	IGLV1-47
GNG10	PLCG2
BDNF	FGFR4
BDNF	SRF
BDNF	IGHD
BDNF	IL1B
BDNF	MYC
BDNF	IGLV1-47
BDNF	MT2A
BDNF	STAT4
BDNF	PLCG2
BDNF	GRIN2B
BDNF	STAT1
MYC	ACAN
MYC	MET
MYC	IL1B
MYC	TFAP4
MYC	TNIP2
MYC	MT2A
MYC	FGFR4
MYC	PLCG2
MYC	SRF
MYC	DDX5
MYC	YBX3
MYC	GRIN2B
MYC	PPP1CA
MYC	PDLIM7
MYC	RUNX1
COL4A2	RUNX1
COL4A2	LIMS2
COL4A2	ITGA5
COL4A2	ACAN
MAP4K2	STAT1
MAP4K2	STAT4
GPKOW	TNIP2
GPKOW	SNRPA1
GPKOW	BCAS2
GPKOW	PPP1CA
GPKOW	GOLGA2
GPKOW	DDX5
GPKOW	SNRPG
GRIN2B	STAT4
GRIN2B	GRIA1
GRIN2B	CACNB2
GRIN2B	PPP1CA
GRIN2B	RUNX1
GRIN2B	TFAP4
GRIN2B	STAT1
MET	STAT4
MET	PLCG2
MET	IGLV1-47
MET	STAT1
MET	IGHD
MET	FGFR4
PDLIM7	SRF
PDLIM7	HEY2
PDLIM7	PRKD2
DEGS2	ACER1
DEGS2	SAMD8
HOXB1	RUNX1
TGFBR2	STAT1
TGFBR2	TFAP4
TGFBR2	STAT4
TGFBR2	PPP1CA
F12	IL1B
F12	MT2A
F12	GP9
SPRY2	GP9
SPRY2	KRTAP10-8
SPRY2	PLSCR1
SPRY2	FGFR4
SPRY2	PLCG2
ACAN	ITGA5
ACAN	IL1B
GRIA1	STAT1
GRIA1	GOLGA2
GRIA1	STAT4
GRIA1	PPP1CA
GRIA1	CACNB2
