#tail	head
GLB1	B3GAT2
GLB1	UGT2B4
GLB1	B4GALT3
GLB1	DDOST
GLB1	RHOA
GLB1	XYLT2
B3GAT2	UGT2B4
B3GAT2	B4GALT3
TAP1	PSMD2
TAP1	ERAP1
TAP1	GADD45GIP1
TAP1	ERVFRD-1
RDH10	VDR
RDH10	CYP3A4
RDH10	MAZ
RDH10	CRABP2
GNB1	KLRK1
GNB1	GNRH1
GNB1	PSMD2
GNB1	COX4I1
GNB1	ESR2
GNB1	IGKV1-5
GNB1	LHB
GNB1	AKT1
GNB1	GNB4
SELENOK	STT3A
SELENOK	DDOST
AKT1	CGB3
AKT1	KLRD1
AKT1	FASN
AKT1	IGKV1-5
AKT1	ESR2
AKT1	HSPB1
AKT1	MAZ
AKT1	PKM
AKT1	LHB
AKT1	IKBKB
AKT1	SMAD3
AKT1	GNB4
AKT1	MAPK1
AKT1	RHOA
AKT1	C1QA
AKT1	KLRK1
AKT1	SULT1E1
UGT2B4	CYP3A4
MAPK1	SREBF1
MAPK1	RHOA
MAPK1	ESR2
MAPK1	VDR
MAPK1	SMAD3
MAPK1	PKM
MAPK1	EGR1
CRABP2	PKM
CRABP2	SMAD3
GADD45GIP1	MRPS25
ERAP1	SCGB1D4
GNRH1	ZEB1
GNRH1	ESR2
GNRH1	LHB
GNRH1	CGB3
GNRH1	SULT1E1
ERVFRD-1	BCL2L2-PABPN1
SCAP	BTNL8
GNB4	KLRD1
GNB4	MYOG
GNB4	ZEB1
GNB4	RHOA
GNB4	IGKV1-5
IGKV1-5	C1QA
IGKV1-5	RHOA
IGKV1-5	KLRK1
IGKV1-5	FGR
IGKV1-5	ESR2
IGKV1-5	KLRD1
C1QA	MYOG
C1QA	MAZ
C1QA	ZEB1
EGR4	HRK
EGR4	ACTN1
EGR4	TPM4
EGR4	EGR1
EGR4	ZEB1
EGR4	LRRC4
SULT1E1	ZEB1
SULT1E1	CGB3
SULT1E1	CYP3A4
SULT1E1	VDR
SULT1E1	ESR2
SULT1E1	LHB
APBB2	SMAD3
APBB2	APOL2
DUSP21	FGR
DUSP21	COX4I1
ESR2	STT3A
ESR2	MYOD1
ESR2	MRPS25
ESR2	SREBF1
ESR2	TPM4
ESR2	FGR
ESR2	ZEB1
ESR2	RHOA
ESR2	DDOST
ESR2	KLRK1
ESR2	VDR
ESR2	MYOG
ESR2	PSMD2
ESR2	SCRIB
ESR2	CGB3
ESR2	SMAD3
ESR2	ATP5F1B
ESR2	COX4I1
ESR2	LHB
ESR2	EGR1
ATP5F1B	MYOD1
ATP5F1B	MYOG
ATP5F1B	B4GALT3
ATP5F1B	DDOST
KLRD1	RHOA
COX4I1	DDOST
COX4I1	TPM4
COX4I1	CHCHD3
KRTAP5-7	SAMD11
KRTAP5-7	KRTAP5-2
KRTAP5-7	LCE3B
SAMD11	MAZ
PKM	SREBF1
PKM	HSPB1
PKM	VDR
PKM	EGR1
PKM	CYP3A4
PKM	FASN
PKM	ACTN1
CHCHD1	MRPS25
SMAD3	ITGB5
SMAD3	LHB
SMAD3	ZEB1
SMAD3	VDR
SMAD3	MYOD1
SMAD3	ARHGEF7
IKBKB	NR2C2
IKBKB	HSPB1
IKBKB	FASN
FASN	TPM4
MID2	LMNTD2
MID2	PSMD2
MID2	MYOD1
LRRC4	SREBF1
LRRC4	MAZ
LRRC4	ITGB5
AFDN	FGR
KLRK1	RHOA
OSBP2	BTNL8
OSBP2	EGR1
MYOG	FGR
MYOD1	FGR
MYOD1	EGR1
MYOD1	STT3A
MYOD1	ZEB1
MYOD1	VDR
LMNTD2	ZEB1
LMNTD2	EGR1
LMNTD2	KRTAP5-2
FGR	ZEB1
FGR	VDR
RHOA	EGR1
RHOA	MAZ
RHOA	SREBF1
RHOA	ROBO1
RHOA	ARHGEF7
RHOA	ARHGAP39
BNC1	HRK
B4GALT3	XYLT2
ARHGEF7	SCRIB
ARHGEF7	HSPB1
ARHGEF7	VDR
LHB	VDR
LHB	HSPB1
LHB	EGR1
LHB	CGB3
LHB	CYP3A4
DDOST	STT3A
XYLT2	MAZ
XYLT2	ZEB1
XYLT2	SREBF1
ITGB5	CABLES1
ITGB5	TPM4
ITGB5	ACTN1
SCRIB	ACTN1
ROBO1	CABLES1
ROBO1	ARHGAP39
STT3A	SREBF1
HRK	VDR
HRK	EGR1
HRK	BCL2L2-PABPN1
CYP3A4	VDR
CYP3A4	CGB3
CYP3A4	ZEB1
HSPB1	ACTN1
HSPB1	CGB3
BTNL8	CNNM1
EGR1	CGB3
EGR1	TPM4
EGR1	MAZ
EGR1	VDR
EGR1	PSMD2
ACTN1	SREBF1
ZEB1	MAZ
CNNM1	MAZ
CNNM1	SCGB1D4
MAZ	CGB3
MAZ	VDR
KRTAP5-2	LCE3B
VDR	CGB3
TPM4	PSMD2
