#tail	head
IFNAR1	TRIM25
IFNAR1	MAX
IFNAR1	IFNB1
IFNAR1	PTPN1
IFNAR1	IL12RB1
IFNAR1	PTPN6
IFNAR1	HNF1A
CLINT1	CUL3
CLINT1	SDC4
CLINT1	SMN1
CLINT1	FLNA
CLINT1	SH3KBP1
CLINT1	JUN
ZMAT2	TRIM25
ZMAT2	FXR1
ZMAT2	HIST1H3J
CUL3	SNRPB
CUL3	TRA2B
CUL3	NOG
CUL3	APP
CUL3	SMN1
CUL3	UBB
CUL3	FLNA
CUL3	SRPK2
CUL3	PSPC1
CUL3	CUL4B
CUL3	RPL23A
CUL3	WNK1
CUL3	DDX21
CUL3	ELP1
CUL3	RPL15
CUL3	MTREX
CUL3	SF3B4
CUL3	HSPA8
CUL3	FXR1
CUL3	SNRPG
CUL3	ZNF711
CUL3	RPL12
APP	SLC8A2
APP	PTGS2
APP	GATA1
APP	TRIM47
APP	HNF1A
APP	SRPK2
APP	TOMM5
APP	FOXO3
APP	BLOC1S6
APP	IFNB1
APP	SF3B4
APP	HSPA8
APP	RPL12
APP	TRIM25
APP	SYT1
APP	AHR
APP	JUN
APP	SORL1
APP	UBB
APP	PRDM1
APP	SLC24A1
APP	CUL4B
NOG	SDC4
NOG	PI4K2B
NOG	PRDM1
NOG	FLNA
NOG	PSPC1
NOG	SLC8A2
NOG	AHR
NOG	MAGOHB
NOG	USP47
NOG	WNK1
NOG	HNF1A
NOG	HIST1H3J
NOG	JUN
NOG	SYT1
NOG	SH3KBP1
NOG	RPL15
NOG	TOMM5
NOG	FZD2
NOG	CUL4B
NOG	SORL1
NOG	PTGS2
NOG	TRIM25
NOG	DPYSL3
NOG	FAM221A
NOG	CHRNA3
NOG	FXR1
NOG	TRA2B
NOG	PLP2
NOG	MAX
NOG	PACSIN3
MTREX	LSM7
MTREX	EXOSC8
MTREX	SF3B4
MTREX	SNRPG
MTREX	SNRPB
MTREX	TRA2B
MTREX	E4F1
MTREX	JUN
MTREX	HSPA8
MTREX	THOC1
HNF1A	PACSIN3
HNF1A	JUN
HNF1A	GATA1
HNF1A	DPYSL3
HNF1A	GDI2
HNF1A	PHTF1
HNF1A	PRDM1
HNF1A	PTGS2
HNF1A	CASKIN2
HNF1A	RPL23A
HNF1A	WNK1
CUL4B	RPL23A
CUL4B	AHR
CUL4B	DDX21
CUL4B	RPL15
CUL4B	FOXO3
CUL4B	HSPA8
CUL4B	RPL12
CUL4B	TRA2B
CUL4B	UBB
CUL4B	SNRPG
CUL4B	PSPC1
CUL4B	HIST1H3J
CUL4B	SNRPB
PMPCA	PIP5K1C
PMPCA	CISD3
IFNB1	PTPN6
IFNB1	FZD2
IFNB1	IL12RB1
IFNB1	PTPN1
IFNB1	PTGS2
PTPN1	PCDHB12
PTPN1	MAX
PTPN1	JUN
PHTF1	TRIM25
FZD2	FLNA
FZD2	SLC24A1
CISD3	TOMM5
ELP1	USP47
ELP1	HIST1H3J
ELP1	TRIM25
ELP1	PLP2
ELP1	JUN
ELP1	MAX
ELP1	FLNA
SH3KBP1	SMN1
SH3KBP1	GATA1
SH3KBP1	SYT1
SH3KBP1	FAM221A
SH3KBP1	PACSIN3
SH3KBP1	FXR1
SH3KBP1	UNC45A
SH3KBP1	GDI2
SH3KBP1	SDC4
SH3KBP1	FLNA
SH3KBP1	SYT8
SH3KBP1	HSPA8
SH3KBP1	CASKIN2
SH3KBP1	SPECC1L
SH3KBP1	FBXO28
SH3KBP1	UBB
SH3KBP1	EXOSC8
SH3KBP1	PIP5K1C
SH3KBP1	DDX21
SH3KBP1	PI4K2B
RPL23A	RPL15
RPL23A	RPL12
RPL23A	MAGOHB
RPL23A	TRIM25
RPL23A	DDX21
RPL23A	JUN
RPL23A	PACSIN3
RPL15	RPL12
RPL15	JUN
RPL15	TRIM25
RPL15	MAGOHB
RPL15	MAX
RPL15	DDX21
RPL15	SPECC1L
PCDHB12	CTNNA3
FXR1	SDC4
FXR1	SMN1
FXR1	SRPK2
FXR1	THOC1
FXR1	JUN
FXR1	MAX
FXR1	MAGOHB
HIST1H3J	MAGOHB
HIST1H3J	GATA1
HIST1H3J	JUN
HIST1H3J	H2AFZ
HIST1H3J	HSPA8
HIST1H3J	SNRPG
HIST1H3J	ZNF711
HIST1H3J	FLNA
HIST1H3J	DDX21
SDC4	UBB
SDC4	FAM221A
SDC4	GDI2
SDC4	FLNA
SDC4	HSPA8
SDC4	DDX21
SDC4	SMN1
SDC4	UNC45A
SDC4	EXOSC8
SDC4	PIP5K1C
SDC4	SPECC1L
SLC4A9	SLC24A1
SLC4A9	CHRNA3
SLC4A9	SLC8A2
THOC1	SF3B4
THOC1	LSM7
THOC1	SNRPG
THOC1	SNRPB
THOC1	TRA2B
THOC1	MAGOHB
THOC1	MAX
THOC1	JUN
DDX21	RPL12
DDX21	E4F1
DDX21	H2AFZ
DDX21	SMN1
DDX21	SRPK2
DDX21	JUN
TRIM47	ANKS1A
TRIM47	JUN
H2AFZ	AHR
H2AFZ	JUN
H2AFZ	MAX
H2AFZ	GATA1
AHR	HSPA8
AHR	PRDM1
AHR	ANKS1A
AHR	PTPN6
AHR	PTGS2
AHR	TRIM25
AHR	FHOD1
AHR	FOXO3
AHR	JUN
AHR	MAX
AHR	SORL1
SF3B4	LSM7
SF3B4	TRIM25
SF3B4	JUN
SF3B4	TRA2B
SF3B4	SNRPG
SF3B4	SNRPB
SF3B4	MAGOHB
SF3B4	HSPA8
EXOSC8	LSM7
EXOSC8	FHOD1
EXOSC8	JUN
EXOSC8	SNRPB
EXOSC8	SMN1
GATA1	SRPK2
GATA1	TRIM25
GATA1	JUN
GATA1	ZNF711
GATA1	USP47
GATA1	CTNNA3
UNC45A	CEP170
UNC45A	SMN1
UNC45A	MAX
PTPN6	IL12RB1
PTPN6	PTGS2
PTPN6	MAX
FOXO3	PTGS2
FOXO3	WNK1
FOXO3	MAX
FOXO3	PRDM1
HSPA8	SYT8
HSPA8	SNRPG
HSPA8	RPL12
HSPA8	SNRPB
HSPA8	TRA2B
HSPA8	MAGOHB
HSPA8	SMN1
HSPA8	UBB
HSPA8	CEP170
HSPA8	NUP188
HSPA8	WNK1
HSPA8	LSM7
HSPA8	TRIM25
HSPA8	GDI2
HSPA8	SYT1
HSPA8	PACSIN3
HSPA8	JUN
HSPA8	MAX
ZNF711	E4F1
SMN1	FAM221A
SMN1	GDI2
SMN1	NUP188
SMN1	FLNA
SMN1	SNRPG
SMN1	SNRPB
SMN1	BLOC1S6
SMN1	SPECC1L
SMN1	LSM7
SMN1	UBB
OS9	SORL1
OS9	RNF139
OS9	UBB
PI4K2B	TRIM25
PI4K2B	SYT1
PI4K2B	PIP5K1C
PI4K2B	SYT8
PI4K2B	UBB
SNX6	JUN
SNX6	USP47
SNX6	FAM221A
PTGS2	JUN
BLOC1S3	BLOC1S6
BLOC1S3	TRIM25
FBXO28	E4F1
FBXO28	CTNNA3
FLNA	SLC24A1
FLNA	TRA2B
FLNA	JUN
JUN	TRIM25
JUN	PLP2
JUN	PACSIN3
JUN	FHOD1
JUN	MAX
JUN	SYT8
JUN	RPL12
JUN	SNRPB
JUN	TRA2B
JUN	SPECC1L
JUN	GDI2
JUN	UBB
JUN	SRPK2
JUN	PRDM1
JUN	PSPC1
JUN	WNK1
SLC24A1	CHRNA3
SLC24A1	SLC8A2
PACSIN3	UBB
PACSIN3	PIP5K1C
PACSIN3	SYT8
PACSIN3	SYT1
GDI2	TRIM25
UBB	E4F1
UBB	SYT1
UBB	TRIM25
UBB	DLGAP4
UBB	PIP5K1C
UBB	RNF139
UBB	SYT8
WNK1	TRIM25
WNK1	FHOD1
PLP2	TRIM25
PLP2	DLGAP4
MAGOHB	SNRPG
MAGOHB	NUP188
MAGOHB	SNRPB
MAGOHB	RPL12
MAGOHB	TRA2B
ANKS1A	TRIM25
ANKS1A	E4F1
ANKS1A	MAX
PRDM1	DPYSL3
SYT1	PIP5K1C
SYT1	CHRNA3
MAX	FHOD1
MAX	DLGAP4
MAX	TRIM25
MAX	DPYSL3
CHRNA3	SLC8A2
TRA2B	SNRPG
TRA2B	LSM7
TRA2B	SNRPB
TRA2B	SRPK2
TRA2B	E4F1
TRIM25	CTNNA3
TRIM25	NUP188
TRIM25	BLOC1S6
TRIM25	SNRPB
TRIM25	DLGAP4
TRIM25	RPL12
TRIM25	SRPK2
FHOD1	E4F1
CEP170	SRPK2
CEP170	PSPC1
PIP5K1C	SYT8
NUP188	SNRPG
NUP188	SNRPB
SRPK2	SNRPB
SNRPB	SNRPG
SNRPB	LSM7
LSM7	SNRPG
