#tail	head
MAP3K7	ARRB2
MAP3K7	PDPK1
GNB1	GNG13
GNB1	APP
GNB1	SMN1
GNB1	SH3KBP1
GNB1	WASF2
GNB1	LCP2
GNB1	APC
GNB1	PIP5K1B
GNB1	JUN
GNB1	NTRK1
GNB1	HRAS
GNB1	PDGFRB
GNB1	FGF22
ARRB2	PIK3CG
ARRB2	GSK3B
PNP	GCLC
PNP	SIRT7
HRAS	SH3KBP1
HRAS	GCLC
HRAS	WASF1
HRAS	JUN
HRAS	GSK3B
HRAS	PIK3CG
HRAS	PTK2
HRAS	PIP5K1A
HRAS	WASF2
HRAS	PDPK1
PDPK1	PTPRK
PDPK1	FGF5
PDPK1	LCP2
PDPK1	RET
PDPK1	GNG13
BPNT1	MOCS1
BPNT1	IQCB1
GNG13	FGF5
GNG13	SH3KBP1
GNG13	WASF2
GNG13	PIK3CG
GNG13	PIP5K1B
GNG13	VAV3
GNG13	PDGFRB
GNG13	VAV1
EMD	TUBB3
EMD	SH3KBP1
EMD	SMN2
EMD	CCDC8
ADRA1B	SLA2
ADRA1B	PPBP
ADRA1B	GNG5
CYFIP1	WASF2
CYFIP1	PIP5K1B
CYFIP1	JUN
CYFIP1	GNG5
CYFIP1	FGFR1OP
ATAD3A	DDX39B
ATAD3A	MKI67
HIST1H3E	POLR1C
HIST1H3E	DHX35
HIST1H3E	RET
HIST1H3E	PBX1
HIST1H3E	MKI67
PDGFRB	PIP5K1B
PDGFRB	JUN
PDGFRB	PIP5K1A
PDGFRB	FGF5
PDGFRB	SH3KBP1
PDGFRB	NTRK1
PDGFRB	FGF22
PDGFRB	WASF2
LCP2	APC
LCP2	CALM2
LCP2	FGF22
LCP2	FGFR1OP
LCP2	VAV1
SMN2	MKI67
SMN2	GSK3B
SMN2	SH3KBP1
SMN2	IGF2BP3
SMN2	IQCB1
SMN2	TUBB3
FGF22	VAV1
FGF22	SH3KBP1
FGF22	PIK3CG
FGF22	IL1RL1
FGF22	WASF1
FGF22	PIP5K1A
POLR1C	TAX1BP1
POLR1C	SMN1
POLR1C	RPAP1
POLR1C	GSK3B
IARS	NTRK1
AHNAK	SMN1
AHNAK	VIM
AHNAK	CCDC8
PDZRN4	JUN
PDZRN4	PPBP
PIP5K1B	WASF2
PIP5K1B	FGF5
PIP5K1B	PTK2
PIP5K1B	VAV3
PIP5K1B	VAV1
PIP5K1B	SH3KBP1
PIP5K1B	FGFR1OP
LPAR3	JUN
LPAR3	PTK2
LPAR3	ASZ1
LPAR3	GNG5
QSER1	FAM170A
PTPRK	NTRK1
PTPRK	RET
CCDC8	RET
DDX39B	SYMPK
DDX39B	CALM2
PIP5K1A	APP
PIP5K1A	KLHDC3
PIP5K1A	WASF1
PIP5K1A	PIK3CG
PIP5K1A	PTK2
PIP5K1A	VAV3
PIP5K1A	VAV1
PIP5K1A	SH3KBP1
PIP5K1A	GNG5
CDKN1A	RAVER1
CDKN1A	APP
CDKN1A	GSK3B
CDKN1A	TUBB3
AGBL5	GCLC
AGBL5	JUN
MCMDC2	APP
VIM	GSK3B
RAVER1	APP
HNRNPH3	JUN
HNRNPH3	SMIM1
HNRNPH3	SH3KBP1
HNRNPH3	XPO1
LAMA4	RXRB
VAV3	PIK3CG
VAV3	FGFR1OP
VAV3	VAV1
GNG5	FGFR1OP
GNG5	VAV1
GNG5	SH3KBP1
GNG5	WASF2
GNG5	IL1RL1
GNG5	FGF5
APC	GSK3B
APC	VAV1
APC	XPO1
NTRK1	WASF2
NTRK1	ATF1
NTRK1	SYMPK
NTRK1	RPAP1
NTRK1	TAX1BP1
NTRK1	TUBB3
NTRK1	DPYSL5
CALM2	TRPV4
CALM2	VAV1
SMIM1	PPBP
SMIM1	PTK2
DHX35	ESS2
DHX35	XPO1
DPYSL5	GSK3B
XPO1	RPAP1
XPO1	FGFR1OP
XPO1	TNIK
XPO1	JUN
XPO1	GSK3B
TAX1BP1	TNFRSF1A
ATF1	NKD2
ATF1	SIRT7
SIRT7	MKI67
SIRT7	APP
SIRT7	IGF2BP3
KLHDC3	MOCS1
KLHDC3	SYMPK
MKI67	JUN
MKI67	SMN1
PPBP	SLA2
PPBP	GCLC
TUBB3	JUN
TUBB3	SMN1
TUBB3	IQCB1
SH3KBP1	TNFRSF1A
SH3KBP1	PTK2
SH3KBP1	FGFR1OP
WASF2	FGF5
WASF2	VAV1
WASF2	PIK3CG
WASF2	JUN
GATD1	APP
FGF5	IL1RL1
FGF5	PBX1
FGF5	FGFR1OP
FGF5	VAV1
VAV1	FGFR1OP
GSK3B	APP
GSK3B	FGFR1OP
GSK3B	JUN
GSK3B	PTK2
RET	FGFR1OP
IGF2BP3	JUN
IQCB1	SMN1
IQCB1	FGFR1OP
PPP1R13B	APP
PPP1R13B	NINL
GCLC	JUN
ASNS	JUN
PTK2	SMN1
PTK2	PIK3CG
