#tail	head
MT-CO2	RAB1B
MT-CO2	NDUFV2
TBC1D22B	TRIM27
TBC1D22B	TBC1D22A
HIST1H2BB	HIST1H4L
HIST1H2BB	YY1
HIST1H2BB	APP
HIST1H2BB	PLK1
DTX2	LINC01600
DLG3	YY1
FOXC1	FBXW11
NEFL	APP
NEFL	PPP1R18
LSM4	HNRNPA0
LSM4	HNRNPK
LSM4	SRSF3
CMTR1	PRKAR1A
RAB11A	CDK1
RAB11A	RAB1B
RAB11A	IKBKG
RAB11A	PLK1
PRKAR1A	GNAI2
WDR33	EEF1G
WDR33	PHF5A
EEF1G	HIST1H4L
EEF1G	AAR2
TSPAN10	ADAM10
NDUFB9	NDUFV2
EPHA8	EFNA3
EPHA8	ADAM10
EFNA5	ADAM10
YY1	RAB1B
YY1	SRSF3
YY1	HIST1H2BJ
YY1	FBXW11
YY1	GABPB1
YY1	KRTAP9-8
YY1	GNAI2
AAR2	HIST1H4L
AAR2	RAB1B
AAR2	RBBP7
AAR2	HIST1H4A
AAR2	CDK1
SRSF3	HNRNPA0
SRSF3	HNRNPK
SRSF3	APP
HIST1H2BJ	KAT5
HIST1H2BJ	HIST1H4A
HIST1H2BJ	OIP5
HIST1H2BJ	CXCL8
HIST1H2BJ	HOXB2
HNRNPK	HNRNPF
HNRNPK	PHF5A
HNRNPK	MKI67
HNRNPK	CDK1
HNRNPK	HNRNPA0
PLK1	PRKACA
PLK1	CDK1
FOXP3	KAT5
FOXP3	HSPA1B
TUBA3C	DCAF12
TUBA3C	YWHAZ
ATXN2L	SPDL1
CHRNG	KRT31
OIP5	HIST1H4A
OIP5	HIST1H4L
PRPF39	FBXW11
LINC01600	KRTAP9-2
LINC01600	KRTAP12-4
LINC01600	KLHL38
CDK1	APLP2
CDK1	ABCC1
CDK1	PRKACA
CDK1	HIST1H4L
CDK1	APP
HNRNPA0	HNRNPF
HNRNPA0	PHF5A
NOS1AP	APP
SPDL1	HSPA1B
TRIM27	PPP1R18
TRIM27	ABCC1
CAPZB	APP
KRT31	KRTAP9-2
ADAM10	APP
IKBKG	YWHAZ
IKBKG	HSPA1L
IKBKG	FBXW11
IKBKG	HSPA1B
KLHL38	KRTAP9-2
KLHL38	KRTAP9-8
PHF5A	HNRNPF
GNAI2	ABCC1
GNAI2	CXCL8
GNAI2	PRKACA
YWHAZ	HNRNPF
YWHAZ	APP
YWHAZ	HIST1H4L
YWHAZ	PRKACA
YWHAZ	HSPA1B
YWHAZ	FBXW11
HIST1H4L	SHMT1
HIST1H4L	HOXB2
HIST1H4L	CXCL8
GABPB1	RAB1B
ABCC1	CXCL8
ABCC1	APP
PRKACA	CXCL8
PRSS23	APP
PRSS23	SHMT1
HSPA1L	HSPA1B
HSPA1L	SHMT1
HSPA1L	APP
RNF8	UBE2E2
HIST1H4A	CXCL8
HIST1H4A	HOXB2
HIST1H4A	KAT5
GATAD2A	ZNF827
NOL11	APP
NOL11	HNRNPF
NOL11	FBXW11
NDUFV2	KAT5
RBBP7	ZNF827
RBBP7	HSPA1B
RBBP7	HOXB2
FBXW11	RPAP3
FBXW11	APP
DCAF12	APP
CXCL8	UBE2E2
UBE2E2	APP
HSPA1B	APLP2
HSPA1B	RAD23A
HSPA1B	APP
APLP2	APP
KAT5	APP
APP	RAB1B
