#tail	head
TFDP3	HSP90AA1
TFDP3	E2F4
HIST1H1E	HIST1H3J
HIST1H1E	MTUS1
CDYL	PLAUR
CDYL	HIST1H3J
CDYL	IRF7
OCRL	GNAI1
OCRL	TXK
OCRL	HSP90AA1
OCRL	PDX1
OCRL	SNX33
OCRL	NXF1
OCRL	GNG13
OCRL	GNG4
OCRL	GNG11
FCGR2A	TXK
FCGR2A	GNG4
FCGR2A	GNG13
FCGR2A	GNG11
FCGR2A	FGFR1OP
FCGR2A	HSP90AA1
INCA1	PCSK5
INCA1	EPHB6
IRF7	DMD
IRF7	FEV
IRF7	FHL3
GNG4	GNG13
GNG4	GNG11
GNG4	LPAR6
GNG4	TXK
GNG4	RLN3
GNG4	HSP90AA1
GNG4	FGFR1OP
GNG4	GNAI1
TUBA4A	NXF1
TUBA4A	PLAUR
TUBA4A	FGFR1OP
TUBA4A	CEP164
TUBA4A	HSP90AA1
TUBA4A	SNCA
PCIF1	PDX1
PCIF1	E2F4
DMD	POU1F1
DMD	E2F4
DMD	FOXJ2
DMD	TRPM1
DMD	GOPC
DMD	PDX1
DMD	STAT5A
DMD	LPAR6
TXK	HSP90AA1
TXK	FGFR1OP
TXK	GNG13
TXK	GNG11
E2F4	NXF1
E2F4	CCND1
E2F4	SOAT1
STAT6	MTUS1
STAT6	FEV
STAT6	LMO4
STAT6	STAT5A
STAT6	GSK3B
IL21	STAT5A
IL21	POU1F1
TMEM63A	SARAF
TMEM63A	GPR89B
LPAR6	GNG13
LPAR6	GNG11
LPAR6	GPR89B
LSS	BAX
GNG11	GNG13
GNG11	HSP90AA1
GNG11	FGFR1OP
GNG11	GNAI1
GNG11	RLN3
STAT5A	LMO4
STAT5A	BATF
STAT5A	GSK3B
STAT5A	CSMD3
GNAI1	RLN3
GNAI1	GNG13
GNAI1	TRPM1
GNAI1	SLC24A2
GNAI1	PDX1
FOXJ2	SARAF
FOXJ2	CSMD3
NAT2	SOAT1
NAT2	NAA10
GOPC	BATF
GOPC	NXF1
BAX	YWHAB
BAX	GSK3B
BAX	RNF144B
BAX	SNCA
FHL3	LMO4
FHL3	MTUS1
TRPM1	SLC24A2
TRPM1	ATP2C2
CCND1	GSK3B
CCND1	POU1F1
CCND1	BCL3
CCND1	NXF1
CCND1	HIST1H3J
CCND1	PDX1
RLN3	GNG13
YWHAB	SNCA
YWHAB	SOAT1
YWHAB	HIST1H3J
YWHAB	HSP90AA1
SLC24A2	GNPDA2
SLC24A2	ATP2C2
FGFR1OP	GSK3B
FGFR1OP	HSP90AA1
FGFR1OP	CEP164
FGFR1OP	GNG13
PADI1	HIST1H3J
PADI1	GNPDA2
HSP90AA1	EPHB6
HSP90AA1	GNG13
HSP90AA1	SNCA
HSP90AA1	CEP164
HSP90AA1	GSK3B
HSP90AA1	NXF1
SARAF	NXF1
PCSK5	POU1F1
PCSK5	PLAUR
SNX33	NAA10
NXF1	RNF144B
NXF1	LMO4
SNCA	GSK3B
BCL3	GSK3B
PDX1	EPHB6
CSMD3	POU1F1
LMO4	GSK3B
