#tail	head
PPP2R2D	TCEAL1
PPP2R2D	JUN
PPP2R2D	FOXD4L6
MYO18A	IGKV5-2
MYO18A	CDK2
MYO18A	FGF4
MYO18A	GRAP2
MYO18A	IGLC7
MYO18A	TCF3
MYO18A	FGFR4
MYO18A	MYL6
MYO18A	TREM2
MYO18A	DVL1
MYO18A	BDNF
MYO18A	PIK3CD
MYO18A	ENO1
MYO18A	IGHG3
MYO18A	EGFR
MYO18A	IGHV3-23
MYO18A	FRS2
RASAL2	EGFR
RASAL2	SKP1
RASAL2	CEP128
RASAL2	PIK3CD
RASAL2	LEF1
RASAL2	TCF3
RASAL2	POLR1A
RASAL2	CD3EAP
RASAL2	DDIT4L
BRD4	NMI
BRD4	TCF3
BRD4	JUN
BRD4	CKM
BRD4	YWHAZ
BRD4	CUL3
KCTD9	DDIT4L
KCTD9	CDPF1
KCTD9	EGFR
KCTD9	CUL3
KCTD9	GEM
KCTD9	LNX1
KCTD9	SKP1
FRS2	IGLC7
FRS2	IGHV3-23
FRS2	MAPK1
FRS2	EGFR
FRS2	FGF4
FRS2	IGHG3
FRS2	BDNF
FRS2	FGFR4
FRS2	GRAP2
FRS2	PIK3CD
FRS2	IGKV5-2
FRS2	DVL1
DVL1	PIK3CD
DVL1	MAP2K3
DVL1	CEP128
DVL1	IGKV5-2
DVL1	IGLC7
DVL1	FGF4
DVL1	TREM2
DVL1	FGFR4
DVL1	BDNF
DVL1	DOCK1
DVL1	TCF3
DVL1	CUL3
DVL1	EGFR
DVL1	IGHV3-23
DVL1	GSK3A
DVL1	IGHG3
DVL1	GRAP2
BHLHE40	ENO1
BHLHE40	EGR4
BHLHE40	TCF3
BHLHE40	LEF1
BHLHE40	STK19
BHLHE40	ESRRA
BHLHE40	RXRA
BHLHE40	CDPF1
CDK2	DNM1L
CDK2	ESRRA
CDK2	GOT2
CDK2	TCF3
CDK2	VCP
CDK2	MYL6
CDK2	HSP90AB1
CDK2	MAPK1
CDK2	YWHAZ
CDK2	RPS15A
CDK2	IDH2
CDK2	PSMB10
CDK2	COMT
CDK2	ENO1
CDK2	STOML1
CDK2	SKP1
CDK2	PKM
GRIA3	MYL6
GRIA3	MECOM
GRIA3	LEF1
IGKV5-2	GRAP2
IGKV5-2	BDNF
IGKV5-2	FGFR4
IGKV5-2	DOCK1
IGKV5-2	IGHG3
IGKV5-2	EGFR
IGKV5-2	PIK3CD
IGKV5-2	FGF4
IGKV5-2	TREM2
IGKV5-2	IGHV3-23
MAPK1	HSP90AB1
MAPK1	FGF4
MAPK1	YWHAZ
MAPK1	CREB1
MAPK1	JUN
MAPK1	RAB2A
MAPK1	BDNF
MAPK1	FGFR4
MAPK1	MBP
MAPK1	PKM
MAPK1	EGFR
MAPK1	NEFM
MAPK1	MAP2K3
MAPK1	DNM1L
MAPK1	RXRA
MAPK1	TCF3
MAPK1	VCP
POLR1A	POLR3C
POLR1A	ENO1
POLR1A	H2AFX
POLR1A	TAF1B
POLR1A	CD3EAP
POLR1A	SKP1
POLR1A	HIST1H2BC
STK19	CREB1
RPS15A	LEF1
RPS15A	EGFR
RPS15A	CUL3
RPS15A	JUN
RPS15A	GSK3A
CD3EAP	SKP1
CD3EAP	H2AFX
CD3EAP	MBP
CD3EAP	JUN
CD3EAP	HIST1H2BC
CD3EAP	TAF1B
IGHG3	IGHV3-23
IGHG3	DOCK1
IGHG3	EGFR
IGHG3	PIK3CD
IGHG3	IGLC7
IGHG3	TREM2
