#tail	head
TANK	APP
TANK	OXSR1
TANK	FADD
FADD	YES1
FADD	GOLGA7B
GOLGA7B	HGS
GFI1	ESR1
GFI1	HOXA5
BARHL1	ESR1
NSUN4	FOXL2
NSUN4	CA10
NNMT	PNMT
NNMT	APP
HOXA5	YES1
HOXA5	ESR1
HOXA5	APP
ESR1	XRCC6
ESR1	APP
ESR1	NOTCH1
ESR1	SLC39A1
ESR1	STAT3
ESR1	PNMT
ESR1	FOXL2
STAT3	NOTCH1
STAT3	ZFYVE9
STAT3	CA10
STAT3	YES1
SPRR2A	CTTN
SPRR2A	YES1
CTTN	YES1
CTTN	XRCC6
CTTN	HGS
YES1	APP
SLC39A1	APP
SLC39A1	NOTCH1
KCND3	SLC12A1
KCND3	XRCC6
XRCC6	NOTCH1
XRCC6	FOXL2
NOTCH1	APP
NOTCH1	HGS
HGS	APP
HGS	ZFYVE9
SLC12A1	OXSR1
APP	OXSR1
