#tail	head
UBA52	RPL23
UBA52	ASB11
UBA52	STUB1
UBA52	ZBTB16
UBA52	NEDD8
UBA52	PPP2CB
UBA52	EGFR
UBA52	HSPA5
UBA52	CLTC
UBA52	ITGA4
CLTC	FAM83A
CLTC	ITGA4
CLTC	PRPF8
CLTC	EFTUD2
CLTC	NEDD8
CLTC	NAPG
CLTC	EGFR
PPP2CB	PPP4C
PPP2CB	ITGA4
PPP2CB	NAPG
PPP2CB	LRFN4
PPP2CB	EGFR
ITGA4	HIST1H1C
ITGA4	RPL23
ITGA4	EFTUD2
ITGA4	PRPF8
ITGA4	SDCBP
ZBTB16	NEDD8
ZBTB16	MTUS2
PHLDA3	EFTUD2
HSPA5	NEDD8
HSPA5	HSPA1L
HSPA5	STUB1
HSPA5	PPP4R4
HSPA5	EGFR
HSPA5	EFTUD2
HSPA5	NAPG
HSPA5	RPL23
HSPA5	PRPF8
STUB1	HSPA1L
STUB1	PRPF8
STUB1	NAPG
STUB1	EGFR
EGFR	ACTA1
EGFR	PCDH8
EGFR	CDH4
EGFR	RPL23
EGFR	HSPA1L
EFTUD2	RPL23
EFTUD2	HIST1H1C
EFTUD2	PRPF8
EFTUD2	SDCBP
EFTUD2	ACTA1
HSPA1L	NEDD8
NAPG	HIST1H1C
NAPG	MTUS2
SDCBP	MTUS2
RPL23	PRPF8
RPL23	NEDD8
PRPF8	HIST1H1C
ACTA1	PCDH8
ACTA1	CDH4
CTNNAL1	PCDH8
CTNNAL1	LRFN4
CTNNAL1	CDH4
ASB11	NEDD8
KRTAP6-2	LRFN4
KRTAP6-2	FAM83A
PPP4R4	PPP4C
HIST1H1C	NEDD8
