#tail	head
ZRANB1	QARS
ZRANB1	POU2F1
ZRANB1	JRK
ZRANB1	FOXF2
SERTAD4	FOXF2
SERTAD4	CEBPB
SERTAD4	POU2F1
SERTAD4	ELAVL1
ZNF474	NOXA1
TMEM56	EGR2
TMEM56	ELAVL1
TMEM56	PRRT2
BCL2L2-PABPN1	C10orf67
BCL2L2-PABPN1	CHODL
BCL2L2-PABPN1	ELAVL1
SSR4	RPS27A
SSR4	RPS14
SSR4	RPL22
SSR4	EIF1B
SSR4	RPL7A
SSR4	SPCS1
SSR4	RPL39L
SSR4	RPL27
SSR4	ILF3
SSR4	ARF6
IGKV1-17	BDNF
IGKV1-17	GNGT2
IGKV1-17	NCKAP1
IGKV1-17	RHOG
IGKV1-17	KLRD1
IGKV1-17	KLB
IGKV1-17	PLCG1
IGKV1-17	IGHD
IGKV1-17	FRS2
IGKV1-17	FYN
PRRT2	PLCG1
PRRT2	FYN
FRS2	KLB
FRS2	PLCG1
FRS2	GNGT2
FRS2	FYN
FRS2	IGKV3-15
FRS2	BDNF
FRS2	RPS27A
FRS2	IGHD
FRS2	NCKAP1
CXCR4	MPO
CXCR4	NR3C1
CXCR4	MMP2
CXCR4	CYP2E1
CXCR4	GNGT2
JRK	FBXO17
ALDH1A3	CYP3A4
ALDH1A3	HIST4H4
ALDH1A3	CYP26A1
ALDH1A3	POU2F1
ALDH1A3	MMP2
ALDH1A3	ELAVL1
ALDH1A3	CYP2E1
ALDH1A3	HIST1H4E
ALDH1A3	CEBPB
RPL39L	RPS14
RPL39L	RPL27
RPL39L	SPCS1
RPL39L	RPL7A
RPL39L	RPL22
RPL39L	RPS27A
SERTAD2	ELAVL1
SERTAD2	TRIM28
ILF3	DDX21
ILF3	RRBP1
ILF3	RPL22
ILF3	DUX4
ILF3	RPS14
ILF3	IGF2BP1
ILF3	HIST1H3B
ILF3	RCN1
ILF3	RPL7A
ILF3	AGO1
ILF3	RPL27
FBXO17	RPS27A
CYP2E1	CYP3A4
CYP2E1	MPO
CYP2E1	ARF6
CYP2E1	MMP2
FOXF2	BDNF
FOXF2	POU2F1
FOXF2	NR3C1
FOXF2	HOXB8
FOXF2	FYN
FOXF2	RPL7A
FOXF2	EGR2
ELAVL4	IGF2BP1
ELAVL4	SOX9
ELAVL4	POU2F1
ELAVL4	NR3C1
ELAVL4	POU3F1
ACTN1	FYN
ACTN1	RRBP1
ACTN1	ITGA2
ACTN1	DUX4
ACTN1	ACTA1
FYN	KLB
FYN	PLCG1
FYN	ACTA1
FYN	IGHD
FYN	NCKAP1
FYN	NR3C1
FYN	GNGT2
FYN	ITGA2
FYN	BDNF
FYN	RHOG
FYN	KLRD1
FYN	IGKV3-15
NOXA1	QARS
NOXA1	CRYBA1
TRIM28	CHEK1
TRIM28	CCT3
TRIM28	CEBPB
TRIM28	HIST1H4E
TRIM28	CAPZA1
TRIM28	HIST1H3B
TRIM28	RRBP1
TRIM28	HIST4H4
TRIM28	ARF6
TRIM28	NR3C1
HIST4H4	PHC2
HIST4H4	CYP26A1
HIST4H4	RPS27A
HIST4H4	HIST1H3B
HIST4H4	POU2F1
HIST4H4	DDX21
HIST4H4	KMT2C
HIST4H4	EGR2
HIST4H4	AGO1
CYP26A1	CYP3A4
CYP26A1	CEBPB
CYP26A1	HIST1H4E
CYP26A1	POU2F1
CYP26A1	MMP2
NCF2	MMP2
NCF2	DDX21
DDX21	HIST1H3B
DDX21	IGF2BP1
DDX21	RPL27
DDX21	RRBP1
DDX21	DUX4
DDX21	RPL22
DDX21	RPL7A
DDX21	RPS14
DDX21	HIST1H4E
CERK	NR3C1
CERK	RPS14
CERK	CRYBA1
RPL27	SPCS1
RPL27	RPL7A
RPL27	IGF2BP1
RPL27	RPS14
RPL27	RPS27A
RPL27	RPL22
RPL27	QARS
RPL27	HIST1H3B
BCL2L2	CHODL
BCL2L2	POU2F1
BCL2L2	C10orf67
BCL2L2	ELAVL1
BDNF	IGHD
BDNF	POU2F1
BDNF	NCKAP1
BDNF	NR3C1
BDNF	MMP2
BDNF	ELAVL1
BDNF	CEBPB
BDNF	KLB
BDNF	PLCG1
BDNF	GNGT2
BDNF	IGKV3-15
ARF6	CYP3A4
ARF6	ITGA2
ARF6	POU2F1
ARF6	CEBPB
ARF6	TNFSF10
CHEK1	RPS27A
CHEK1	HIST1H3B
CHEK1	ABCC11
CHEK1	PHF2
EGR2	POU3F1
EGR2	HOXB8
EGR2	RHOG
EGR2	RRBP1
EGR2	HIST1H4E
EGR2	AGO1
EGR2	HIST1H3B
EGR2	IGF2BP1
EGR2	CEBPB
EGR2	POU2F1
EGR2	KMT2C
PLCG1	TNFSF10
PLCG1	IGKV3-15
PLCG1	KLB
PLCG1	KLRD1
PLCG1	RHOG
PLCG1	GNGT2
HIST1H4E	POU2F1
HIST1H4E	AGO1
HIST1H4E	KMT2C
HIST1H4E	RPS27A
HIST1H4E	HIST1H3B
HIST1H4E	PHC2
PHF2	HIST1H3B
POU2F1	HOXB8
POU2F1	GNB1L
POU2F1	PHC2
POU2F1	HIST1H3B
POU2F1	NR3C1
POU2F1	KMT2C
RCN1	NR3C1
RCN1	MYO9B
RCN1	RRBP1
RCN1	SOX9
RCN1	GNB1L
RRBP1	HIST1H3B
RRBP1	IGF2BP1
RRBP1	CAPZA1
RRBP1	ELAVL1
RRBP1	CCT3
RRBP1	QARS
RRBP1	CEBPB
GNB1L	POU3F1
GNB1L	CCT3
GNB1L	NR3C1
SOX9	IGF2BP1
SOX9	ELAVL1
MYO9B	RHOG
MYO9B	ACTA1
PDCD5	CCT3
PDCD5	EIF1B
IGF2BP1	RPL7A
IGF2BP1	AGO1
IGF2BP1	DUX4
IGF2BP1	PHC2
IGF2BP1	RPL22
IGF2BP1	RPS14
IGF2BP1	ELAVL1
EIF1B	CAPZA1
EIF1B	RPS14
EIF1B	ELAVL1
EIF1B	RPL22
RPL7A	RPS14
RPL7A	HIST1H3B
RPL7A	SPCS1
RPL7A	AGO1
RPL7A	RPS27A
RPL7A	RPL22
RPL7A	QARS
RPL7A	DUX4
KLRD1	NCKAP1
KLRD1	GNGT2
KLRD1	IGHD
KLRD1	IGKV3-15
KLRD1	KLB
RHOG	ACTA1
RHOG	NCKAP1
RHOG	GNGT2
RHOG	IGHD
RHOG	IGKV3-15
RHOG	KLB
CYP3A4	MPO
CYP3A4	NR3C1
CYP3A4	MMP2
CYP3A4	NRIP1
MPO	MMP2
MPO	TNFSF10
C10orf67	SYT16
NCKAP1	IGKV3-15
NCKAP1	KLB
NCKAP1	ACTA1
NCKAP1	GNGT2
MMP2	TNFSF10
SYT16	PHC2
HIST1H3B	AGO1
HIST1H3B	PHC2
HIST1H3B	RPS27A
HIST1H3B	NR3C1
HIST1H3B	RPS14
HIST1H3B	KMT2C
TNFSF10	ABCC11
NRIP1	NR3C1
NRIP1	ELAVL1
IGKV3-15	KLB
IGKV3-15	GNGT2
IGKV3-15	IGHD
RPL22	RPS27A
RPL22	SPCS1
RPL22	DUX4
RPL22	RPS14
NR3C1	ELAVL1
NR3C1	HOXB8
NR3C1	CEBPB
NR3C1	CAPZA1
NR3C1	RPS27A
KLB	RPS27A
KLB	IGHD
KLB	GNGT2
SPCS1	RPS14
SPCS1	RPS27A
DUX4	RPS14
DUX4	ELAVL1
IGHD	GNGT2
KMT2C	ELAVL1
ACTA1	CAPZA1
ACTA1	ITGA2
CAPZA1	ELAVL1
AGO1	ELAVL1
POU3F1	HOXB8
RPS14	RPS27A
CEBPB	ELAVL1
