#tail	head
PGM3	NTRK1
PGM3	OGA
PGM3	LACTB2
PGM3	GSTP1
ACSM5	KLC1
ACSM5	LYPLA2
ACSM5	ENTPD1
ACSM5	NARS
PPIB	COL24A1
PPIB	NOG
PPIB	SDHA
PPIB	JUN
PPIB	COL22A1
PPIB	NTRK1
PPIB	OGA
PPIB	P3H1
PPP2R1A	JUN
PPP2R1A	CANX
PPP2R1A	CUL1
PPP2R1A	PSMC5
PPP2R1A	LCK
PPP2R1A	SDHA
PPP2R1A	NTRK1
PPP2R1A	RPL37A
PPP2R1A	OGA
PPP2R1A	RBM8A
PPP2R1A	DYNC1H1
PPP2R1A	PAX3
PPP2R1A	SEC23A
PPP2R1A	RPL17
PPP2R1A	RPL29
PPP2R1A	RPS10
PPP2R1A	STRN3
PPP2R1A	RPN2
PPP2R1A	PSMC1
NOG	PRAG1
NOG	NTRK1
NOG	STK4
NOG	ITGAV
NOG	EDA
NOG	LEF1
NOG	GNAS
NOG	ASPH
NOG	PAX2
NOG	NPPB
NOG	NR1I2
NOG	PARVA
NOG	CBL
NOG	TGM2
NOG	AGT
NOG	TTC29
NOG	GSTP1
NOG	PAX3
NOG	HGF
NOG	MTDH
NOG	DOT1L
NOG	MAP3K14
NOG	ABCG2
NOG	JUN
NOG	NEFL
NOG	PPARA
NOG	SOCS2
NOG	LHB
NOG	PTPRZ1
NOG	DYNC1H1
NOG	NIN
NOG	CORO7
NOG	LCK
NOG	CHRNA4
NOG	CX3CL1
NOG	RBM8A
NOG	OGA
NOG	HIST1H3G
NOG	ENTPD1
NOG	MOB1A
NOG	IL12A
NOG	CDC42EP3
NOG	MEOX1
NOG	WASF3
NOG	IGF2BP3
KLC1	HLA-DRB1
KLC1	NIN
KLC1	KRT31
KLC1	OGA
KLC1	NTRK1
IGF2BP3	PPARA
IGF2BP3	CWC15
IGF2BP3	RBM8A
IGF2BP3	OGA
IGF2BP3	SEC23A
IGF2BP3	JUN
IGF2BP3	NTRK1
IGF2BP3	RPL37A
DRAP1	DR1
DRAP1	MORF4L1
RPA1	RFC3
RPA1	HIST1H4C
RPA1	JUN
RPA1	CANX
RPA1	MORF4L1
RPA1	CUL1
RPA1	ORC1
RPA1	USP10
RPA1	NTRK1
STK4	MOB1A
STK4	SRP54
STK4	IPO7
STK4	STRN3
P3H1	COL22A1
P3H1	UBE3A
P3H1	NTRK1
P3H1	CDK18
P3H1	EDA
P3H1	RBM8A
P3H1	COL24A1
P3H1	SDHA
DR1	OGA
DR1	UBE3A
DR1	HIST1H3G
RPN2	RPL37A
RPN2	RPS10
RPN2	PSMC1
RPN2	CDC73
RPN2	JUN
RPN2	CANX
RPN2	RPL17
RPN2	SDHA
RPN2	RPL29
RPN2	NTRK1
RPN2	PSMC5
ASPH	PPARA
ASPH	MYH6
ASPH	JUN
ASPH	SDHA
ASPH	LEF1
NTRK1	PSMC5
NTRK1	UBE3A
NTRK1	SRP54
NTRK1	RFC3
NTRK1	IPO7
NTRK1	CDC73
NTRK1	PSMC1
NTRK1	GNAS
NTRK1	CBL
NTRK1	GSTP1
NTRK1	OGA
NTRK1	CORO7
NTRK1	MTDH
NTRK1	CDKN3
NTRK1	SEC23A
NTRK1	HIST1H4C
NTRK1	RPL17
NTRK1	RPL29
NTRK1	CANX
NTRK1	NARS
NTRK1	SDHA
NTRK1	PTPRZ1
NTRK1	UBE2O
NTRK1	QRICH1
NTRK1	CUL1
NTRK1	USP10
NTRK1	PAX2
NTRK1	STRN3
NTRK1	DYNC1H1
NTRK1	ITGAV
NTRK1	TXLNA
NIN	TXLNA
NIN	DYNC1H1
NIN	LEF1
NIN	DOT1L
LHB	JUN
LHB	PSMC5
LHB	GSTA1
LHB	CHRNA4
LHB	PPARA
LHB	CX3CL1
LHB	IL12A
LHB	GNAS
LHB	AGT
LHB	FOXA1
LHB	UBE3A
LHB	NR1I2
LHB	ABCG2
LACTB2	LYPLA2
LACTB2	OGA
CBL	LEF1
CBL	TGM2
CBL	PSMC5
CBL	PSMC1
CBL	LCK
CBL	HGF
CBL	HLA-DRB1
CBL	OGA
CBL	ITGAV
TTC29	CDK18
TTC29	PPARA
TTC29	LEF1
MORF4L1	HIST1H4C
MORF4L1	PSMC1
MORF4L1	MEOX1
HIST1H4C	HLA-DRB1
HIST1H4C	OGA
HIST1H4C	HIST1H3G
HIST1H4C	SEC23A
HIST1H4C	JUN
HIST1H4C	LEF1
HIST1H4C	PAX2
HIST1H4C	TGM2
HIST1H4C	FOXA1
HIST1H4C	ORC1
HIST1H4C	PPARA
HIST1H4C	ACE
HIST1H4C	CUL1
HIST1H4C	GSTP1
HGF	WASF3
HGF	IL10
HGF	JUN
HGF	LCK
HGF	IL12A
PANK1	LEF1
PANK1	ENTPD1
PANK1	PPARA
HLA-DRB1	CANX
HLA-DRB1	IL10
HLA-DRB1	SEC23A
HLA-DRB1	DYNC1H1
HLA-DRB1	RGS1
HLA-DRB1	LCK
HLA-DRB1	AGT
HLA-DRB1	JUN
PAX3	MEOX1
PAX3	PAX2
PAX3	IPO7
PAX3	LEF1
PAX3	CANX
PAX3	GNAS
LEF1	CNTF
LEF1	FOXA1
LEF1	IL10
LEF1	MAP3K14
LEF1	CDKN3
LEF1	MEOX1
LEF1	UBE3A
LEF1	CUL1
LEF1	PAX2
LEF1	COL22A1
LEF1	SOCS2
LEF1	DYNC1H1
