#tail	head
SART3	NTRK1
SART3	RPF1
SART3	MAZ
SART3	LSM6
SART3	HNF4A
SART3	CTTN
PRSS46P	PRSS50
SPERT	TRIML2
SPERT	PID1
SPERT	DTNB
SPERT	POLR1C
SPERT	DGCR6
BANP	PID1
BANP	RELA
BANP	XRCC6
HSF1	BCL6
HSF1	ATP1B3
HSF1	MT1A
HSF1	SLC24A4
HSF1	TRPV6
HSF1	CSNK2A2
HSF1	LHX3
HSF1	SRSF1
HSF1	EIF4A2
HSF1	XRCC6
HSF1	VCP
HSF1	YWHAG
HSF1	SP1
HSF1	AGPAT1
HSF1	EGF
HSF1	STAT1
HSF1	SUMO1
HSF1	IL6
DTNB	PRKCA
DTNB	RORA
DTNB	SPZ1
DTNB	TRIM27
DTNB	BEGAIN
DTNB	TCF3
DTNB	VCP
DTNB	SP1
SRSF1	HNF4A
SRSF1	SYF2
SRSF1	HNRNPA0
SRSF1	ZCRB1
SRSF1	HIST1H4D
SRSF1	FUS
SRSF1	HIST2H4B
SRSF1	PPP1CA
SRSF1	YWHAG
SRSF1	LSM6
SRSF1	POLR2E
SRSF1	TOP1
SRSF1	NTRK1
SRSF1	PTBP1
SRSF1	HIST1H3B
STK4	YWHAG
STK4	PTBP1
STK4	MAP1B
STK4	XRCC6
STK4	SP1
STK4	TAOK1
STK4	KIF2A
STK4	STAT1
STK4	SPZ1
SRPRA	HNF4A
SRPRA	RPSA
SRPRA	RPL12
SRPRA	NTRK1
LSM6	POLR2E
LSM6	PTBP1
LSM6	FUS
LSM6	HERC4
LSM6	HNRNPA0
LSM6	SYF2
SRGAP2	RALGPS2
SRGAP2	MYB
SRGAP2	LPIN3
SRGAP2	NTRK1
SRGAP2	RHOB
SRGAP2	YWHAG
SRGAP2	TRIML2
SRGAP2	RHOT1
SRGAP2	TCF3
AHCY	HIST1H4D
AHCY	HNRNPA0
AHCY	CORO1C
AHCY	NAP1L1
AHCY	PPP2CB
AHCY	SAFB
AHCY	HIST3H3
AHCY	XRCC6
AHCY	EEF1AKMT1
AHCY	RELA
AHCY	ATP6V0A1
AHCY	VCP
AHCY	RPSA
AHCY	ATP1B3
AHCY	HNRNPAB
AHCY	NTRK1
AHCY	HIP1
AHCY	SETD7
AHCY	SP1
AHCY	FUS
AHCY	PPP1CA
AHCY	PTBP1
AHCY	CXXC1
AHCY	GNA13
AHCY	KMT2D
