#tail	head
NDUFB7	MAK
NDUFB7	UQCRQ
CREBBP	AKT1
CREBBP	PSMC5
CREBBP	CEBPA
CREBBP	XAF1
CREBBP	EGFR
CREBBP	CTNNB1
CREBBP	ETS2
CREBBP	HIST1H3F
CREBBP	ESR2
CREBBP	NOG
CREBBP	PSME3
CREBBP	PAX4
CREBBP	NFE2L1
CREBBP	LYN
CREBBP	SMARCB1
CREBBP	IRF1
CREBBP	KIT
CREBBP	MDM2
CREBBP	NAMPT
CREBBP	HIF1A
RNF4	QSOX2
RNF4	UBE2V1
RNF4	CTNNB1
RNF4	RPS7
RNF4	RPL14
RNF4	HIST1H3F
RNF4	CRELD1
RNF4	HIF1A
RNF4	XPO1
RNF4	PRPF8
RNF4	ITGB1
RNF4	RAD50
RNF4	PSMC5
RNF4	ZMYM2
RNF4	HIST1H1C
RNF4	NDC80
RNF4	EFTUD2
RNF4	MPDU1
RNF4	PTPRF
RNF4	CKAP5
RNF4	HNRNPH1
RNF4	ATP5MF
RNF4	SLC12A2
RNF4	HP1BP3
ANK2	HIST1H1C
ANK2	COG2
ANK2	KCNQ3
ANK2	ARCN1
ANK2	DYNC1I1
ANK2	NOG
ANK2	PAX4
ANK2	RAB1B
ETS2	GRB7
ETS2	BLNK
ETS2	TLN1
ETS2	S1PR2
ETS2	IGF2BP1
ETS2	DAPP1
ETS2	PAX4
ETS2	PLCG1
ETS2	PDE3A
ETS2	ITGB1
ETS2	LYN
ETS2	SMARCB1
ETS2	ATP8B2
ETS2	XPO1
ETS2	NUDT21
ETS2	DHX8
ETS2	GPC4
ETS2	ARPC2
ETS2	BTK
ETS2	LCK
ETS2	GMPR2
ETS2	FGR
ETS2	KIT
STON1	INPP5D
STON1	EGFR
STON1	CD3D
STON1	PIK3CB
STON1	NOG
STON1	ESR2
STON1	ARPC2
NOG	PSME3
NOG	IGF2BP1
NOG	KIT
NOG	PIK3CB
NOG	MIPEP
NOG	IFT140
NOG	RPRM
NOG	UPP1
NOG	NSL1
NOG	CTNNB1
NOG	MDM2
NOG	SLC12A2
NOG	NDC80
NOG	LUM
NOG	IRF1
NOG	IMPAD1
NOG	NUDT11
NOG	TMEM74
NOG	NUDT21
NOG	RPS27
NOG	COL1A1
NOG	GPC4
NOG	PTPRD
NOG	GNG12
NOG	ESR2
NOG	FGF1
NOG	ITGA4
NOG	HDAC4
NOG	HNRNPH1
NOG	TNC
NOG	HIST1H1C
NOG	HSF2
NOG	KIFC3
NOG	LYN
NOG	NGEF
NOG	VCAM1
NOG	DAB1
NOG	KIF3C
NOG	ITGA8
NOG	PIK3AP1
NOG	CD3D
NOG	CLDN7
NOG	ILF3
NOG	PDE3A
NOG	LCK
NOG	N4BP3
NOG	ZMYM2
NOG	INPP5D
NOG	ITGAM
NOG	DPYD
NOG	PCDH18
NOG	HIST1H3F
NOG	EGFR
NOG	RAC2
NOG	PBX3
NOG	MYL12B
NOG	MAK
NOG	DYNC1I1
NOG	TPM1
TNC	AGRN
TNC	ITGA8
TNC	LCK
TNC	ITGAM
TNC	ELN
TNC	EGFR
TNC	LUM
TNC	TLN1
TNC	COL1A1
TNC	GPC4
TNC	ESR2
TNC	ITGA4
TNC	ITGB1
IMPAD1	TPST1
IMPAD1	N4BP3
IMPAD1	PYGB
IMPAD1	UPP1
NUDT11	DHX8
NUDT11	NFE2L1
NUDT11	PYGB
NUDT11	UPP1
MPDU1	HSCB
PIK3AP1	BLNK
PIK3AP1	LCK
PIK3AP1	IGLV3-1
PIK3AP1	AKT1
PIK3AP1	IGHV4-59
PIK3AP1	PLCG1
PIK3AP1	DAPP1
PIK3AP1	GNB1
