#tail	head
KIF24	CEP250
KIF24	HAUS4
PEX2	UBE2B
ITGA4	RPS19
ITGA4	GAPDH
ITGA4	SDC1
ITGA4	HNRNPM
ITGA4	HIST1H3I
ITGA4	RPL23A
ALDH6A1	GAPDH
CXCR3	CCR10
CXCR3	AKT1
CXCR3	CACNA2D1
CXCR3	GNAI3
CXCR3	BDKRB2
CXCR3	CALM1
CXCR3	ITPR1
IGKV1-39	CALM1
IGKV1-39	IGHV3-7
IGKV1-39	KL
IGKV1-39	AKT1
IGKV1-39	IGKC
GTF2B	TAF6
GTF2B	POLR2H
GTF2B	RBL1
GTF2B	ESR1
GTF2B	MED1
GTF2B	MECP2
NOLC1	ABCG2
NOLC1	RPL8
NOLC1	YWHAQ
NOLC1	APP
FGF3	GTPBP10
FGF3	IRAK1
FGF3	ESR1
MTMR3	MEIS1
SLC35D2	GCNT3
TMEM236	TMEM179B
TMEM179B	SLC39A8
TMEM179B	HTR3C
MDM2	HNRNPM
MDM2	MRE11
MDM2	PKNOX1
MDM2	ABCG2
MDM2	USP7
CDC14A	ESR1
CDC14A	PHKB
CDC14A	GAPDH
TPP2	CARNMT1
AOX1	ABCG2
BDKRB2	CXCR2
BDKRB2	AP2M1
BDKRB2	CACNA2D1
BDKRB2	CALM1
BDKRB2	AATK
BDKRB2	NIF3L1
CRYZ	CBR3
ESR1	PIP4K2A
ESR1	APP
ESR1	NF1
ESR1	AP2M1
ESR1	POLR2A
ESR1	POU2F1
ESR1	IGKV1-33
ESR1	B4GALT2
ESR1	MED1
ESR1	ITPR1
ESR1	KL
ESR1	BTBD3
ESR1	SNRPD1
ESR1	INS
ESR1	RBL1
ESR1	SF1
ESR1	TFAP4
ESR1	HNRNPM
ESR1	POLR2E
ESR1	STUB1
BTBD3	POU2F1
NF1	SDC2
NF1	CALM1
SLC25A24	MPV17
SLC25A24	SLC39A9
KRTAP11-1	NBL1
LRRC8B	APP
RPS19	EIF3H
RPS19	ETF1
RPS19	TRAF4
NIF3L1	KCNIP1
PRMT5	SMARCC1
PRMT5	STUB1
PRMT5	POLR2A
PRMT5	HDAC5
PRMT5	SF1
PRMT5	YWHAQ
CCL3L1	GNG2
SLC39A8	ABCC8
SLC39A8	FOXA1
SLC39A8	STX4
SLC39A8	ASPA
SLC39A8	FCN3
MTHFD1L	CANT1
MTHFD1L	ATP11A
MTHFD1L	PIK3CA
MTHFD1L	ACSS1
MTHFD1L	INS
MTHFD1L	PHOSPHO1
MTHFD1L	TPTE2
IGKV1-33	ITPR1
IGKV1-33	KL
IGKV1-33	SHC1
IGKV1-33	INPP5B
IGKV1-33	GNG12
DNAJC10	MAP1LC3A
AKT1	GNAI2
AKT1	CACNA2D1
AKT1	MARK2
AKT1	IGHV3-7
AKT1	CALM1
AKT1	PIK3CA
AKT1	LNPEP
AKT1	IGKV3D-20
AKT1	EZH2
AKT1	TNNC1
AKT1	PIP4K2C
AKT1	SNCA
AKT1	STUB1
AKT1	RELA
AKT1	ABCG2
AKT1	NTRK1
AKT1	GNAI3
FBXL18	COMMD5
FBXL18	EZH2
FBXL18	UBE2B
FBXL18	UBE2M
ABCC8	HTR3C
KDM1A	HIST1H2BL
KDM1A	STX11
CDK17	MEIS1
CDK17	APP
CDK17	TUBGCP3
GAPDH	POU2F1
GAPDH	TPTE
GAPDH	ZNF598
GAPDH	NTRK1
GAPDH	GABARAPL2
GAPDH	MTAP
GAPDH	ATP11A
GAPDH	AP2M1
GAPDH	GNAI2
GAPDH	ACSS1
GAPDH	ALDH9A1
GAPDH	SNRNP70
PHKB	ATP11A
PHKB	PHOSPHO1
PHKB	NTRK1
IGKV3D-20	INPP5B
IGKV3D-20	GNG2
IGKV3D-20	PIK3CA
IGKV3D-20	ITPR1
INPP5B	CALM1
INPP5B	GNG12
INPP5B	PIK3CA
INPP5B	PIP4K2C
RPL23A	RPS3
RPL23A	CUL2
RPL23A	TUBGCP3
IRAK1	IGHV3-7
IRAK1	PIP4K2C
IRAK1	IGKC
IRAK1	GNG12
PIP4K2C	TPTE2
PIP4K2C	KL
PIP4K2C	GNAI3
PIP4K2C	APP
PIP4K2C	GNAI2
TACR1	STX4
TACR1	AP2M1
TACR1	PIP4K2A
TACR1	ADIPOR1
GCNT3	B4GALT2
GCNT3	MGAT4B
GXYLT1	PIGH
GXYLT1	PIGC
CUL2	SNRNP70
CUL2	COMMD5
CUL2	SNRPD1
CUL2	HTT
CUL2	RELA
CUL2	SYCE3
IGHV3-7	IGKC
IGHV3-7	CALM1
CYC1	ALDH9A1
SNRNP70	GNAI2
SNRNP70	HNRNPU
SNRNP70	APP
SNRNP70	POLR2E
SNRNP70	CAPZA2
SNRNP70	PRKD2
SNRNP70	FLOT1
SNRNP70	GNAI3
SNRNP70	POLR2B
RELA	APP
RELA	TAF6
RELA	INS
RELA	USP7
RELA	POLR2A
RELA	TRAF4
RELA	ABCG2
RELA	POLR2H
RELA	HNRNPU
ATP6V1F	SLC24A5
NR3C2	ABCG2
YWHAQ	FLOT1
YWHAQ	GNAI3
YWHAQ	MED1
YWHAQ	NTRK1
YWHAQ	MARK2
YWHAQ	DDX3X
YWHAQ	SGK1
YWHAQ	ATP5F1B
HAUS7	STIL
HAUS7	HAUS4
HAUS7	TUBGCP3
PDLIM5	CALU
BRMS1	APP
BRMS1	HIST1H2BL
MECP2	RPLP2
MECP2	RPL8
MECP2	RBL1
MECP2	HIST1H3I
HEXB	SLC5A1
FOXA1	CSE1L
FOXA1	MGAT4B
FOXA1	B3GALT2
FOXA1	MASP2
FOXA1	TFAP4
FOXA1	UBE2B
FOXA1	E4F1
FOXA1	TAF2
PMS2CL	ATP5F1B
RRM1	B3GALT2
RRM1	PIGH
ADIRF	IL18
TAF2	HIST1H3I
TAF2	POLR2H
NBL1	NCS1
HNRNPM	SNRPD1
HNRNPM	CEP250
HNRNPM	HNRNPU
HNRNPM	SF1
HNRNPM	DDX3X
RPS3	EIF3H
RPS3	TRAF2
RPS3	ETF1
RPS3	CEP250
RPS3	PIK3CA
RPS3	HDAC5
UGT2B11	B4GAT1
UGT2B11	PIGC
COL16A1	COL4A5
COL16A1	SDC1
KCNK5	IGFBP5
KCNK5	APP
AP2M1	CAPZA2
AP2M1	MEIS1
AP2M1	SHC1
AP2M1	MARK2
AP2M1	PIK3CA
AP2M1	RBL1
AP2M1	SNCA
CARNMT1	ZBTB2
TFAP4	SCAMP5
TFAP4	POU2F1
CCL3	GNG2
CLDN2	IGFBP5
SLC39A9	SLC5A1
SLC39A9	APP
GNAI3	NPY2R
GNAI3	CALM1
GNAI3	ARL2BP
GNAI3	GNG2
GNAI3	GRM6
GNAI3	GNG12
TSPAN3	ADIPOR1
TSPAN3	APP
KDM4C	RBL1
KDM4C	HIST1H2BL
POU2F1	HIST1H3I
POU2F1	INTS7
POU2F1	POLR2H
POU2F1	INS
POU2F1	COL4A5
PIGH	B4GALT2
PIGH	PIGC
PIGH	MGAT4B
KRTAP13-2	CSKMT
DOP1B	TPTE
SLC5A1	APP
SLC5A1	HDAC5
SLC5A1	INS
SLC5A1	IL18
ZNF598	SF1
ZNF598	DSP
ZNF598	CSE1L
ZNF598	ATP5F1B
FANCL	MRE11
GNG2	NPY2R
GNG2	KL
GNG2	OPRM1
GNG2	WNT1
GNG2	GNG12
GNG2	SLC24A5
GNG2	PIP4K2A
NCS1	PIK3CA
TUBGCP3	CEP250
TUBGCP3	HAUS4
TUBGCP3	NTRK1
TUBGCP3	HNRNPU
STUB1	APP
STUB1	SGK1
STUB1	UBE2M
STUB1	CIP2A
MARK2	MEIS1
MARK2	CAPZA2
ATP5F1B	SLC35F1
ATP5F1B	GABARAPL2
ATP5F1B	NTRK1
TNNC1	SLC24A5
TNNC1	APP
TNNC1	CALM1
MEIS1	RAB8A
MEIS1	HIST1H3I
MEIS1	E4F1
MEIS1	INS
MEIS1	PKNOX1
MEIS1	POLR2B
MEIS1	LNPEP
BTBD6	INS
SPDL1	HNRNPU
SPDL1	TRAF4
SPDL1	HIST1H3I
SPDL1	CSE1L
ASPA	APP
ASPA	INS
ASPA	PSEN1
PIP4K2A	C12orf43
PIP4K2A	KL
PIP4K2A	SHC1
COMMD5	UBE2M
SF1	SNRPD1
SF1	EIF3H
SF1	COMTD1
SF1	SIK2
SF1	POLR2H
SF1	HNRNPU
BMP5	GRM4
PHOSPHO1	PHKG2
PHOSPHO1	HSPE1
CALU	ABCG2
CALU	NTRK1
LNPEP	RAB8A
COMTD1	INS
MTAP	TPTE2
MTAP	ATP11A
COL4A5	APP
FLOT1	HIST1H3I
FLOT1	COTL1
FLOT1	CSE1L
RBL1	NTRK1
RBL1	MED1
B4GAT1	B4GALT2
E4F1	CEP250
E4F1	SCAMP5
E4F1	B3GALT2
SLC25A17	MLXIPL
SLC25A17	NPY2R
SLC25A17	PRKAG1
RAB8A	SNCA
RAB8A	CEP250
NTRK1	POLR2A
NTRK1	DDX3X
NTRK1	SHC1
NTRK1	TPTE
NTRK1	USP7
NTRK1	MED1
NTRK1	FXR2
NTRK1	TAF6
POLR2B	USP7
POLR2B	POLR2E
POLR2B	MRE11
SDC2	WNT1
SDC2	EXT2
SDC2	SHC1
SDC2	SDC1
SDC2	PIK3CA
FAR2	INS
FAR2	APP
STX4	STX11
STX4	SCAMP5
CHRNB3	CALM1
VAMP4	APP
VAMP4	PIK3CA
HIST1H3I	POLR2E
HIST1H3I	TAF6
HIST1H3I	SMARCC1
ATP6V1D	ARL2BP
TPTE	TPTE2
GNAI2	GNG12
GNAI2	SLC24A5
GNAI2	CACNA2D1
GNAI2	INS
GNAI2	CALM1
HTT	MAP1LC3A
HTT	SGK1
HTT	SNCA
HTT	MRE11
SHC1	HNRNPU
RPL8	MAP1LC3A
RPL8	RPLP2
IL18	SNCA
IL18	GRM6
IL18	GRM4
IL18	CXCR2
CAPZA2	ITPR1
GNG12	ITPR1
GNG12	HTR3C
GNG12	KL
GNG12	PIK3CA
GNG12	OPRM1
MORN4	SEPT6
CSE1L	UBE2M
CSE1L	HDAC5
PHKG2	ACSS1
PHKG2	PRKAG1
SGK1	CALM1
SGK1	INS
SGK1	PIK3CA
KL	WNT1
KL	INS
KL	PIK3CA
PRKAG1	PDE4C
PRKAG1	POU1F1
PRKAG1	INS
RNF11	USP7
RNF11	APP
POLR2H	HNRNPU
POLR2H	HIST1H2BL
POLR2H	TAF6
ETV1	STK40
ABCG2	APP
ABCG2	HDAC5
ABCG2	MRE11
USP7	POLR2E
USP7	HDAC5
USP7	MRE11
USP7	SNCA
USP7	POLR2A
COTL1	UBE2M
CXCR2	ITPR1
CXCR2	CALM1
CXCR2	CACNA2D1
TAF6	POLR2A
TAF6	APP
ADIPOR1	APP
POLR2A	PKNOX1
POLR2A	MRE11
POLR2A	SNRPD1
POLR2A	POLR2E
POLR2A	DDX3X
INS	SNRPD1
INS	RPLP2
INS	GRM6
INS	CALM1
INS	ARL2BP
INS	SNCA
INS	IGFBP5
INS	ATP11A
SNCA	PIK3CA
RPLP2	CEP250
POLR2E	GABARAPL2
POLR2E	DDX3X
POLR2E	PKNOX1
POLR2E	MRE11
POLR2E	HNRNPU
ITPR1	CALM1
ITPR1	PIK3CA
TPTE2	PIK3CA
ALDH9A1	ECHS1
SMARCC1	EZH2
SMARCC1	MRE11
SMARCC1	HNRNPU
SMARCC1	DDX3X
MAP1LC3A	HNRNPU
MAP1LC3A	SNRPD1
HDAC5	DDX3X
ECHS1	GABARAPL2
CALM1	SLC24A5
CALM1	APP
CALM1	DDX3X
CALM1	HTR3C
GABARAPL2	DSP
TMEM185A	CACNA2D1
HNRNPU	MRE11
HNRNPU	DSP
HNRNPU	DDX3X
HNRNPU	CACNA2D1
MRE11	HIST1H2BL
PIGC	MGAT4B
DSP	DDX3X
DDX3X	EZH2
STK40	POU1F1
COPS9	APP
