#tail	head
ESRRA	ITGA7
ESRRA	LAMB2
ESRRA	NOG
ESRRA	SLC30A3
POGLUT1	B3GALNT1
POGLUT1	GCNT4
ST3GAL3	NOG
GCNT4	B3GALNT1
GCNT4	ABO
PLEKHF2	TXNL4B
PLA2G1B	CYP4A22
EPN1	SERPINH1
EPN1	ARPC3
UBA52	MAPK6
UBA52	CDC34
UBA52	FBXO6
UBA52	USP7
UBA52	GAK
ZNF618	CSNK1D
ZNF618	GAPVD1
SLC30A3	DSP
SEPT7	EPB41L1
SEPT7	USP7
SEPT7	CKAP4
SEPT7	BST2
SEPT7	MAPK6
SEPT7	CSNK1D
AP1S1	BST2
AP1S1	GAK
AP1S1	MAZ
AP1S1	HIP1R
AP1S1	NOG
CFAP97	BEND3
BST2	NOG
GAK	HIP1R
GAK	SERPINH1
NOG	TXNL4B
NOG	TRIM22
NOG	HEPH
NOG	NRXN3
NOG	DSP
NOG	RPP40
NOG	LTA4H
NOG	FOXRED2
NOG	CSNK1D
NOG	BEND3
NOG	EPB41L1
NOG	BEND4
ITGA7	ITGB2
ITGA7	LAMB2
HIP1R	ARPC3
MAPK6	DSC3
MAPK6	DSP
CSNK1D	GAPVD1
CKAP4	SERPINH1
EPB41L1	MAZ
EPB41L1	NRXN3
EPB41L1	SERPINH1
NHSL2	TRAF2
NHSL2	TFCP2
DSP	SERPINH1
DSP	TRPC1
B3GNT2	OMD
LPCAT1	CDC34
MAZ	TRPC1
MAZ	BEND4
MAZ	NOB1
LAMB2	FBXO6
TXNL4B	NOB1
HEPH	FBXO6
CBX3	CDC34
USP7	TRAF2
TRPC1	NRXN3
CDC34	FBXO6
CDC34	SERPINH1
FBXO6	SERPINH1
