#tail	head
SOCS3	MAX
SOCS3	RPL7A
SOCS3	IRS1
SOCS3	GH1
SOCS3	RUNX1
SOCS3	IFNA13
SOCS3	LEP
SOCS3	IFNGR1
HOXA3	HIST1H3C
HOXA3	HIST1H4B
HOXA3	ATP12A
HOXA3	RORA
HOXA3	MCM2
HOXA3	MAX
HOXA3	FOXC1
HOXA3	U2AF2
HOXA3	SIM1
HOXA3	MEF2A
HOXA3	ZDHHC17
LEP	GH1
LEP	PDE4B
LEP	IRS1
LEP	P4HB
LEP	DRD1
LEP	INS
ZNF384	INS
ZNF384	SPOCK2
RPL7A	MCM2
RPL7A	HIST1H3C
RPL7A	RPL32
RPL7A	U2AF2
RPL7A	RPL9
BAZ1B	HIST1H3C
BAZ1B	RUNX1
BAZ1B	HIST1H4B
BAZ1B	MAX
BAZ1B	SMARCA4
GH1	SKP1
GH1	IFNA13
GH1	PSMD3
GH1	U2AF2
GH1	HIST1H4B
GH1	INS
GH1	DRD1
GH1	IRS1
ALDH8A1	HIST1H4B
ALDH8A1	SMARCA4
MCM2	PSMD3
MCM2	HIST1H3C
MCM2	U2AF2
MCM2	RPL9
MCM2	HIST1H4B
MCM2	MAX
MCM2	INS
MCM2	RPL32
MCM2	SKP1
MCM2	P4HB
PSMD3	MAX
PSMD3	SKP1
PSMD3	TRAF2
PDE4B	LIPT1
PDE4B	DRD1
PDE4B	FBP1
SIM1	FOXC1
IFNGR1	IFNA13
IFNGR1	IL16
IFNGR1	MAX
ATP12A	IRS1
ATP12A	FGF19
ATP12A	JMJD1C
MEF2A	MAX
MEF2A	ZIC5
MEF2A	IRS1
MEF2A	JMJD1C
LIPT1	MAX
LIPT1	FBP1
SKP1	MAX
SKP1	INS
ZDHHC17	INS
ZDHHC17	HIST1H3C
IRS1	INS
IRS1	FGF19
HIST1H3C	RPL32
HIST1H3C	SMARCA4
HIST1H3C	DYRK1A
HIST1H3C	RUNX1
HIST1H3C	HIST1H4B
HIST1H3C	JMJD1C
IL16	DRD1
HIST1H4B	SMARCA4
HIST1H4B	RUNX1
HIST1H4B	DYRK1A
P4HB	INS
P4HB	U2AF2
P4HB	IFNA13
U2AF2	RPL9
U2AF2	RPL32
U2AF2	MAX
INS	DRD1
INS	RPL32
INS	IFNA13
DYRK1A	TRAF2
FGF19	MAX
FGF19	DRD1
RPL9	RPL32
RPL9	MAX
MAX	DRD1
MAX	RPL32
MAX	JMJD1C
RORA	JMJD1C
RORA	SPOCK2
JMJD1C	RUNX1
SMARCA4	RUNX1
ZIC5	FOXC1
IFNA13	DRD1
