#tail	head
ANGPT2	IFNA1
ANGPT2	SP1
ANGPT2	MEF2A
ANGPT2	ETS2
ANGPT2	GATA1
ANGPT2	HCAR2
ANGPT2	PAX4
NOP2	DDX21
NOP2	HIST3H3
NOP2	RPS15A
NOP2	HIST2H3A
NOP2	BRIX1
NOP2	WDR46
NOP2	MAP3K1
NOP2	PARP1
NOP2	NBEAL2
NOP2	HIST1H3I
NOP2	HIST1H3F
NOP2	ZC3H3
NOP2	SIRT7
NOP2	INS
NOP2	MED4
NOP2	ELAVL1
IKBKG	PRKCB
IKBKG	KRT8
IKBKG	PARP1
IKBKG	CHUK
IKBKG	GADD45G
IKBKG	RPS15A
IKBKG	KIF5B
IKBKG	PRKCQ
IKBKG	MPRIP
IKBKG	UBA52
IKBKG	RPS14
IKBKG	PRKCD
IKBKG	POLR1A
IKBKG	NTPCR
IKBKG	XIAP
IKBKG	TNFRSF1A
IKBKG	HTT
IKBKG	BIRC3
IKBKG	AMOT
IKBKG	UBE2N
IKBKG	KRT18
IKBKG	STAT3
IKBKG	SNW1
IKBKG	PRKN
IKBKG	RPS11
IKBKG	MAP2K7
IKBKG	TAB2
IKBKG	MAP3K1
UBA52	MYLIP
UBA52	CDK1
UBA52	PARP1
UBA52	NFE2L2
UBA52	RPS23
UBA52	UBASH3B
UBA52	RPS15
UBA52	SP1
UBA52	XAB2
UBA52	RPS15A
UBA52	FGF10
UBA52	PABPC1
UBA52	PIP5K1B
UBA52	AURKB
UBA52	PIP5K1A
UBA52	PDCD4
UBA52	PIK3R3
UBA52	TAB2
UBA52	PSMC3
UBA52	SH3GL3
UBA52	RPS19
UBA52	PTPN11
UBA52	PSMD11
UBA52	ASB14
UBA52	NXF1
UBA52	PRKN
UBA52	NTRK2
UBA52	H2AFX
UBA52	XIAP
UBA52	PSMD6
UBA52	HIST1H2AB
UBA52	RPS11
UBA52	UBE2N
UBA52	MAD2L2
UBA52	ANAPC16
UBA52	LRSAM1
UBA52	ELOB
UBA52	EHMT1
UBA52	ASB18
UBA52	SYNJ1
UBA52	NT5C1B
UBA52	CFTR
UBA52	LAT
UBA52	RPS14
UBA52	FGF8
UBA52	CDC20
UBA52	CDC42
UBA52	BIRC3
UBA52	CBL
UBA52	HIST3H3
UBA52	CCNB1
UBA52	TNFRSF1A
UBA52	INPPL1
UBA52	ERBB3
UBA52	UCHL5
UBA52	FGF1
BMI1	UBL5
BMI1	HIST1H2AD
BMI1	CENPM
BMI1	EHMT1
BMI1	HIST3H3
BMI1	STAT3
BMI1	INS
BMI1	HIST2H3A
BMI1	YBX1
BMI1	HIST1H3I
BMI1	KLHL8
BMI1	ATXN2
BMI1	SP1
BMI1	DEK
BMI1	PARP1
BMI1	HIST1H3F
BMI1	SNW1
BMI1	TUFM
BMI1	HIST1H2AB
BMI1	AKR1B1
BMI1	H2AFX
BMI1	CENPC
BMI1	CTBP1
