#tail	head
IKBKG	USP21
IKBKG	TEC
IKBKG	MYL6
ANAPC11	PSME2
ANAPC11	CDC27
ANAPC11	CDC20
SLC11A2	CSNK2A1
SLC11A2	C5
SLC11A2	HRAS
SLC11A2	DGUOK
SLC11A2	IGF1R
SLC11A2	FN1
SLC11A2	CDC20
SLC11A2	MYL6
SLC11A2	EPB41
REXO5	TENT5A
REXO5	DQX1
FXYD1	GNG3
FXYD1	HTR3D
FXYD1	GNG10
FXYD1	KCNA10
FXYD1	KCNE3
FXYD1	GNB3
FXYD1	SLC12A7
FXYD1	HTR3A
FXYD1	KCNAB3
FXYD1	HTR3C
FXYD1	KCNK18
SLC24A5	GNG3
SLC24A5	CACNA2D2
SLC24A5	HTR3A
SLC24A5	MYL6
SLC24A5	KCNK18
SLC24A5	GNB3
SLC24A5	GNG10
SLC24A5	KCNE3
SLC24A5	KCNAB3
SLC24A5	KCNA10
SLC24A5	HTR3D
SLC24A5	HTR3C
SLC24A5	SLC12A7
KCNE3	HTR3D
KCNE3	HTR3A
KCNE3	HTR3C
LPO	AOC3
LPO	SLC12A7
SLC25A23	APPBP2
SLC25A23	EGR1
SLC25A23	APLNR
C5	GNG10
C5	AOC3
C5	GNG3
C5	FN1
C5	EGR1
C5	HRAS
C5	GNB3
C5	LTB4R
C5	CACNA2D2
KCNA10	HTR3D
KCNA10	HTR3A
KCNA10	KCNAB3
KCNA10	HTR3C
HTR3C	GNG10
HTR3C	METTL25
HTR3C	GNG3
HTR3C	HTR3A
HTR3C	KCNAB3
HTR3C	KCNK18
HTR3C	GNB3
HTR3C	CACNA2D2
HTR3C	MYL6
HTR3C	SLC12A7
GNG10	GNB3
GNG10	GNG3
GNG10	HTR3D
GNG10	PIK3CD
GNG10	TEC
GNG10	CACNA2D2
GNG10	HTR3A
GNG10	APLNR
GNG10	LTB4R
PIK3CD	HRAS
PIK3CD	GNB3
PIK3CD	GNG3
PIK3CD	TEC
PIK3CD	IGF1R
PIK3CD	LDLR
PIK3CD	GFRA1
KCNAB3	HTR3D
KCNAB3	HTR3A
KCNAB3	EGR1
METTL25	HIST1H1B
LTB4R	GNG3
LTB4R	GNB3
APPBP2	DQX1
TENT5A	TMEM131L
SEC14L1	EGR1
SEC14L1	EPB41
LDLR	GNB3
TEC	GNB3
TEC	GNG3
TEC	EYA4
EPB41	U2AF2
EPB41	FN1
CDC20	HECW2
CDC20	CDC27
CDC20	PSME2
SLC12A7	AOC3
SLC12A7	HTR3A
SLC12A7	HTR3D
SLC12A7	GABRR2
GNG3	HTR3A
GNG3	HTR3D
GNG3	CACNA2D2
GNG3	APLNR
GNG3	GNB3
GNB3	CACNA2D2
GNB3	APLNR
GNB3	HTR3A
GNB3	HTR3D
USP21	HECW2
CACNA2D2	MYL6
CACNA2D2	HTR3A
CACNA2D2	P2RX2
CACNA2D2	MCOLN3
CACNA2D2	HTR3D
EYA4	IGF1R
EYA4	EGR1
HTR3A	MYL6
HTR3A	KCNK18
HTR3A	HTR3D
GFRA1	HRAS
EGR1	IGF1R
EGR1	HRAS
EGR1	CSNK2A1
TMEM131L	MCOLN3
U2AF2	BRIX1
U2AF2	PSME2
MCOLN3	MYL6
CSNK2A1	GABRR2
CSNK2A1	CDC27
CSNK2A1	FN1
CSNK2A1	HECW2
APLNR	MDN1
FN1	MYL6
FN1	AOC3
FN1	HIST1H1B
FN1	MDN1
FN1	IGF1R
FN1	HRAS
CDC27	HECW2
CDC27	PSME2
P2RX2	MYL6
MYL6	HTR3D
HRAS	AOC3
HRAS	IGF1R
MDN1	BRIX1
KCNK18	HTR3D
HIST1H1B	DGUOK
