#tail	head
MAP3K7	NOG
MAP3K7	EIF2AK2
MAP3K7	RNF4
VAMP2	CBL
VAMP2	CACNG2
VAMP2	UBC
VAMP2	PI4K2A
VAMP2	STX1A
VAMP2	MCOLN3
OSBPL5	PI4K2A
OSBPL5	UBC
UBTD2	MRPL17
UBTD2	HMX3
UBTD2	UBC
HIST2H3D	CLOCK
MED27	MED25
SLC4A9	SLC6A3
PHKG1	MAPT
CD33	CBL
CD33	SLC39A11
RHO	CACNG2
RHO	GRK5
RHO	DLG3
RHO	SLC39A11
NOG	CBL
NOG	STAT4
NOG	MYL7
NOG	DLG3
NOG	STON1
NOG	MAPT
NOG	ROR1
NOG	GNB5
DLG3	SLC6A3
DLG3	NFATC2
DLG3	RXRA
DLG3	CAV3
DLG3	MYL7
PI4K2A	HGS
TRIM28	UBC
TRIM28	STAT4
TRIM28	RBBP4
TRIM28	SH3GL1
TRIM28	ZNF707
MRPL17	NFATC2
RNF4	ZNF707
RNF4	UBC
RNF4	STX1A
RXRA	CAV3
GNB5	HRH3
CERS4	CLEC1A
STAT4	CLEC1A
NFATC2	MCOLN3
NFATC2	CBL
TMEM139	SLC35A1
MCOLN3	CAV3
MCOLN3	STX1A
PTPRG	ABL1
PTPRG	CBL
MED25	ABL1
ABL1	CBL
ABL1	HRH3
ABL1	MAPT
MAPT	SLC6A3
CBL	UBC
SH3GL1	HGS
WASHC1	HGS
HGS	UBC
USP38	UBC
