#tail	head
IKBKE	PSMA6
IKBKE	TPT1
IKBKE	DDX58
IKBKE	PA2G4
IKBKE	DLST
AFF4	REPIN1
AFF4	HIST1H3D
MOB1A	SGK1
SEC23A	PA2G4
SEC23A	LARP1
SEC23A	TMEM43
SEC23A	SPTBN1
SEC23A	FAM221A
SEC23A	SEC16A
ELL	POU2F1
ELL	REPIN1
MDFI	DNMT3A
MDFI	MAZ
SPATA31A7	DMD
SPATA31A7	IGHG1
PA2G4	SPTBN1
REPIN1	CDK2
REPIN1	DES
REPIN1	ABHD16A
REPIN1	GATA1
REPIN1	ERF
REPIN1	RNF4
REPIN1	OGA
REPIN1	FGF12
REPIN1	DRP2
REPIN1	MAN1C1
KLB	PPIA
MYB	RREB1
MYB	MAZ
MYB	MAPK3
MYB	HIST1H3E
MYB	NRF1
MYB	HIST1H3D
MYB	NOG
MYB	PSMA1
MYB	GATA1
RYR2	MAZ
RYR2	CST3
RYR2	IGHG1
RYR2	DMD
NEFL	OGA
NEFL	FAM83H
NEFL	FGF12
NEFL	DMD
NEFL	NOG
ARL6IP6	RNF4
ARL6IP6	MAZ
ARL6IP6	NOG
DDX58	PPIA
DDX58	UBD
DDX58	RPS27A
CDK2	POU2F1
CDK2	LMNA
CDK2	PPIA
CDK2	PSMA6
CDK2	DBN1
CDK2	LATS1
CDK2	ZHX1
CDK2	HIST1H4E
SLC39A14	C4B
SLC39A14	B2M
SLC39A14	CFH
HSPB7	HSPB8
HSPB7	MEIS1
HIST1H3D	CBX4
HIST1H3D	MEIS1
HIST1H3D	GATA1
HIST1H3D	CDC45
HIST1H3D	SPAG7
HIST1H3D	CXorf67
CDC16	RPS27A
CDC16	FAM83H
CDC16	USP54
CDC16	ERF
CDC16	PSMA1
CDC16	PSMA6
GAD1	NOG
GAD1	OAT
GAD1	TRIM23
PSMA6	NAP1L1
PSMA6	UBD
PSMA6	PSMA1
FNDC3B	DUSP10
ABHD16A	PTGS2
NFE2L1	CDC45
NFE2L1	MAPK3
NFE2L1	PSMA1
NFE2L1	CREB5
NFE2L1	UBE2B
NFE2L1	FAM83H
NFE2L1	POU2F1
HIST1H3E	RPS27A
HIST1H3E	CBX4
HIST1H3E	NOG
HIST1H3E	RNF4
HIST1H3E	DBN1
HIST1H3E	LARP1
HIST1H3E	MEIS1
HIST1H3E	POU2F1
HIST1H3E	CXorf67
HIST1H3E	LMNA
HIST1H3E	SPTBN1
GMNN	HECTD1
THAP1	FGF12
