#tail	head
KHSRP	TNIP2
KHSRP	XPO5
ADD2	PRKCA
RPRD1B	SEC13
RPRD1B	HNRNPA1
RPRD1B	SNW1
RPRD1B	COPS4
RPRD1B	SDC4
HNRNPC	TNIP2
HNRNPC	NUP62
ALDH16A1	INS
ALDH16A1	TGFB1
TMEM100	REEP1
GNB1	LCK
GNB1	SDC4
GNB1	CRH
GNB1	CXCL10
BCAM	CDH8
ESR1	PIK3R2
ESR1	NMNAT1
ESR1	GNA14
ESR1	INS
ESR1	THRAP3
ESR1	RSL1D1
ESR1	NPM1
ESR1	CXCL10
ESR1	POU5F1
OR8I2	REEP6
PRMT5	HIST1H3E
PGD	SDC4
PGD	TXNDC5
GNAQ	SET
PPARD	CEBPA
STT3B	DDOST
STT3B	MYC
EPHA4	LCK
UBE2C	RNF114
EXTL3	ZEB1
EXTL3	B3GALT6
SLC39A1	ORM2
SLC39A1	CXCL8
TTLL6	ZEB1
CDK4	RPRM
RTP3	LEF1
ATP6V1C1	RSPRY1
OR5B21	REEP1
SRRT	MAGOHB
SRRT	CDCA3
SRRT	CXADR
SRRT	COPS4
CCDC40	TNIP2
MEOX2	GABRB3
MEOX2	IKBKB
MEOX2	PITX2
RSL1D1	NPM1
RNF2	SF3A1
RNF2	HIST1H3C
RNF2	SEC13
RNF2	INS
RNF2	EFTUD2
MAD2L1	HIST1H3E
MAD2L1	PDS5A
GXYLT1	B3GALT6
CSNK2A1	SF3A1
CSNK2A1	HSP90B1
CSNK2A1	ZNF707
BUD31	RNASE1
TRAF1	ACTG1
MGAT5B	PIGQ
GABARAPL1	RPS13
FAF1	DDOST
TSN	MYC
HIST1H3E	SNW1
HIST1H3E	MAGOHB
HIST1H3E	ACTBL2
LEF1	CRH
LEF1	TNIP2
LEF1	REEP1
LEF1	CDCA3
LEF1	KCNH5
LEF1	HIST1H2AB
LEF1	BCL2L11
LEF1	DDIT4
LEF1	UCHL3
LEF1	CDK12
ELOC	POU5F1
CEP41	MAPRE1
GPT	ALDH7A1
HNRNPA1	NPM1
HNRNPA1	KRT34
HNRNPA1	PLOD3
HNRNPA1	SNW1
STRIP1	ZEB1
ERH	NOTCH1
ERH	THRAP3
CRH	FOXJ2
SF3A1	HNRNPM
SF3A1	SNW1
ADRA2B	PDGFB
RSPRY1	SDC4
RSPRY1	FOLR1
RSPRY1	HSPD1
PDS5A	MYC
ITGA7	ACTBL2
DUSP7	MYC
AQP9	CXCL8
AQP9	A1CF
AURKB	PPP2CB
ALDH1A3	CASP9
ALDH1A3	CYP3A4
ALDH1A3	XAF1
MAGOHB	SNW1
DPEP1	PIGQ
DPEP1	TMEM181
RPS13	DDOST
PIGQ	UAP1
PIGQ	UGT1A6
SUV39H2	ACTBL2
GNB3	GNA14
HSPD1	NDUFA10
HSPD1	DDOST
HSPD1	IARS2
HSPD1	SMTN
PLOD3	INS
THRAP3	HIST1H3C
THRAP3	SNW1
NMNAT1	TGFB1
NMNAT1	NMRK1
NMNAT1	TRPT1
SEC13	SNW1
SEC13	SDC4
HIST1H3C	ZEB1
HIST1H3C	RPL5
HIST1H3C	HOXA3
HIST1H3C	NOTCH1
HIST1H3C	NPM1
HIST1H3C	HIST1H2AB
HIST1H3C	SET
GNA14	RGS5
PRKCA	NCK1
PRKCA	PDGFB
PRKCA	FGFR2
PITX2	HOXA3
TGFB1	PDGFB
TGFB1	DEK
TGFB1	GMPS
OR2L8	REEP3
MYC	SNW1
MYC	RPL8
MYC	REEP3
MYC	HOXA3
MYC	PIGP
MYC	CYP3A4
MYC	DCUN1D4
HSP90B1	CNPY2
HSP90B1	DEK
COMMD3	COPS4
KRT31	INS
USP8	INS
IARS2	ACTG1
IARS2	INS
C8orf74	FGFR2
MRPS34	POU5F1
COP1	DCUN1D4
EPB41	ZEB1
IKBKB	CXCL8
IKBKB	RPL30
IKBKB	TPX2
ALDH7A1	GMPS
NUP160	B9D2
RPL8	NPM1
RPL8	RPL5
FGF17	GNG3
FGF17	PDGFB
RPL3L	RPL27
EARS2	SCCPDH
PIK3R2	UBB
PIK3R2	NCK1
CAPZA2	UNC45A
KDELR2	DCTN5
UBB	FBXO22
UBB	DCUN1D4
UBB	SNW1
MAPRE1	TCTN1
CEBPA	NPM1
CEBPA	ZEB1
CEBPA	HOXA3
CEBPA	NPTN
SNW1	TNIP2
SNW1	CCT2
SNW1	RPL5
SNW1	UNC45A
SNW1	SMTN
DUS3L	XPO5
TMTC4	INS
TRIM7	CTNNAL1
FGFR2	ERBB4
PDGFB	ZEB1
PDGFB	LCK
INS	MATN2
ZNF665	CXCL8
UNC45A	SMTN
UNC45A	SET
ERBB4	CDH8
ACTBL2	CCT2
ACTBL2	MYO5B
ACTBL2	MYH1
ACTBL2	ACTG1
ACTBL2	PPP2CB
CCT2	NPM1
FBXO22	SET
FBXO22	SMTN
NPM1	EFTUD2
SMTN	CDCA3
SMTN	RPL5
DEK	EFTUD2
RPL27	RPL5
RPL27	TRAM1
RPL27	EFTUD2
CYP3A4	ZEB1
CYP3A4	CXCL8
EFTUD2	KRT9
EFTUD2	MRPS25
ZEB1	HOXA3
OR4C46	RTP2
TNIP2	CHMP2B
OR2AG2	REEP3
