#tail	head
PAN2	VIM
PAN2	HIST4H4
PAN2	ALB
PAN2	HOXA3
PAN2	RPS17
PAN2	YBX1
PAN2	SFPQ
PAN2	TMOD3
PAN2	BASP1
PAN2	TUBA1A
PAN2	PPARA
PAN2	GNG12
PAN2	CNOT10
PAN2	HSPA1B
PAN2	TPM3
PAN2	NR3C1
PAN2	HIST1H4C
PAN2	RPS6
PAN2	ELAVL1
PAN2	AMPD1
PAN2	HSP90AB1
PAN2	HSP90AA1
PAN2	PKM
PAN2	SQSTM1
PAN2	CALD1
PAN2	SRRM2
PAN2	RPL9P8
PAN2	HIST2H4B
PAN2	TP53
PAN2	MYB
PAN2	TWF2
PAN2	HADHB
NDUFS2	SH3KBP1
NDUFS2	PLEKHA7
NDUFS2	MT-ND4
NDUFS2	APP
NDUFS2	LEF1
NDUFS2	STOML2
NDUFS2	NDUFAF7
NDUFS2	SQSTM1
NDUFS2	SRRM2
NDUFS2	ESR2
NDUFS2	TP53
NDUFS2	SEMA7A
NDUFS2	ENTPD3
NDUFS2	SRC
NDUFS2	SFPQ
NDUFS2	NDUFS6
NDUFS2	ALDH9A1
NDUFS2	RPN1
NDUFS2	MAZ
NDUFS2	NTRK1
NDUFS2	MT-ND4L
NDUFS2	SMTN
ISCA1	ELAVL1
ISCA1	TEPSIN
ISCA1	SPATA24
ISCA1	TRAF2
ISCA1	PPARA
E2F6	ESR1
E2F6	ZMYND8
E2F6	HNF1A
E2F6	AMY1C
E2F6	BRCA1
E2F6	MAX
E2F6	APP
E2F6	WDR5
SLC39A14	PGLYRP3
SLC39A14	APP
SLC39A14	PTK2
SLC39A14	B2M
SLC39A14	SLC6A4
SLC39A14	SELENOP
SLC39A14	HSPA1B
SLC39A14	HNF1A
SLC39A14	SLC5A1
SLC39A14	NR3C1
SLC39A14	ELAVL1
SLC39A14	PAX4
SLC39A14	HSF1
SLC39A14	HMOX1
SLC39A14	XPA
SLC39A14	ESR1
SLC39A14	ALB
SLC39A14	CEBPA
SLC39A14	TP53
ALDOA	GAPDH
ALDOA	TPM3
ALDOA	STOML2
ALDOA	RPS6
ALDOA	ESR2
ALDOA	APP
ALDOA	SMTN
ALDOA	MAZ
ALDOA	PKM
ALDOA	SRRM2
ALDOA	OGA
ALDOA	MCOLN1
ALDOA	ELK1
ALDOA	PLEKHA7
ALDOA	SEMA7A
ALDOA	SRC
ALDOA	PSEN1
ALDOA	RPN1
ALDOA	CEBPA
ALDOA	NTRK1
ALDOA	HSPA1B
ALDOA	TFAP2A
ALDOA	GNPAT
ALDOA	EIF3M
ALDOA	CA1
ALDOA	SQSTM1
ALDOA	HSP90AB1
ALDOA	ESR1
ALDOA	SLC30A2
ALDOA	TGM2
ALDOA	IFNG
ALDOA	MYB
ALDOA	SFPQ
ALDOA	BRCA1
ALDOA	HSP90AA1
ALDOA	COLEC10
ALDOA	MLH1
ALDOA	GAPDHS
ALDOA	SH3KBP1
HADHB	ADH1C
HADHB	ACSL4
HADHB	ECI2
HADHB	MCCC1
HADHB	PLA2G6
HADHB	RPS6
HADHB	ACADL
HADHB	SMTN
HADHB	PKM
HADHB	SRRM2
HADHB	TUBB1
HADHB	LPCAT3
HADHB	THEM5
HADHB	PLEKHA7
HADHB	PPARA
HADHB	SEMA7A
HADHB	SRC
HADHB	APP
HADHB	ALDH9A1
HADHB	FAR2
HADHB	TUBA8
HADHB	MAX
HADHB	STOML2
HADHB	ANXA7
HADHB	AWAT2
HADHB	SQSTM1
HADHB	HSP90AB1
HADHB	ESR2
HADHB	ADH7
HADHB	PANK4
HADHB	TP53
HADHB	ENTPD3
HADHB	SPR
HADHB	YBX1
HADHB	CRAT
HADHB	SFPQ
HADHB	RPN1
HADHB	ACACB
HADHB	NTRK1
HADHB	DBT
HADHB	ECI1
HADHB	SDS
HADHB	GNPAT
HADHB	ACSS2
HADHB	SH3KBP1
PTPN2	PTK2
PTPN2	IFNG
PTPN2	SRC
PTPN2	IFNGR1
PTPN2	POU2F1
PTPN2	PCK1
PTPN2	GAPDHS
PTPN2	GABPA
PTPN2	ITK
PTPN2	EPHA10
PTPN2	SRMS
PTPN2	TWF1
PTPN2	FGR
PTPN2	RYK
