#tail	head
POLR2I	BRCA1
POLR2I	RPA3
POLR2I	POU2F2
POLR2I	MEIS1
POLR2I	NCBP1
POLR2I	ELAVL1
POLR2I	FANCD2
POLR2I	GTF2A2
POLR2I	SNRPD2
STAT3	JAK2
STAT3	MAZ
STAT3	IKBKB
STAT3	PIK3R2
STAT3	FBXW7
STAT3	SOS1
STAT3	ELAVL1
STAT3	HDAC2
STAT3	AR
STAT3	BRCA1
STAT3	GTF2A2
STAT3	PRKAB1
STAT3	TBC1D22B
STAT3	PRKCB
STAT3	WNT4
STAT3	GATA1
STAT3	CEBPB
STAT3	AKT1
STAT3	EGFR
STAT3	PRKAG1
SNRPD2	ELAVL1
SNRPD2	PIK3R2
SNRPD2	TOP2A
SNRPD2	EGFR
SNRPD2	SOS1
SNRPD2	NCBP1
SNX2	AR
SNX2	EGFR
SNX2	NCBP1
SNX2	TSC22D1
SNX2	TGOLN2
AR	AKT1
AR	JAK2
AR	WNT7A
AR	SLC39A8
AR	HSPA1A
AR	VAV1
AR	RPA3
AR	FBXW7
AR	RBL2
AR	MDM2
AR	PRKAG1
AR	CALM1
AR	PIK3R2
AR	POU2F2
AR	HDAC2
AR	BRCA1
AR	PRKCB
AR	EGFR
AR	ID1
AR	F2
AR	CEBPB
F2	SLC31A2
F2	AKT1
F2	TSC22D1
F2	MAZ
F2	AP4E1
F2	IKBKB
F2	TMEM115
F2	CALM1
F2	CACNA2D2
F2	TRPA1
F2	SLC39A8
F2	HSPA1A
F2	CSNK2A1
F2	PRSS3
F2	PLEK
ZW10	EGFR
ZW10	TSC22D1
ZW10	CENPI
ZW10	CDCA5
ZW10	CENPA
CNOT3	MAZ
CNOT3	PRKAB1
CNOT3	GATA1
CNOT3	PRKAG1
CENPI	CDCA5
CENPI	CENPA
CENPI	BRCA1
RHOA	JAK2
RHOA	MDM2
RHOA	EGFR
RHOA	SLC39A8
RHOA	MAZ
RHOA	FAS
RHOA	VAV1
RHOA	IGKV1-16
RHOA	PIK3R2
RHOA	IGLV2-11
RHOA	SOS1
RHOA	AKT1
RHOA	HSPA1A
SLC6A15	BET1
SLC6A15	TGOLN2
RGS2	CALM1
RGS2	IBTK
RGS2	PRKCB
RGS2	EGFR
RPA3	TOP2A
RPA3	EGFR
RPA3	MATR3
RPA3	ELAVL1
RPA3	FANCD2
RPA3	TSC22D1
RPA3	TGOLN2
RPA3	CEBPB
RPA3	HSPA1A
RPA3	BRCA1
RPA3	RPL6
CCDC102B	PSMA1
CCDC102B	EFHC2
SLC39A8	MDM2
SLC39A8	IKBKB
SLC39A8	GLRA1
SLC39A8	CSNK2A1
SLC39A8	HSPA1A
SLC39A8	GATA1
SLC39A8	AKT1
AP4E1	TSC22D1
AP4E1	TGOLN2
AP4E1	ELAVL1
AP4E1	TMEM115
AP4E1	PRSS3
TOP2A	ELAVL1
TOP2A	HDAC2
TOP2A	RBL2
TOP2A	EIF6
TOP2A	FBXW7
TOP2A	PRKCB
TOP2A	CSNK2A1
TOP2A	BRCA1
TOP2A	MDM2
TEKT4	GTF2A2
TEKT4	PSMA1
TEKT4	GATA1
TEKT4	EFHC2
PARVB	LIMS1
PARVB	ACTN1
ACTN1	LIMS1
ACTN1	SNX9
ACTN1	HSPA1A
ACTN1	PSMA1
ACTN1	PLEK
ACTN1	APC
POU2F2	NCBP1
POU2F2	GTF2A2
CALM1	PRKAB1
CALM1	TRPA1
CALM1	JAK2
CALM1	AKT1
CALM1	SOS1
CALM1	VAV1
CALM1	PRKCB
CALM1	EGFR
CALM1	IGKV1-16
CALM1	PRKAG1
CALM1	INPP5D
CALM1	CACNA2D2
CALM1	MATR3
CALM1	CSNK2A1
CALM1	IGLV2-11
CALM1	PPFIA3
CALM1	ELAVL1
SLC31A2	MDM2
SLC31A2	EGFR
SLC31A2	GLRA1
SLC31A2	FAS
SLC31A2	EIF6
PSMA1	FBXW7
PSMA1	GATA1
PSMA1	IKZF1
PSMA1	USP15
PSMA1	BRCA1
PSMA1	APC
TGOLN2	SNX9
TGOLN2	INPP5D
TGOLN2	TBC1D22B
TGOLN2	PIK3R2
TGOLN2	KRI1
TGOLN2	HSPA1A
MEIS1	USP15
MEIS1	WNT4
MEIS1	MAZ
MEIS1	GTF2A2
MEIS1	ID1
MEIS1	GOLGA8A
MEIS1	FBXW7
MEIS1	CEBPB
