#tail	head
ZNF32	GCM1
DERL1	APP
DERL1	HMOX1
DERL1	FN1
DERL1	MIA2
CXCR3	ETS2
TPR	NCBP1
TPR	HDAC4
TPR	INS
TPR	U2AF2
TPR	JUN
TPR	EFTUD2
TPR	HSPA6
REEP5	INS
REEP5	GNAL
REEP5	REEP6
REEP5	OR2L8
PPP2R5D	INS
PPP2R5D	EFTUD2
PPP2R5D	UBA52
PPP2R5D	RPS27A
NANOS2	TNKS2
MCM5	BAG2
MCM5	FN1
MCM5	PIH1D1
MCM5	RPS27A
MCM5	SQSTM1
MCM5	EFTUD2
MCM5	HNRNPU
MCM5	HSPA6
TGIF1	ETS2
TGIF1	PARP1
TGIF1	JUN
TGIF1	CTNNA3
PRMT5	SQSTM1
PRMT5	SNRPD1
PRMT5	POLR2C
PRMT5	ZNF436
GNAQ	PARP1
GNAQ	PIP4K2B
GNAQ	SQSTM1
GNAQ	PRKCA
GNAQ	EDNRB
GNAQ	APP
ARL2	UNC119
CNOT8	BTG2
FNBP1	UBA52
FNBP1	NOG
PRPF3	HNRNPU
PRPF3	NCBP1
PRPF3	POLR2C
PRPF3	U2AF2
PRPF3	SNRPD1
PRPF3	JUN
PRPF3	EFTUD2
PRPF3	RIOK1
PRPF3	CCDC125
PRPF3	DHX38
U2AF2	HNRNPU
U2AF2	CSTF2
U2AF2	ANXA1
U2AF2	OGA
U2AF2	POLR2C
U2AF2	LSM8
U2AF2	EFTUD2
FN1	HIP1R
FN1	BAG2
FN1	BID
FN1	RBM12
FN1	SNRPD1
FN1	CYP4A11
FN1	PRKCA
FN1	MIA2
FN1	PDGFA
FN1	POLR2C
FN1	ETS2
FN1	ANXA1
FN1	RNASEL
FN1	APP
PIP4K2B	PDGFA
PIP4K2B	DDX23
PIP4K2B	RPS27A
SOX2	NOG
PSMD1	OGA
PSMD1	EFTUD2
PSMD1	RBM12
PSMD1	JUN
PSMD1	SMAD1
PSMD1	PIH1D1
PSMD1	SEC24A
PSMD1	UBA52
HIP1R	RPS27A
CYP4A11	BID
CYP4A11	INS
CYP4A11	PRKCA
CYP4A11	PARP1
CYP4A11	PDGFA
OR5W2	REEP3
OR5W2	REEP6
PARP1	PIH1D1
PARP1	HSPA6
PARP1	RPS27A
PARP1	RFC5
PARP1	RNASEL
PARP1	GSTM3
PARP1	JUN
OR5AK3P	REEP3
OR5AK3P	REEP6
OR5AK3P	GNAL
LANCL2	PIH1D1
LANCL2	APP
DHPS	INS
CSTF2	LSM8
CSTF2	OGA
CSTF2	DDX23
CSTF2	HNRNPU
CSTF2	EFTUD2
CSTF2	DHX38
CSTF2	INS
RFC5	JUN
RFC5	EFTUD2
RFC5	UNC119
RFC5	POLR2C
PLLP	MS4A12
PLLP	NOG
ZNF638	HDAC4
ZNF638	JUN
SMAD1	APP
SMAD1	BTG2
SMAD1	NOG
SMAD1	INS
SMAD1	UBA52
SMAD1	SQSTM1
DDX23	POLR2C
DDX23	LSM8
DDX23	NCBP1
RBM12	NOG
RBM12	OGA
MIA2	PIH1D1
PRKCA	INS
PRKCA	LPIN1
PRKCA	CXCL10
OR1F1	GNAL
OR1F1	REEP6
ZC3HAV1L	NOG
ZC3HAV1L	APP
BID	SQSTM1
BID	INS
BID	APP
BID	PDGFA
BID	OGA
HDAC4	HNRNPU
HDAC4	NOG
HDAC4	GCM1
HDAC4	APP
HDAC4	RPS27A
COL3A1	NOG
COL3A1	PDGFA
NOG	GNAL
NOG	UBE2B
NOG	BAG2
NOG	ACTC1
NOG	TNC
NOG	HMOX1
NOG	ZNF436
NOG	PCDH11Y
NOG	EDNRB
NOG	UNC119
NOG	OGA
NOG	BTG2
NOG	ANXA1
SEC24A	THADA
UBE2B	RPS27A
PCDH11Y	CTNNA3
BTG2	INS
RNASEL	INS
RNASEL	JUN
SQSTM1	UBA52
SQSTM1	ANXA1
SQSTM1	INS
OGA	INS
OGA	BAG2
OGA	HNRNPU
OGA	NCBP1
OGA	RPS27A
RPS27A	RIOK1
RPS27A	HNRNPU
RPS27A	UNC119
RPS27A	NCBP1
RPS27A	POLR2C
POLR2C	NCBP1
POLR2C	PIH1D1
POLR2C	UBA52
POLR2C	LSM8
POLR2C	JUN
POLR2C	EFTUD2
POLR2C	SNRPD1
NCBP1	HNRNPU
NCBP1	UBA52
ZNF436	JUN
ETS2	INS
ETS2	PIH1D1
INS	THADA
INS	GSTM3
INS	HMOX1
INS	PDGFA
ANXA1	HMOX1
ANXA1	CXCL10
GNAL	REEP3
GNAL	REEP6
PDGFA	CXCL10
PDGFA	APP
DHX38	LSM8
EFTUD2	JUN
EFTUD2	BAG2
EFTUD2	RIOK1
EFTUD2	HSPA6
EFTUD2	LSM8
HNRNPU	SNRPD1
HNRNPU	BAG2
UBA52	JUN
GSTM3	PIH1D1
GSTM3	HMOX1
SNRPD1	JUN
SNRPD1	PIH1D1
RIOK1	HSPA6
RIOK1	APP
HSPA6	JUN
HSPA6	PIH1D1
