#tail	head
CCNB2	BUB1
CCNB2	CDK2
CCNB2	VAPA
CCNB2	PPP2CB
CCNB2	NUP133
CCNB2	USO1
CCNB2	INS
CCNB2	NOG
CCNB2	STAG2
CCNB2	NUP153
CCNB2	BIRC5
CCNB2	PPP2R1A
CCNB2	NDE1
CCNB2	RAB1A
NUFIP1	VSNL1
NUFIP1	GPM6B
NUFIP1	DNM1L
NUFIP1	RPL13
NUFIP1	CAMK2A
NUFIP1	NOG
NUFIP1	ESR2
NDUFS2	NDUFS7
NDUFS2	SH3KBP1
NDUFS2	MT-ND3
NDUFS2	ESR2
NDUFS2	NDUFS5
NDUFS2	CUL3
NDUFS2	ENTPD3
NDUFS2	SRC
NDUFS2	VAPA
NDUFS2	EFTUD2
NDUFS2	ZEB1
NDUFS2	TUSC3
NDUFS2	NDUFA13
NDUFS2	NDUFB8
NDUFS2	PHGDH
NDUFS2	MGST3
NDUFS2	SDC4
NDUFS2	PITX2
NBAS	RAB1A
NBAS	TMED7
NBAS	ESR2
NBAS	VAMP4
NDUFS5	LAP3
NDUFS5	NDUFS7
NDUFS5	NDUFA13
NDUFS5	VAPA
NDUFS5	NDUFB8
NDUFS5	ENTPD3
NDUFS5	MGST3
NDUFS5	MT-ND3
NDUFS5	TUSC3
NDUFS5	RAB5C
CUL3	NOG
CUL3	HNRNPC
CUL3	ZCCHC8
CUL3	CD274
CUL3	RPLP1
CUL3	VCP
CUL3	KEAP1
CUL3	RPS11
CUL3	NUP153
CUL3	UBE2H
CUL3	FADD
CUL3	HNRNPA1
CUL3	KRT36
CUL3	UBE2W
CUL3	PHGDH
CUL3	PDCD6IP
CUL3	UBE2V1
CUL3	ESR2
CUL3	HIST1H4J
CUL3	NFE2L2
CUL3	PSMD2
CUL3	PPP2R1A
CUL3	RPL13
CUL3	COPS7A
CUL3	PSMB11
CUL3	LMNA
CUL3	CUL2
CUL3	HIST1H2BI
CUL3	RPS28
CUL3	RPL21
CUL3	POLR1C
CUL3	BIRC5
CUL3	EFTUD2
CUL3	IRS4
CUL3	U2AF2
CUL3	HSPA8
CUL3	HNRNPL
CUL3	PRKACA
CUL3	RPL9P7
CUL3	AMPD2
CUL3	GEMIN5
PPP2R1A	JUN
PPP2R1A	EFTUD2
PPP2R1A	PHGDH
PPP2R1A	RPGRIP1L
PPP2R1A	AKAP9
PPP2R1A	RPLP1
PPP2R1A	NDE1
PPP2R1A	CCDC6
PPP2R1A	SDC4
PPP2R1A	PIP5K1A
PPP2R1A	PSMD2
PPP2R1A	STAG2
PPP2R1A	PSMB11
PPP2R1A	PTPN11
PPP2R1A	SH3KBP1
PPP2R1A	BIRC5
PPP2R1A	RPS28
PPP2R1A	PPP2CB
PPP2R1A	EGFR
PPP2R1A	SERTAD4
PPP2R1A	TAF1
PPP2R1A	PLEKHA5
PPP2R1A	PRKACA
PPP2R1A	BUB1
PPP2R1A	MARK2
PPP2R1A	RPL13
PPP2R1A	MAPK6
PPP2R1A	ALMS1
PPP2R1A	HAUS3
PPP2R1A	HSPA8
PPP2R1A	ZCCHC8
PPP2R1A	SRC
PPP2R1A	TCTN2
PPP2R1A	VCP
PPP2R1A	ANXA2
PPP2R1A	IRS4
PPP2R1A	RPS11
PPP2R1A	RPL21
PPP2R1A	ESR2
PPP2R1A	HNRNPA1
PPP2R1A	TMEM216
PPP2R1A	RPL9P7
PPP2R1A	NUP133
PPP2R1A	RPL32
PPP2R1A	INS
SERTAD4	GATA1
SERTAD4	CEBPB
SERTAD4	PPP2CB
SERTAD4	EGFR
SERTAD4	POU2F1
SERTAD4	ZEB1
SERTAD4	NOG
SERTAD4	ATP12A
SERTAD4	ESR2
NOG	HNRNPC
NOG	HCK
NOG	VAPA
NOG	SDC4
NOG	CD274
NOG	B3GNT5
NOG	HIST1H3B
NOG	TGFB2
NOG	TMEM268
NOG	DCK
NOG	OTUD7B
NOG	ABHD6
NOG	ZIC1
NOG	PCOLCE
NOG	PDE7A
NOG	DUOX2
NOG	TRAPPC10
NOG	SYT9
NOG	ATF5
NOG	ZEB1
NOG	PDGFRA
NOG	GATA6
NOG	EPHB3
NOG	CLU
NOG	GPC3
NOG	HMGCS1
NOG	ESR2
NOG	HMGA2
NOG	STAT4
NOG	DBP
NOG	CDA
NOG	ITPKB
NOG	LMNA
NOG	TNKS2
NOG	PXYLP1
NOG	PITX2
NOG	GLA
NOG	CDK2
NOG	POU2F1
NOG	UBE2H
NOG	NFE2L2
NOG	TLE3
NOG	PTPN11
NOG	PPIE
NOG	JUN
NOG	SH3KBP1
NOG	HNRNPL
NOG	AKAP9
NOG	GPM6B
NOG	NDE1
NOG	FOS
NOG	BDNF
NOG	UBE2W
NOG	KEAP1
NOG	TTLL11
NOG	GNGT1
NOG	TK2
NOG	RASGRP1
NOG	LGR4
NOG	BIRC5
NOG	PRKACA
NOG	ATP2B4
NOG	SEC24D
NOG	CEBPB
NOG	ANXA2
NOG	EGFR
NOG	USP48
NOG	MEIS1
NOG	ZNF638
NOG	ALDH1A2
NOG	ATP1B1
NOG	GNB5
NOG	PIK3R3
NOG	SRC
NOG	VSNL1
TGFB2	ALDH1A2
TGFB2	ESR2
TGFB2	ZEB1
TGFB2	GATA1
LRIG2	EGFR
LRIG2	ONECUT1
LMNA	RALY
LMNA	HNRNPA1
LMNA	MGST3
LMNA	ENTPD3
LMNA	SRC
LMNA	CDK2
LMNA	VAPA
LMNA	JUN
LMNA	HIST1H2BI
LMNA	HNRNPL
LMNA	U2AF2
LMNA	HIST1H4J
LMNA	FOS
LMNA	NUP133
LMNA	PCBP1
LMNA	FADD
LMNA	SLC9A1
LMNA	VCP
LMNA	CWF19L2
LMNA	SDC4
LMNA	EGFR
LMNA	STAG2
LMNA	NUP153
LMNA	SH3KBP1
LMNA	ZIC1
LMNA	ESR2
LMNA	TFIP11
LMNA	HNRNPC
LMNA	SPTA1
LMNA	HCK
LMNA	VAMP4
LMNA	HIST1H3B
LMNA	INS
LMNA	CAMK2A
LMNA	PHGDH
LMNA	EFTUD2
LMNA	POU2F1
LMNA	PPIE
SSR3	JUN
SSR3	TAF1
SSR3	RPL32
SSR3	RPLP1
SSR3	RPL21
SSR3	RPS28
SSR3	RPL13
SSR3	RPS11
SSR3	HNRNPC
SSR3	RPL9P7
SSR3	GSTK1
SSR3	ESR2
SSR3	TCTN2
PCOLCE	INS
PCOLCE	GATA1
PCOLCE	LOXL1
PMPCA	INS
PMPCA	MGST3
PMPCA	PREPL
PMPCA	PIP5K1A
PMPCA	SPG7
PMPCA	NDUFB8
PMPCA	PIK3C2B
PMPCA	TPTE2
PMPCA	MARK2
PMPCA	PIK3R3
PMPCA	UPP2
PPAT	PDE7A
PPAT	TTLL11
PPAT	FOXA1
PPAT	ESR2
PPAT	PDE1B
PPAT	NME1-NME2
PPAT	ADPGK
PPAT	AMPD2
HNRNPC	SDC4
HNRNPC	NUP153
HNRNPC	SH3KBP1
HNRNPC	CUL2
HNRNPC	ESR2
HNRNPC	PHGDH
HNRNPC	HNRNPA1
HNRNPC	CDK2
HNRNPC	EFTUD2
HNRNPC	PPIE
HNRNPC	AKAP9
HNRNPC	TFIP11
HNRNPC	RNF2
HNRNPC	ZCCHC8
HNRNPC	SRC
HNRNPC	JUN
HNRNPC	U2AF2
HNRNPC	HSPA8
HNRNPC	HNRNPL
HNRNPC	NUP133
