#tail	head
APP	NSF
APP	DUSP7
APP	MAPK9
APP	LMO2
APP	PAK1
APP	GNB1
APP	FAM20A
APP	NCSTN
APP	MYD88
APP	BTK
APP	PCGF5
APP	SPTAN1
APP	HSP90AA1
APP	IFNA1
APP	CSTF2
APP	EGFR
APP	CXCL16
APP	GNG4
APP	CDK5R1
APP	GAPDH
APP	ATP7B
APP	SRPK1
APP	TRIM39
APP	ESR2
APP	CD59
APP	LSM6
APP	GNAI1
APP	TCF3
APP	CP
APP	UBE2E2
APP	NUMA1
APP	CASP9
APP	SNRNP40
APP	CLP1
POLR2I	GTF2F1
POLR2I	SNRNP40
POLR2I	CLP1
POLR2I	PCNA
POLR2I	CSTF2
POLR2I	RBMX
POLR2I	LSM6
POLR2I	LMO2
POLR2I	POLR2J
POLR2I	POLR2C
POLR2I	ALYREF
POLR2I	GTF2H2
POLR2I	GTF2H4
POLR2I	AQR
POLR2I	ELAVL1
POLR2I	SNRPN
POLR2I	DNA2
ZBTB37	TCF3
ZBTB37	IRF1
ZBTB37	HNF4A
ZBTB37	FOXA1
AQR	LSM6
AQR	PAXBP1
AQR	SNRNP40
AQR	DNA2
AQR	CLP1
AQR	GTF2H2
AQR	ALYREF
AQR	GTF2H4
AQR	RBMX
AQR	GTF2F1
AQR	POLR2J
AQR	CSTF2
AQR	PCNA
AQR	POLR2C
AQR	ELAVL1
AQR	SNRPN
AQR	ESR2
CSTF2	SNRPN
CSTF2	GTF2F1
CSTF2	ESR2
CSTF2	ELAVL1
CSTF2	SNRNP40
CSTF2	ALYREF
CSTF2	CLP1
CSTF2	RBMX
CSTF2	POLR2J
CSTF2	SH3KBP1
CSTF2	POLR2C
RBMX	POLR2C
RBMX	ALYREF
RBMX	CLP1
RBMX	SNRPN
RBMX	LSM6
RBMX	ESR2
RBMX	MAP3K7
RBMX	POLR2J
RBMX	ELAVL1
RBMX	SNRNP40
RBMX	GTF2F1
RBMX	HSP90AA1
RBMX	PCDHB14
LSM6	ELAVL1
LSM6	GTF2F1
LSM6	POLR2J
LSM6	POLR2C
LSM6	SNRPN
LSM6	ALYREF
