#tail	head
RPL22L1	RPL3L
RPL22L1	RPS3
RPL22L1	EFTUD2
RPL22L1	PPP2CA
RPL22L1	MCM2
RPL22L1	PPP2R1A
RPL22L1	UBA52
RPL22L1	RPS27A
CCDC8	RANBP2
CCDC8	PSMC1
CCDC8	ARF1
CCDC8	PHGDH
CCDC8	HIST1H4J
CCDC8	DYNC1H1
CCDC8	TMOD3
CCDC8	PPP2R1A
CCDC8	MCM2
CCDC8	DDX17
CCDC8	UBA1
CCDC8	HNRNPU
CCDC8	YWHAH
CCDC8	CEP250
CCDC8	EFTUD2
CCDC8	ITGB1
CCDC8	HNRNPL
CCDC8	HNRNPH1
CCDC8	NUP155
CCDC8	PI4KA
CCDC8	FBL
CCDC8	TP53
CCDC8	EXD2
CCDC8	NOP9
CCDC8	RPS3
CCDC8	DDX5
CCDC8	EGLN3
CCDC8	FLOT1
CCDC8	SLC25A13
CCDC8	YWHAE
CCDC8	HIST1H4C
CCNB2	CDK2
CCNB2	HNF4A
CCNB2	NUP155
CCNB2	TP53
CCNB2	RAB1B
CCNB2	MCM2
CCNB2	CDC20
CCNB2	DDX17
CCNB2	RANBP2
CCNB2	PPP2CA
CCNB2	DYNC1H1
CCNB2	PPP2R1A
IKBKG	BTRC
IKBKG	TAX1BP1
IKBKG	EGLN3
IKBKG	DYNC1H1
IKBKG	CSNK1A1
IKBKG	SHARPIN
IKBKG	CCAR1
IKBKG	STAT6
IKBKG	FBL
IKBKG	ARPP19
IKBKG	SMN2
IKBKG	BIRC2
IKBKG	NFKBIA
IKBKG	IKBKE
IKBKG	UBA52
IKBKG	PPP2CA
IKBKG	IKBKB
IKBKG	RPS27A
IKBKG	HTT
IKBKG	MAP3K3
IKBKG	BAG3
IKBKG	OGA
IKBKG	STX11
IKBKG	NFKBIB
IKBKG	CDK2
IKBKG	RPS3
IKBKG	TNFSF10
IKBKG	HSPA1A
IKBKG	HNRNPU
IKBKG	TNIP1
DHCR7	RSPRY1
DHCR7	ILK
DHCR7	CBR1
DHCR7	GMPR
DHCR7	CASP3
DHCR7	SP1
DHCR7	SEPT7
DHCR7	DECR1
DHCR7	CYP7A1
DHCR7	AKR1E2
DHCR7	SPTBN1
DHCR7	RRBP1
DHCR7	TMEM97
DHCR7	PHGDH
DHCR7	SRD5A3
DHCR7	ESR2
DHCR7	SMN2
DHCR7	DHRS9
DHCR7	HSD17B7
UBA52	RHOT1
UBA52	NRF1
UBA52	TAX1BP1
UBA52	HIST1H4C
UBA52	CREB1
UBA52	CDK2
UBA52	FANCE
UBA52	RPA2
UBA52	JUN
UBA52	HIST1H2BI
UBA52	XPC
UBA52	MCM2
UBA52	HNRNPL
UBA52	SP1
UBA52	HIST1H4J
UBA52	LIMD1
UBA52	MCL1
UBA52	MRE11
UBA52	MUS81
UBA52	HNRNPU
UBA52	FANCC
UBA52	PSMB9
UBA52	KCTD6
UBA52	PES1
UBA52	MAP3K3
UBA52	BTRC
UBA52	PPP2R1A
UBA52	KLB
UBA52	EGLN3
UBA52	CSNK1A1
UBA52	PSMC3
UBA52	NUMB
UBA52	UBXN7
UBA52	KLK3
UBA52	CHEK2
