#tail	head
HLA-DPA1	HLA-DRB1
HLA-DPA1	SREBF2
HLA-DPA1	CTSF
ZNF587	TRIM23
ZNF587	HNRNPL
ZNF587	CEP70
PLK1	TUBGCP2
PLK1	FBXO6
PLK1	CEP70
PLK1	PTK2
PLK1	PPP2R5C
PLK1	YWHAE
PLK1	HAUS2
PLK1	KDM1A
IL6	LIFR
IL6	PTK2
IL6	ABCG2
RPS3	FBXO6
RPS3	YWHAE
RPS3	PPP6C
RPS3	TUBGCP2
SREBF2	ABCG2
SREBF2	HNRNPL
SREBF2	MED6
MED6	TADA2A
IQCE	CEP70
IQCE	TRIM23
HLA-DRB1	PTK2
HLA-DRB1	CTSF
HLA-DRB1	YWHAE
LIFR	FBXO6
METTL23	SELENOF
METTL23	DNAJB11
PTK2	ABCG2
PTK2	HNRNPL
TUBGCP2	CEP70
TUBGCP2	YWHAE
TUBGCP2	HAUS2
TUBGCP2	LGALS3BP
DNAJB11	FBXO6
DNAJB11	CEP70
KDM1A	TBP
KDM1A	CEP70
KDM1A	ABCG2
HAUS2	YWHAE
HAUS2	HEXIM1
HAUS2	CEP70
HEXIM1	TBP
LGALS3BP	FBXO6
LGALS3BP	SELENOF
PRPF6	HNRNPL
PRPF6	TADA2A
YWHAE	HNRNPL
YWHAE	FBXO6
YWHAE	CEP70
YWHAE	TBP
YWHAE	PPP6C
HNRNPL	FBXO6
FBXO6	PPP6C
