#tail	head
RAB5C	ITSN2
RAB5C	ARF1
RAB5C	FAF2
RAB5C	BET1
RAB5C	GOSR1
RAB5C	SNX9
KRT6B	CNOT1
KRT6B	IGKC
KRT6B	JARID2
KRT6B	GABARAPL2
KRT6B	FAM71E2
KRT6B	ALDH2
KRT6B	KRT5
YY1	JARID2
YY1	CNOT1
YY1	EEF1A1
YY1	ARF1
YY1	FBXW11
KRT5	JARID2
KRT5	GABARAPL2
KRT5	FAM71E2
KRT5	ALDH2
KRT5	IGKC
KRT5	CNOT1
EEF1A1	XRN2
EEF1A1	GABARAPL2
EEF1A1	ACTG1
EEF1A1	SNX9
EEF1A1	LARS
FAM71E2	JARID2
FAM71E2	IGKC
FAM71E2	CNOT1
PPP6C	FBXW11
PPP6C	ALDH2
JARID2	IGKC
JARID2	CNOT1
CD79A	PIK3R1
CD79A	BET1
CD79A	IGKV1D-12
CD79A	IGKC
CD79A	HLA-E
CD79A	GNB1
BET1	LARS
BET1	CLEC10A
BET1	GOSR1
BET1	NAPB
BET1	ARF1
FBXW11	CNOT1
GNB1	PIK3R1
GNB1	IGKV1D-12
GNB1	SNX9
GNB1	HLA-E
GNB1	IGKC
FAF2	LARS
FAF2	ACTG1
ACTG1	SNX9
ACTG1	LARS
CLEC10A	NAPB
NAPB	GOSR1
CNOT1	IGKC
IGKV1D-12	PIK3R1
IGKV1D-12	HLA-E
IGKV1D-12	IGKC
GABARAPL2	GOSR1
GABARAPL2	XRN2
ARF1	PIK3R1
ARF1	SNX9
HLA-E	IGKC
HLA-E	PIK3R1
IGKC	PIK3R1
SNX9	XRN2
SNX9	PIK3R1
SNX9	ITSN2
ITSN2	PIK3R1
