#tail	head
SFPQ	SGF29
SFPQ	ATP6V1A
SFPQ	LEF1
SFPQ	HNRNPD
SFPQ	MT2A
SFPQ	PCBP1
SFPQ	PHF5A
SFPQ	ELAVL1
SFPQ	CUL7
SFPQ	YWHAE
SFPQ	TBC1D4
SFPQ	MDC1
SFPQ	MCM5
YWHAE	TBC1D4
YWHAE	CUL7
YWHAE	TGFB1
YWHAE	SGF29
YWHAE	LEF1
YWHAE	SAMD4B
YWHAE	NEDD1
YWHAE	CRTC1
YWHAE	CEP164
YWHAE	HIST2H4A
YWHAE	XPO1
YWHAE	HSF1
YWHAE	GRAP2
YWHAE	DTL
YWHAE	PCBP1
YWHAE	NRF1
HSF1	NRF1
HSF1	MT2A
HSF1	SLC30A10
HSF1	ATP6V1A
HSF1	XPO1
BSND	PBX3
BSND	LEF1
PYHIN1	MDC1
PYHIN1	HIST2H4A
PYHIN1	EXOSC10
PYHIN1	SDC2
PYHIN1	PHF5A
PYHIN1	RSL1D1
PYHIN1	RPS10
HIST2H4A	LEF1
HIST2H4A	FANCD2
HIST2H4A	HIST1H2AC
HIST2H4A	POLR2F
HIST2H4A	HIST1H2BO
HIST2H4A	TBL1X
HIST2H4A	MCM5
HIST2H4A	POLR2C
HIST2H4A	CUL7
HIST2H4A	DPY30
HIST2H4A	POLR2G
HIST2H4A	CD247
HIST2H4A	MDC1
PLD1	RHEX
PLD1	CHKB
WDR3	RPS14
WDR3	CEP164
WDR3	EXOSC10
WDR3	LEF1
WDR3	EXOSC6
WDR3	CUL7
WDR3	RBM28
PCBP1	LEF1
PCBP1	POLR2G
PCBP1	HNRNPD
PCBP1	MCM5
PCBP1	SGF29
PCBP1	TGFB1
PCBP1	ELAVL1
PCBP1	CPSF4
PCBP1	POLR2F
PCBP1	XPO1
PCBP1	DTL
PCBP1	PHF5A
PCBP1	CUL7
PCBP1	RPL15
PCBP1	RPS14
PCBP1	POLR2C
POLR2F	MDC1
POLR2F	NANOG
POLR2F	POLR2C
POLR2F	ELAVL1
POLR2F	FANCD2
POLR2F	POLR2G
POLR2F	HNRNPD
POLR2F	HIST1H2AC
POLR2F	HIST1H2BO
POLR2F	POLR3F
POLR2F	NRF1
POLR2F	PHF5A
POLR2F	SDC2
POLR2F	CPSF4
HIST1H2BO	MDC1
HIST1H2BO	DPY30
HIST1H2BO	TBL1X
HIST1H2BO	MCM5
HIST1H2BO	POLR2C
HIST1H2BO	POLR2G
HIST1H2BO	HIST1H2AC
HIST1H2BO	LEF1
RPL15	RPS20
RPL15	CUL7
RPL15	RBM28
RPL15	RPS14
RPL15	RPS10
RPL15	CASC3
RPL15	SMG1
RPL15	RSL1D1
RHEX	PBX3
PHF5A	POLR2C
PHF5A	CPSF4
PHF5A	POLR2G
PHF5A	LEF1
PHF5A	HNRNPD
PHF5A	ELAVL1
NRF1	SRR
NRF1	DTL
NRF1	ATP5MG
NRF1	CPSF4
NRF1	CRTC1
SGF29	ELAVL1
SGF29	TBC1D4
SGF29	HNRNPD
SGF29	MCM5
SGF29	ATP6V1A
CHKB	GRAP2
CHKB	HPX
CHKB	FGA
CHKB	OR2T6
LEF1	PBX3
LEF1	CHPF
LEF1	MT2A
LEF1	ELAVL1
LEF1	CHMP1B
LEF1	COX20
LEF1	GRAP2
LEF1	MKRN1
LEF1	ETS1
LEF1	POLR2C
LEF1	CD247
LEF1	HIST1H2AC
POLR2G	XPO1
POLR2G	MDC1
POLR2G	NANOG
POLR2G	POLR2C
POLR2G	CPSF4
POLR2G	HNRNPD
POLR2G	HIST1H2AC
POLR2G	ELAVL1
POLR2G	FANCD2
RNF115	UBE2J1
RNF115	AK2
RNF115	ELAVL1
RNF115	UBE2D4
NEDD1	CEP164
NEDD1	XPO1
NEDD1	POLR3F
NANOG	DPY30
NANOG	TBL1X
NANOG	POLR2C
NANOG	SAMD4B
NANOG	EXOSC10
MKRN1	UBE2D4
MKRN1	UBE2J1
MKRN1	AK2
MKRN1	ELAVL1
TBL1X	HIST1H2AC
TBL1X	ELAVL1
TBL1X	XPO1
MDC1	ELAVL1
MDC1	FANCD2
MDC1	DPY30
MDC1	POLR2C
MDC1	CUL7
MDC1	CPSF4
COG2	ATP6V1A
COG2	COMMD8
COG2	HNRNPD
COG2	STX6
ATP5MG	TGFB1
ATP5MG	AK2
KYAT3	SRR
KYAT3	MT2A
TGFB1	SDC2
TGFB1	HNRNPD
TGFB1	MT2A
TGFB1	HPX
TGFB1	RPS10
CUL7	RSL1D1
CUL7	RPS14
CUL7	ELAVL1
CUL7	UBE2D4
CUL7	HNRNPD
CUL7	UBE2J1
CUL7	AK2
CUL7	RPS10
CUL7	ATP6V1A
EXOSC6	RPS14
EXOSC6	CHPF
EXOSC6	AK2
EXOSC6	EXOSC10
EXOSC6	ELAVL1
CHMP1B	ATP6V1A
CHMP1B	ELAVL1
CHMP1B	ETS1
CD1C	TRBV7-9
CD1C	CD247
CD1C	TRAV8-4
DTL	COMMD8
CRTC1	XPO1
COX20	MT2A
COX20	AQP6
FBXL8	COMMD8
FBXL8	AK2
FBXL8	UBE2D4
FBXL8	UBE2J1
SAMD4B	XPO1
SAMD4B	ELAVL1
POLR3F	RSL1D1
POLR3F	RBM28
POLR3F	ELAVL1
HNRNPD	RPS10
HNRNPD	MT2A
HNRNPD	FANCD2
HNRNPD	POLR2C
HNRNPD	ELAVL1
HNRNPD	ETS1
HNRNPD	CPSF4
FANCD2	ELAVL1
FANCD2	XPO1
FANCD2	MCM5
FANCD2	POLR2C
AQP6	STX6
TRAV8-4	CD1D
TRAV8-4	TRBV7-9
TRAV8-4	CD247
TRAV8-4	GRAP2
CHPF	EXOSC10
SMG1	CASC3
SMG1	RPS10
SMG1	RPS14
SMG1	RPS20
SMG1	ELAVL1
SLC30A10	HPX
SLC30A10	FGA
SLC30A10	MT2A
SLC30A10	CD247
LAGE3	MCM5
LAGE3	KRT40
GRAP2	HPX
GRAP2	CD247
GRAP2	TRBV7-9
GRAP2	OR2T6
GRAP2	FGA
UBE2J1	ELAVL1
HIST1H2AC	DPY30
HIST1H2AC	MCM5
HIST1H2AC	POLR2C
RPS10	XPO1
RPS10	RPS20
RPS10	RPS14
RPS10	CASC3
RPS20	CASC3
RPS20	RPS14
TRBV7-9	CD1D
TRBV7-9	CD247
CPSF4	POLR2C
CPSF4	ELAVL1
CPSF4	CASC3
CPSF4	XPO1
TP53INP1	TBC1D4
TP53INP1	ELAVL1
MT2A	HPX
RSL1D1	RPS14
RSL1D1	RBM28
AEN	KRT40
CD247	CD1D
CD247	ETS1
FGA	OR2T6
FGA	HPX
HPX	OR2T6
HPX	ELAVL1
EXOSC10	RPS14
ATP6V1A	ELAVL1
CEP164	ETS1
CEP164	ELAVL1
XPO1	CASC3
XPO1	POLR2C
XPO1	ELAVL1
XPO1	RPS14
RPS14	RBM28
RPS14	CASC3
ETS1	ELAVL1
SDC2	ELAVL1
CASC3	ELAVL1
ELAVL1	POLR2C
