#tail	head
KIF24	CENPJ
KIF24	CEP250
KIF24	JAK1
KIF24	TUBG1
RAC3	AKAP13
RAC3	RACGAP1
RAC3	RAC1
RASSF1	TNFRSF1A
RASSF1	HNF4A
RASSF1	HIST2H2AB
GPRC5B	TMEM120A
GPRC5B	TEF
TMEM120A	HNF4A
ARHGEF10L	RAC1
ARHGEF10L	RAC2
PSG1	ATG7
IGSF8	ACTN2
IGSF8	MMRN1
IGSF8	CEP250
IGSF8	RPL26L1
AJUBA	HIST1H4L
AJUBA	H2AFX
AJUBA	TUBG1
AJUBA	HNF4A
AJUBA	CEP250
AJUBA	HIST1H2BM
AJUBA	PSMB7
TMEM17	SLC1A4
TMEM17	PRKCI
TMEM17	SLC33A1
DGCR8	TLN2
DGCR8	NSA2
TM9SF2	AR
TM9SF2	HNF4A
AKAP13	RAC2
AKAP13	HNF4A
IGKV5-2	RAC2
WT1-AS	MECOM
WT1-AS	AR
WT1-AS	TMCC2
SPTBN5	DCTN3
ASAP1	EZR
ASAP1	CRK
EZR	TNFRSF1A
EZR	ELAVL1
EZR	ENAH
RHOT1	RACGAP1
CNDP2	SLC6A5
CNDP2	GLYATL1
CNDP2	SLC7A5
CNDP2	HACD2
CNDP2	SLC1A4
CNDP2	MYC
CNDP2	CRK
RLF	NLRC4
RLF	KIAA1551
RLF	FN1
RLF	MYC
NCOA3	KLK3
NCOA3	FN1
NCOA3	TNF
NCOA3	HIST1H4L
NCOA3	TLN2
NCOA3	KIAA1551
NCOA3	CYP1B1
NCOA3	IGDCC4
NCOA3	H2AFX
NCOA3	PRG4
AR	HIST1H2BM
AR	FGF23
AR	FOS
AR	MYC
AR	KAT5
AR	HIST1H4L
AR	CYP1B1
AR	DCTN3
AR	TNF
AR	H2AFX
AR	SYMPK
FZD6	IL18
FZD6	GNG5
FZD6	FGF23
FZD6	TNF
ABI1	RAC1
ABI1	KRAS
ABI1	FGF23
ABI1	GNG5
ABI1	RAC2
ABI1	JAK1
ABI1	ENAH
FN1	SLC39A9
FN1	ATG7
FN1	SLC30A7
FN1	ACTN2
FN1	ELAVL1
FN1	RPS7
FN1	MECOM
FN1	TNF
FN1	IGDCC4
FN1	RAC1
FN1	SYMPK
FN1	PSMD13
FN1	RPS14
FN1	KIAA1551
