#tail	head
MYL10	SORBS1
MYL10	P2RX6
MYL10	CHRNA7
MYL10	ESR2
CDR2	INS
CDR2	AQP1
CDR2	GAS8
CDR2	OAZ2
THOC7	SRRT
THOC7	XAB2
THOC7	INS
THOC7	PPIL2
THOC7	SRSF6
THOC7	SMU1
THOC7	CACTIN
PSMD12	ETS1
PSMD12	GOT1
PSMD12	ELOC
PSMD12	PSMD11
PSMD12	UBB
PSMD12	NPEPPS
PSMD12	OAZ2
PSMD12	ESR2
PSMD12	PPP2R5B
UQCRQ	TAF1
UQCRQ	PDCD6IP
UQCRQ	INS
HPN	MST1
HPN	NR1H4
SRSF6	SMU1
SRSF6	PPIL2
SRSF6	ETS1
SRSF6	NR1H4
SRSF6	CACTIN
SRSF6	SRRT
SRSF6	XAB2
SRSF6	SRPK1
SLC39A14	MST1
SLC39A14	S100A8
AHCY	HIST1H4D
AHCY	TUBA1B
AHCY	DNM1L
AHCY	SORBS1
AHCY	SRRT
AHCY	PSMD11
AHCY	UBB
AHCY	ATP6V1A
AHCY	LARP1
AHCY	GAPDH
AHCY	FMNL2
AHCY	SLC28A2
AHCY	GABARAP
AHCY	LIMA1
AHCY	HIST1H4B
REST	HIST1H3B
REST	HIST1H4B
REST	UBB
REST	HIST1H4D
REST	INS
REST	HIST2H3A
MAP3K1	DDB2
MAP3K1	RPL35A
MAP3K1	TCP1
MAP3K1	HIST1H4D
MAP3K1	RAD18
MAP3K1	DAPP1
MAP3K1	UBB
MAP3K1	HIST1H4B
SLC28A2	SLC34A3
SLC28A2	SLC17A3
SLC28A2	SLC38A3
GABARAP	HSPA7
GABARAP	RPL9
GABARAP	HIST1H4B
GABARAP	INS
GABARAP	TRIM21
GABARAP	LARP1
GABARAP	ENO2
GABARAP	PDCD6IP
GABARAP	RPL19
GABARAP	HIST1H4D
GABARAP	TCP1
GABARAP	PFN1
GABARAP	GAPDH
GABARAP	SRPK1
MAPRE3	TFAP4
MAPRE3	KLHDC7B
MAPRE3	TRIM14
MAPRE3	BACH2
SLC16A1	IL10
SLC16A1	TRIM14
SLC16A1	ILK
PDCD6IP	GOT1
PDCD6IP	INS
PDCD6IP	UBB
NME1	SLC38A3
NME1	DNM1L
NME1	ETS1
NME1	ENO2
NME1	TAF1
NME1	B4GAT1
NME1	SLC11A2
NME1	NME5
NME1	ATP6V1A
NME1	GOT1
INS	ILK
INS	TXLNG
INS	PPP2R5B
INS	SLC11A2
INS	COPA
INS	RXRA
INS	RPL35A
INS	ISG15
INS	UPP1
INS	S100A8
INS	PTMA
INS	FMNL2
INS	IL10
INS	CYP7A1
INS	SORBS1
INS	SAP30L
INS	GOLGA2
INS	STX4
INS	LARP1
INS	GAPDH
INS	RPL19
INS	GOT1
INS	ENO2
INS	HIPK1
INS	NPEPPS
INS	ELOC
INS	IL5
INS	PFN1
INS	CHRNA7
INS	SRPK1
INS	TUBA1B
INS	DNM1L
HIPK1	HSF2
HIPK1	MEF2A
COPA	MYB
COPA	TCP1
COPA	GOLGA2
COPA	TAF1
COPA	ESR2
ILK	ELOC
ILK	TCP1
ILK	TAF1
HSPA7	DAPP1
HSPA7	HIST1H4B
HSPA7	RAD18
HSPA7	HIST1H4D
HSPA7	HIST2H3A
HSPA7	ISG15
CHRNA7	DMD
CHRNA7	CYSLTR2
CHRNA7	SORBS1
TRIM21	USP4
TRIM21	HIST1H3B
TRIM21	UBB
TRIM21	IRF8
B4GAT1	PPM1L
B4GAT1	NME5
PFN1	FMNL2
PFN1	UBB
PFN1	SRPK1
PFN1	DNM1L
PFN1	TAF1
PFN1	ESR2
PFN1	ISG15
TCP1	ESR2
TCP1	GAPDH
TCP1	RAD18
TCP1	SLC11A2
TCP1	DDB2
TCP1	TUBA1B
DNM1L	GAPDH
DNM1L	NME5
DNM1L	UPP1
FMNL2	SRRT
FMNL2	SORBS1
ATP10A	ATP8A1
ATP10A	SLC17A3
ATP10A	SLC34A3
ATP10A	IRF8
UPP1	ALPP
UPP1	CDC14A
UPP1	ATP6V1A
UPP1	GAPDH
UPP1	SLC34A3
UPP1	SLC17A3
UPP1	BPNT1
MED27	INTS6
MED27	ESR2
MED27	RXRA
PPP2R5B	PSMD11
