#tail	head
DZIP1L	TRIM37
GDF1	SMAD3
GDF1	ACVR1B
SMAD3	STX18
SMAD3	ACVR1B
SMAD3	RPS27A
SMAD3	PARD3
SMAD3	HNF4A
DHX9	EGFR
XRCC1	H2AFX
XRCC1	RPA1
XRCC1	POLR2I
SFXN2	NF2
SFXN2	HIPK4
TPTE	SCYL3
TPTE	MAN1B1
TPTE	STX18
TPTE	EGFR
DDB1	MED19
DDB1	POLR2I
DDB1	RFC5
ACVR1B	HEPACAM2
RPS27A	UBE2L6
RPS27A	EGFR
RPS27A	RPA1
RPS27A	POLR2I
RPS27A	RFC5
POLR2I	RPA1
POLR2I	RFC5
POLR2I	H2AFX
HSD11B1	EGFR
TRIM37	UBE2L6
UBR2	HEPACAM2
STAT4	HOXB3
AP3M1	HNF4A
NF2	RPA1
CEP19	PARD3
HOXB3	HIST1H3F
RFC5	HIST1H3F
RFC5	EGFR
EGFR	HIST1H3F
EGFR	PPARGC1A
HNF4A	ZNF146
ZNF146	HIST1H3F
