#tail	head
ALK	SP1
ALK	PTPN1
ALK	GRB7
ALK	NUPR1
ALK	PARP1
ALK	DUSP13
ALK	PINK1
ALK	PDX1
ALK	APP
ALK	PTPMT1
ELAVL1	PUM1
ELAVL1	ZNF532
ELAVL1	SF3A1
ELAVL1	KPNB1
ELAVL1	B4GALT5
ELAVL1	WDR45B
ELAVL1	PPP6C
ELAVL1	GABARAPL2
ELAVL1	SEMA7A
ELAVL1	SRSF7
ELAVL1	GSTP1
ELAVL1	CDK9
ELAVL1	JUN
ELAVL1	AES
ELAVL1	SF1
ELAVL1	YWHAH
ELAVL1	TGFB3
ELAVL1	AK3
ELAVL1	EAF1
ELAVL1	CAND1
ELAVL1	CPSF4
ELAVL1	SAFB
ELAVL1	TNIP2
ELAVL1	CYLD
ELAVL1	SUPT16H
ELAVL1	SEPHS1
ELAVL1	FBXW11
ELAVL1	PFDN2
ELAVL1	TRPC1
ELAVL1	CUL7
ELAVL1	RET
ELAVL1	ALYREF
ELAVL1	SIRT7
ELAVL1	E2F3
ELAVL1	H2AFX
ELAVL1	CTNNB1
ELAVL1	MBD3
ELAVL1	MAPK6
ELAVL1	TGFA
ELAVL1	BARD1
ELAVL1	ERLIN2
ELAVL1	FRS3
ELAVL1	PCBP2
ELAVL1	PARP1
ELAVL1	ABCG1
ELAVL1	SF3B4
ELAVL1	SMN2
ELAVL1	PATL1
ELAVL1	CCNB1
ELAVL1	PDE4DIP
ELAVL1	SPTAN1
PFDN2	TUBA1C
PFDN2	YWHAH
PFDN2	ARF6
PFDN2	TNIP2
PFDN2	YWHAZ
PFDN2	TRAF7
PFDN2	CLNS1A
DHCR7	SF1
DHCR7	SAFB
DHCR7	PTPN1
DHCR7	SEPHS1
DHCR7	ABCG1
DHCR7	SP1
DHCR7	SMN2
DHCR7	CUL7
DHCR7	SPTAN1
DHCR7	CYLD
DHCR7	SEMA7A
DHCR7	APP
DHCR7	E2F3
TAS2R5	GNB4
TAS2R5	GNG5
TAS2R5	GNG8
RYR1	TRPC1
RYR1	SP1
RYR1	NEB
RYR1	PRL
RYR1	ATP2B4
RYR1	ASPH
RYR1	TGFA
RYR1	MMP9
RYR1	PRKACA
RYR1	TFCP2
UBTD1	FZD5
UBTD1	RNF5
TMEM17	ATP2B4
TMEM17	STOM
TMEM17	YWHAH
TMEM17	FZD5
TMEM17	GOSR2
TMEM17	CLNS1A
TMEM17	PTPN1
TMEM17	SLC5A3
TMEM17	RFX1
APP	DNAH1
APP	ABCG1
APP	AK3
APP	YWHAZ
APP	SMAD1
APP	NUPR1
APP	PARP1
APP	IFT81
APP	GATA1
APP	PRNP
APP	ARRB1
APP	PATL1
APP	SPTAN1
APP	KIF2C
APP	PINK1
APP	GNG8
APP	ARF6
APP	SRPK2
APP	SIRT7
APP	GSTO1
APP	MCM5
APP	GADD45G
APP	ACTN1
APP	TRADD
APP	NEB
APP	CTNNB1
APP	IL18
APP	EAF1
APP	PRL
APP	ASPH
APP	MMP9
APP	CHEK1
APP	KIF3B
APP	ABCG8
APP	NME3
APP	CUL7
APP	SF3B4
APP	PRKACA
APP	ATXN3
APP	GNG5
APP	ATP2B4
APP	FBXW11
APP	WDR45B
APP	GABARAPL2
APP	SEMA7A
APP	MT2A
APP	PTH1R
APP	CTCF
APP	GSTP1
APP	USP2
APP	TRPC1
APP	CCNT1
APP	JUN
APP	SF1
APP	COIL
