#tail	head
PAN2	HNRNPH1
PAN2	FBL
PAN2	SP1
PAN2	EFHD1
PAN2	RPL19
PAN2	FLNA
PAN2	YWHAE
PAN2	SPTAN1
PAN2	SSBP1
PAN2	CAPZA2
PAN2	RPL10
PAN2	EEF1G
PAN2	NOLC1
PAN2	RPS27A
PAN2	HAND1
PAN2	CTTN
PAN2	EFTUD2
PAN2	HNRNPA2B1
PAN2	SQSTM1
PAN2	RPS5
PAN2	RPS14
PAN2	RPL30
ALK	TNF
ALK	SP1
ALK	PTPN1
ALK	NF1
ALK	CASP3
ALK	PTPRR
ALK	APP
ALK	INS
ALK	SRC
PEX1	PEX7
PEX1	PEX26
PEX1	PEX5
PEX1	PEX10
PEX1	RPS27A
NDUFB7	ATP6V0D1
NDUFB7	RAB7A
NDUFB7	ENKD1
NDUFB7	MKRN3
NDUFB7	AGBL2
CAPZA2	RPGRIP1L
CAPZA2	LMO7
CAPZA2	FLNA
CAPZA2	RAB7A
CAPZA2	SORBS2
CAPZA2	SEPT7
CAPZA2	SETD1A
CAPZA2	COPB1
CAPZA2	ESR2
CAPZA2	SPTAN1
CAPZA2	CTTN
CAPZA2	CTNNB1
CAPZA2	SRC
CAPZA2	EFTUD2
CAPZA2	SQSTM1
CAPZA2	INS
SERTAD4	EGFR
SERTAD4	POU1F1
SERTAD4	TAL1
SERTAD4	ALX1
SERTAD4	ESR2
SERTAD4	HAND1
TMEM17	NECTIN2
TMEM17	ABCE1
TMEM17	HM13
TMEM17	RAB7A
TMEM17	LMAN1
TMEM17	GCC1
TMEM17	PTPN1
TMEM17	SQSTM1
TMEM17	FNDC3A
IGLV3-27	ESR2
IGLV3-27	FLT3
IGLV3-27	LAT
IGLV3-27	GNB3
IGLV3-27	IGHV3-11
IGLV3-27	ESR1
IGLV3-27	IGLC2
IGLV3-27	SRC
IGLV3-27	RAC1
IGLV3-27	EGFR
UBE2Q1	ZNRF1
UBE2Q1	CUL1
UBE2Q1	ITCH
UBE2Q1	LMO7
UBE2Q1	TRIM4
UBE2Q1	LRR1
UBE2Q1	RPS27A
UBE2Q1	GLMN
LMO7	YWHAE
LMO7	SPTAN1
LMO7	UBE2V2
LMO7	HIST1H3B
LMO7	CTNNB1
LMO7	FLNA
LMO7	HIST1H3I
LMO7	RPS27A
LMO7	SQSTM1
LMO7	CDC5L
LMO7	SRC
LMO7	CTTN
LMO7	CUL1
LMO7	SORBS2
LMO7	UBE2B
LMO7	SP1
LMO7	UBE2F
LMO7	SEPT7
LMO7	SETD1A
LMO7	UBE2D1
LMO7	HIST1H3F
APP	FNDC3A
APP	ATF2
APP	RASA1
APP	ESR1
APP	ZFYVE27
APP	INS
APP	ITCH
APP	MAS1
APP	LMAN1
APP	NF1
APP	ZFYVE16
APP	EIF3F
APP	ATP6V0D1
APP	SYPL2
APP	SPTAN1
APP	RRP7A
APP	NOC2L
APP	TNF
APP	SMAD4
APP	ENKD1
APP	CASP3
APP	ENO1
APP	EGFR
APP	CTNNB1
APP	RAC1
APP	CLEC1A
APP	CAPRIN1
APP	AKR1C3
APP	ACSS2
APP	CYCS
APP	ENTR1
APP	CYP26B1
APP	IFNB1
APP	NME2
APP	ARID1B
APP	RPS27A
APP	KRT5
APP	COPB1
APP	ESR2
APP	ALDH4A1
APP	THAP7
APP	ZNRF1
APP	PAK2
APP	PES1
APP	FTSJ3
APP	GTF2F2
APP	PDYN
APP	RPS14
APP	RPL30
APP	DHX16
APP	GCC1
APP	HSPA4
APP	SRC
APP	PPP3CC
APP	NFATC3
APP	ITGB3BP
APP	TIMM23
APP	NOLC1
APP	GNB3
APP	STK11
APP	CGB5
APP	SP1
APP	CAMK2A
APP	SOD2
APP	SMARCB1
COPB1	BRCA1
COPB1	INS
COPB1	LMAN1
COPB1	CDC5L
COPB1	SF3B1
COPB1	SPTAN1
COPB1	ENO1
COPB1	ESR2
KRT5	CUL1
KRT5	GABARAP
KRT5	SLC25A13
KRT5	EGFR
KRT5	TNF
KRT5	LAT
KRT5	SGO2
KRT5	PCED1B
KRT5	CHD4
KRT5	CFH
KRT5	EFTUD2
YWHAE	EGFR
YWHAE	PAPOLA
YWHAE	SP1
YWHAE	NOLC1
YWHAE	HIST1H3B
YWHAE	NIN
YWHAE	CTNNB1
YWHAE	PAK2
YWHAE	ARAF
YWHAE	HIST1H3I
YWHAE	HIST1H3F
YWHAE	SPTAN1
YWHAE	WWP2
YWHAE	ESR2
YWHAE	SEPT7
YWHAE	EEF1G
YWHAE	SORBS2
YWHAE	UBXN1
YWHAE	ENKD1
YWHAE	SRC
YWHAE	CTTN
YWHAE	PPP3CC
YWHAE	NPHP1
YWHAE	EFTUD2
YWHAE	HNRNPA2B1
YWHAE	SF3B1
YWHAE	PTF1A
YWHAE	CUL1
YWHAE	CASP3
YWHAE	BRCA1
YWHAE	GABARAP
YWHAE	HSPA4
YWHAE	LSM2
YWHAE	STK11
YWHAE	SQSTM1
YWHAE	RPGRIP1L
YWHAE	HSPB1
YWHAE	CDC5L
YWHAE	SETD1A
TRIP6	ESR2
TRIP6	INS
TRIP6	EFTUD2
TRIP6	RPS14
TRIP6	RPGRIP1L
TRIP6	LIMS1
TRIP6	SRC
NME2	TAT
NME2	EARS2
NME2	LSM2
NME2	ACSS2
NME2	MGAT5B
NME2	ESR1
NME2	C1GALT1
NME2	TUBB3
NME2	ENO1
NME2	LDHB
NME2	ADPGK
NME2	SLC25A13
NME2	ATP6V0D1
NME2	ESR2
NME2	EFTUD2
NME2	GNB3
EFHD1	ESR2
EFHD1	ESR1
EFHD1	MAS1
ENO1	TNF
ENO1	ATF2
ENO1	ESR2
ENO1	ALDH4A1
ENO1	PITPNB
ENO1	LDHB
ENO1	FGF21
ENO1	SRC
ENO1	PLG
ENO1	CHD4
ENO1	ARID1B
ENO1	HNRNPA2B1
ENO1	PCMT1
ENO1	HNRNPH1
ENO1	WWP2
ENO1	GABARAP
ENO1	FBL
ENO1	EFTUD2
ENO1	INS
ENO1	CUL1
ENO1	BRCA1
ENO1	NFATC3
ENO1	LIG4
SMAD2	PAPOLA
SMAD2	SQSTM1
SMAD2	RPS27A
SMAD2	ATF2
SMAD2	ITCH
SMAD2	BRCA1
SMAD2	AKR1C3
SMAD2	HSPA4
SMAD2	WWP2
SMAD2	ESR1
SMAD2	UBE2D1
SMAD2	RASA1
SMAD2	RUNX1
SMAD2	CTNNB1
SMAD2	CAMK2A
SMAD2	PAK2
SMAD2	RPS14
SMAD2	SP1
SMAD2	ESR2
SMAD2	ARID1B
SMAD2	ZFYVE16
SMAD2	RPL30
SMAD2	CASP3
SMAD2	SMAD4
PTPN1	CTNNB1
PTPN1	EGFR
PTPN1	PCMT1
PTPN1	ATP6V0D1
PTPN1	ESR2
PTPN1	SRC
PTPN1	FLT3
PTPN1	INS
PTPN1	LAT
PTPN1	SP1
PTPN1	STYK1
PTPN1	IFNB1
PTPN1	CTTN
PTPN1	TNF
PTPN1	ATF2
PTPN1	BAZ1B
PTPN1	ESR1
IFNB1	SOD2
IFNB1	CASP3
IFNB1	AKR1C3
IFNB1	INS
IFNB1	ESR1
IFNB1	TNF
IFNB1	SPTAN1
IFNB1	CYCS
IFNB1	SMAD4
UGT1A9	CGB5
UGT1A9	TNF
UGT1A9	SMARCD3
UGT1A9	VKORC1
UGT1A9	BRCA1
UGT1A9	AKR1C3
UGT1A9	B3GALT1
UGT1A9	C1GALT1
PEX7	PEX26
PEX7	PEX10
PEX7	UBE2D1
PEX7	PEX5
PEX7	RPS27A
PEX7	NF1
SETD1A	SORBS2
SETD1A	HIST2H3C
SETD1A	SP1
SETD1A	CTNNB1
SETD1A	FLNA
SETD1A	HIST1H3I
SETD1A	LDHB
SETD1A	HIST1H3F
SETD1A	HIST1H2AC
SETD1A	ATP6V0D1
SETD1A	ESR2
SETD1A	EEF1G
SETD1A	SPTAN1
SETD1A	CTTN
SETD1A	HNRNPA2B1
SETD1A	ALPI
SETD1A	SRC
SETD1A	PES1
SETD1A	UBXN1
SETD1A	SEPT7
SETD1A	SQSTM1
SETD1A	BRCA1
SETD1A	HSPA4
SETD1A	CAPRIN1
SETD1A	HIST1H3B
SETD1A	EPS15L1
SETD1A	RUNX1
RAC1	TNF
RAC1	IGHV3-11
RAC1	CTTN
RAC1	GNB3
RAC1	NCF2
RAC1	CASP3
RAC1	AKR1C3
RAC1	RALA
RAC1	ESR1
RAC1	PAK2
RAC1	HIST1H3I
RAC1	SRC
RAC1	HIST1H3F
RAC1	EGFR
RAC1	ESR2
RAC1	SOD2
RAC1	FLT3
RAC1	HIST1H3B
RAC1	IGLC2
RAC1	INS
RAC1	CTNNB1
RAC1	IGLV3-25
RAC1	FLNA
RAC1	LAT
UBXN1	SPTAN1
UBXN1	SEPT7
UBXN1	SORBS2
UBXN1	SRC
UBXN1	UBE2V2
UBXN1	CTTN
UBXN1	SP1
UBXN1	BABAM1
UBXN1	CUL1
UBXN1	BRCA1
UBXN1	SQSTM1
UBXN1	NF1
UBXN1	SMARCB1
ZNRF1	INS
ZNRF1	UBE2D1
ZNRF1	UBE2V2
ZNRF1	UBE2F
ZNRF1	RPS27A
ZNRF1	UBE2B
ZNRF1	ESR2
GABARAP	RPS27A
GABARAP	EFTUD2
GABARAP	HNRNPA2B1
GABARAP	SQSTM1
GABARAP	HNRNPH1
GABARAP	SMARCB1
GABARAP	INS
GABARAP	RPS5
GABARAP	RPL30
GABARAP	HSPA4
GABARAP	LSM2
GABARAP	CDC5L
GABARAP	FBL
GABARAP	SP1
GABARAP	SNRPG
GABARAP	TUBB3
GABARAP	FTSJ3
GABARAP	SF3B1
GABARAP	RPL19
GABARAP	SPTAN1
GABARAP	LRRC15
GABARAP	SSBP1
GABARAP	RPS14
GABARAP	CHD4
GABARAP	RPL10
GABARAP	EEF1G
HIST2H3C	UHRF1
HIST2H3C	HNRNPH1
HIST2H3C	SMARCB1
HIST2H3C	HIST1H3I
HIST2H3C	HIST1H3F
HIST2H3C	SF3B1
HIST2H3C	IGSF8
HIST2H3C	ATF2
HIST2H3C	NOC2L
HIST2H3C	HIST1H3B
HIST2H3C	FTSJ3
HIST2H3C	CTNNB1
HIST2H3C	HIST1H2AC
HIST2H3C	CHD4
HIST2H3C	ARID1B
HIST2H3C	RUNX1
HIST2H3C	SMARCD3
HIST2H3C	BRCA1
HIST2H3C	CBX2
HIST2H3C	BAZ1B
HIST2H3C	ESR1
INS	TRIM4
INS	PES1
INS	LDHB
INS	ALDH4A1
INS	FTSJ3
INS	RPS5
INS	PDYN
INS	CTNNB1
INS	GLMN
INS	SRC
INS	ARAF
INS	CYCS
INS	NOLC1
INS	SP1
INS	HM13
INS	CHD4
INS	SNRPG
