#tail	head
SEC22A	TCF3
SEC22A	SMIM3
SEC22A	DTX2
SEC22A	DDIT4L
SEC22A	RAB1B
SEC22A	CNIH1
KPNA3	TP53BP1
KPNA3	TRIM25
KPNA3	HNRNPC
KPNA3	MEPCE
KPNA3	MYC
KPNA3	NCBP3
KPNA3	NUP98
KPNA3	SORBS1
KPNA3	SRRT
KPNA3	INS
KPNA3	CTTN
KPNA3	BRCA1
KPNA3	TBP
KPNA3	NUP88
KPNA3	SHKBP1
NOS1	NFIL3
NOS1	TCF3
NOS1	LEP
NOS1	SOD2
NOS1	PRKCA
NOS1	NOG
NOS1	INS
NOS1	HSP90AA1
NOS1	CASP3
NOS1	DCXR
NOS1	CYB5R3
ERCC1	TP53BP1
ERCC1	MDC1
ERCC1	POLE2
ERCC1	BRCA1
ERCC1	POLR2E
ERCC1	EGFR
ERCC1	NOG
ERCC1	POLR2H
ERCC1	TBP
ERCC1	ETS1
ERCC1	RFC3
NOG	SLCO4A1
NOG	FOXJ1
NOG	S100A4
NOG	CDC40
NOG	HNRNPC
NOG	MYC
NOG	RACK1
NOG	SMIM3
NOG	LEF1
NOG	KCTD15
NOG	DDIT4L
NOG	IFI16
NOG	TAF1B
NOG	RUNX1T1
NOG	NR1I2
NOG	MLLT6
NOG	SORBS1
NOG	ADAMTS2
NOG	CDK12
NOG	PRKCA
NOG	DCXR
NOG	HNF4A
NOG	TIPIN
NOG	PLA2G4A
NOG	LPIN1
NOG	SRGAP2
NOG	SHC3
NOG	IL6
NOG	EYA1
NOG	TBX3
NOG	TMEM30A
NOG	ERBB2
NOG	PITX2
NOG	PEAK1
NOG	GNE
NOG	TBP
NOG	MLLT10
NOG	ELAVL1
NOG	MLLT3
NOG	CTTN
NOG	NUP88
NOG	DAB1
NOG	HMCN1
NOG	FOS
NOG	CASP3
NOG	SMCO4
NOG	EGF
NOG	HIST1H3D
NOG	ELOA
NOG	ETS1
NOG	WASF2
NOG	GULP1
NOG	DYNC1H1
NOG	FOXO1
NOG	SLC29A1
NOG	CA13
NOG	LEP
NOG	KRAS
NOG	YEATS4
NOG	KIAA1549
NOG	RBM8A
NOG	MEPCE
NOG	CCL20
NOG	TRIM25
NOG	LUZP1
NOG	LMO2
NOG	SGMS1
NOG	PIK3CA
NOG	SF3A1
NOG	EGFR
NOG	IRS1
NOG	FIP1L1
NOG	MALT1
NOG	TCF3
TBP	SNRPB
TBP	HIST2H3D
TBP	RB1
TBP	RBPJ
TBP	POLR2H
TBP	FOS
TBP	BRCA1
TBP	HIST1H3D
TBP	TFDP1
TBP	FOXF2
TBP	ETS1
TBP	KCTD15
TBP	MEOX2
TBP	HIST1H2BH
TBP	GNB2
TBP	POLR2E
TBP	HNF4A
TBP	GTF3C1
TBP	SRRT
TBP	FOXA1
TBP	GTF2A1
TBP	PLEC
TBP	MYC
TBP	S100A4
TBP	ELAVL1
TBP	GEMIN4
TBP	POLR1C
TBP	TAF1B
TBP	CCNK
TBP	HIST4H4
HIST1H2BH	POLR2E
HIST1H2BH	KDM6A
HIST1H2BH	HIST4H4
HIST1H2BH	ADAMTS2
HIST1H2BH	RB1
HIST1H2BH	HIST2H3D
HIST1H2BH	IL6
HIST1H2BH	POLR2H
HIST1H2BH	HIST1H3D
HIST1H2BH	PPP5C
HIST1H2BH	STAG2
HIST1H2BH	GATA1
HIST1H2BH	CDK1
HIST1H2BH	RNF2
HIST1H2BH	FOS
HIST1H2BH	BRCA1
HIST1H2BH	MYC
HIST1H2BH	LEF1
HIST1H2BH	POLR1C
HIST1H2BH	HDAC10
HIST1H2BH	NUP98
HIST1H2BH	TAF1B
HIST1H2BH	RUNX1
HIST1H2BH	TP53BP1
HIST1H2BH	MDC1
HIST1H2BH	DCLRE1C
HIST1H2BH	PRPF8
HIST1H2BH	FOXA1
HIST1H2BH	EYA1
NUP88	RNF2
NUP88	NXF1
NUP88	FIP1L1
NUP88	SRRM1
NUP88	HNRNPC
NUP88	MYC
NUP88	IFI16
NUP88	RBM8A
NUP88	TRIM25
NUP88	PLEC
NUP88	GEMIN4
NUP88	SNRPD3
NUP88	TCF3
NUP88	NUP98
NUP88	SNRPG
NUP88	CDK1
NUP88	SNRPB
NUP88	CNTROB
HMCN1	TCF3
HMCN1	LEF1
HMCN1	FOXF2
HMCN1	FOXO1
HMCN1	FOXA1
HMCN1	FOXJ1
HNRNPC	LMO2
HNRNPC	SNRPB
HNRNPC	CRK
HNRNPC	PRPF8
HNRNPC	CDC40
HNRNPC	SNRPD3
HNRNPC	PRPF3
HNRNPC	KHDRBS3
HNRNPC	HSP90AA1
HNRNPC	IL7R
HNRNPC	POLR2E
HNRNPC	SHKBP1
HNRNPC	MTF1
HNRNPC	SORBS1
HNRNPC	HNF4A
HNRNPC	ZC3H18
HNRNPC	XRCC5
HNRNPC	SRRM1
HNRNPC	EPS8
HNRNPC	POLR2H
HNRNPC	ELAVL1
HNRNPC	CTTN
HNRNPC	TRIM25
HNRNPC	MEPCE
HNRNPC	SF3A1
HNRNPC	BRCA1
HNRNPC	RNF2
HNRNPC	NXF1
HNRNPC	HNRNPA0
HNRNPC	MYC
HNRNPC	LEF1
HNRNPC	KRAS
HNRNPC	NOLC1
HNRNPC	NUP98
HNRNPC	EIF2AK2
HNRNPC	SNRPG
HNRNPC	RBM8A
HNRNPC	SRRT
HNRNPC	PRPF40A
HNRNPC	FIP1L1
HNRNPC	MDC1
HNRNPC	INS
CCL20	CXCR6
CCL20	GNB2
CCL20	CXCL17
CCL20	TCF3
UGT1A4	UGT1A9
UGT1A4	GNE
UGT1A4	CYP2E1
UGT1A4	CYP2A6
S100A4	SMIM1
S100A4	EGF
S100A4	RB1
S100A4	NXF1
S100A4	TPM3
S100A4	EGFR
TP53BP1	INS
TP53BP1	CDK1
TP53BP1	UGGT1
TP53BP1	IFI16
TP53BP1	PITX2
TP53BP1	GEMIN4
TP53BP1	POLR1C
TP53BP1	XRCC5
TP53BP1	KDM6A
TP53BP1	TFDP1
TP53BP1	HIST4H4
TP53BP1	RB1
TP53BP1	TCF3
TP53BP1	NXF1
TP53BP1	MDC1
TP53BP1	BRCA1
TP53BP1	HIST1H3D
TP53BP1	LEF1
TP53BP1	DDIT4L
TP53BP1	MEOX2
TP53BP1	HNF4A
TP53BP1	DCLRE1C
TP53BP1	GTF3C1
TP53BP1	SRRT
TP53BP1	RACK1
TP53BP1	PPP5C
TP53BP1	MYC
UGT1A9	CYP2E1
UGT1A9	CYP2A6
UGT1A9	HNF4A
UGT1A9	GNE
UGT1A9	BRCA1
PARVG	MEOX2
PARVG	DDIT4L
CRK	IRS1
CRK	NRF1
CRK	DAB1
CRK	HSP90AA1
CRK	SNX7
CRK	EGFR
CRK	SORBS1
CRK	YWHAB
CRK	PITX2
CRK	PEAK1
CRK	PIK3CA
CRK	ERBB2
CRK	MYC
CRK	CRKL
CRK	PRKCA
CRK	INS
POLE2	BRCA1
POLE2	POLR2E
POLE2	NXF1
POLE2	XRCC3
POLE2	POLR2H
POLE2	RFC3
POLE2	TFDP1
POLE2	PIK3CA
POLE2	RB1
SRGAP2	LEF1
SRGAP2	PITX2
SRGAP2	YWHAB
SRGAP2	CBY1
SRGAP2	TCF3
GULP1	MLLT6
GULP1	LRP1
GULP1	EPS8
GULP1	CTTN
GULP1	EGF
GULP1	SORBS1
GULP1	SRRT
GULP1	SHKBP1
CDC40	SNRPB
CDC40	PRPF8
CDC40	SNRPD3
CDC40	CDK12
CDC40	PRPF3
CDC40	POLR2E
CDC40	ZC3H18
CDC40	FIP1L1
CDC40	SRRM1
CDC40	POLR2H
CDC40	RBM8A
CDC40	SF3A1
CDC40	NXF1
CDC40	ELAVL1
CDC40	HNRNPA0
CDC40	SNRPG
CDC40	SRRT
CDC40	PRPF40A
CDC40	INS
DGCR6	MEOX2
DGCR6	DEUP1
DGCR6	MYC
PLEC	TCF3
PLEC	INS
PLEC	LEF1
PLEC	CDK12
PLEC	NCBP3
PLEC	CDK1
PLEC	LUZP1
PLEC	LMO2
PLEC	BRCA1
PLEC	ETS1
PLEC	MTF1
PLEC	RACK1
PLEC	EGFR
PLEC	HNF4A
PLEC	PRPF8
CDK12	HNF4A
CDK12	RBM8A
CDK12	SRRT
CDK12	PRPF40A
CDK12	SF3A1
CDK12	MDC1
CDK12	PRPF8
CDK12	SNRPD3
CDK12	ELOA
CDK12	PRPF3
CDK12	CCNK
CDK12	POLR2E
CDK12	SNRPG
CDK12	SNRPB
CDK12	VPS51
CDK12	SRRM1
CDK12	POLR2H
CDK12	BRCA1
CDK12	GTF2A1
CDK12	ELAVL1
CDK12	LEF1
INS	SGMS1
INS	PIK3CA
INS	PITPNM1
INS	ST6GALNAC6
INS	LRP1
INS	PRPF8
INS	IRS1
INS	CYP2E1
INS	RAB1B
INS	NRF1
INS	VDAC3
INS	MYC
INS	POLR1C
INS	NR1H3
INS	NOLC1
INS	DCXR
INS	HNF4A
INS	SMIM3
INS	FOXA1
INS	SNRPG
INS	SOD2
INS	NR1I2
INS	EPS8
INS	SORBS1
INS	ERBB2
INS	PRKCA
INS	PAIP2
INS	PLA2G4A
INS	LUZP1
INS	XRCC5
INS	WASF2
INS	RB1
INS	SHC3
INS	HSP90AA1
INS	TBX3
INS	CASP3
INS	ISCU
INS	EGF
INS	APPL1
INS	DYNC1I2
INS	FOXF2
INS	CEP63
INS	DYNC1H1
INS	FOXO1
INS	HDAC10
INS	CYB5R3
INS	IL6
INS	RNF2
INS	NXF1
INS	MLLT10
INS	TPM3
INS	CKS1B
INS	RACK1
INS	LEP
INS	PPP5C
INS	FOS
INS	NUP98
INS	TMED7
INS	SERPINA3
INS	GTF2A1
PRPF40A	DDIT4L
PRPF40A	IFI16
PRPF40A	YEATS4
PRPF40A	RBM8A
PRPF40A	SF3A1
PRPF40A	HNRNPA0
PRPF40A	SNRPD3
PRPF40A	ELAVL1
PRPF40A	SNRPG
PRPF40A	SRRT
PRPF40A	SNRPB
PRPF40A	PRPF8
PRPF40A	NCBP3
PRPF40A	POLR2E
PRPF40A	POLR2H
