#tail	head
MDFI	C1orf216
MDFI	CSF3
MDFI	ZEB1
MDFI	PDGFB
MDFI	TSC2
NR3C1	MCM7
NR3C1	PTGDS
NR3C1	CALD1
NR3C1	RARA
NR3C1	CUL2
NR3C1	CAV1
NR3C1	PDGFRA
NR3C1	STIM1
NR3C1	GSTO1
NR3C1	ZIC4
NR3C1	CEBPB
NR3C1	NFIL3
NR3C1	PDGFB
NR3C1	SND1
NR3C1	DLST
NR3C1	KDM1A
NR3C1	ADCYAP1R1
NR3C1	GOT2
NR3C1	CSF3
NR3C1	PRKACA
NR3C1	GRB2
GALNT1	C1GALT1
GALNT1	PAFAH1B1
CDH13	ACTG1
CDH13	ZEB1
CDH13	PTPN1
CDH13	SEC14L1
CDH13	TUBB3
CHRNB2	ADCYAP1R1
CHRNB2	P2RY4
CHRNB2	PRKACA
CHRNB2	CALD1
CHRNB2	CSF3
CHRNB2	REST
CHRNB2	PAFAH1B1
CHRNB2	GRIN2D
CHRNB2	STIM1
PHC2	HIST1H2BC
PHC2	KDM1A
PHC2	GRB2
PHC2	POLR2L
PHC2	CRK
PHC2	INS
PHC2	HIST1H4E
UPP2	FPGS
UPP2	MINPP1
UPP2	PTPN1
UPP2	PIP4P1
UPP2	ACP2
UPP2	SPAST
UPP2	GATB
H1F0	GRB2
H1F0	INS
H1F0	DLST
RANBP3	SH3BP5
RANBP3	SPAST
RANBP3	SEMA6C
RANBP3	XPO7
RANBP3	SETX
CSNK1E	NFIL3
CSNK1E	PPP1CB
CSNK1E	TNFRSF1A
CSNK1E	CUL2
CSNK1E	TRPM4
CSNK1E	RPS11
CSNK1E	PRKACA
CSNK1E	PAFAH1B1
CSNK1E	CEBPB
CSNK1E	RPS9
CSNK1E	REST
CSNK1E	PSMD2
TMCO3	IFT57
TMCO3	TUBB3
TMCO3	PIGQ
CASP7	INS
CASP7	CSF3
CASP7	TMEM205
CASP7	GSTO1
CASP7	PTGDS
CASP7	CAV1
CASP7	HIST1H4E
CASP7	TNFRSF1A
CASP7	CALM3
CASP7	HTT
PKLR	SPAST
