#tail	head
GNG13	CCL13
GNG13	GNB4
GNG13	GPSM1
GNG13	LPAR4
GNG13	GNG3
GNG13	PROKR2
GNG13	C5AR1
GNG13	FGF6
KDM5C	CALM3
KDM5C	SET
KDM5C	HIST1H3C
GPSM1	GNB4
GPSM1	C5AR1
GPSM1	GNG3
GPSM1	CCL13
GNB4	HIST1H3C
GNB4	LPAR4
GNB4	PROKR2
GNB4	C5AR1
GNB4	FGF6
GNB4	CCL13
GNB4	GNG3
TJP1	SET
TJP1	RYR1
PROKR2	GNG3
RYR1	CALM3
RYR1	CCL13
RYR1	PRKACA
CALM3	CABIN1
CALM3	PRKACA
CALM3	TGM2
CALM3	SET
FGF6	GNG3
GNG3	C5AR1
GNG3	CCL13
GNG3	LPAR4
CCL13	C5AR1
SET	PRKACA
SET	HIST1H3C
SET	TGM2
HIST1H3C	TGM2
HIST1H3C	CABIN1
PRKACA	TGM2
