#tail	head
COPG2	INS
COPG2	RAB1B
COPG2	MYC
ERBB3	ZIC2
ERBB3	GRAP
ERBB3	NOG
ERBB3	ACTR2
ERBB3	CD79A
ERBB3	PCDHB2
ERBB3	PIK3R5
ERBB3	CTNNB1
ERBB3	FYN
ERBB3	PCDHA7
HIF1AN	SPEN
HIF1AN	ELK1
HIF1AN	GABPB1
HIF1AN	PPP1R12A
HIF1AN	MRPS10
PIK3R5	CD79A
PIK3R5	NOG
PIK3R5	PDGFB
PIK3R5	EPOR
PIK3R5	PDGFRL
PIK3R5	FYN
PIK3R5	GRAP
PIK3R5	ACTR2
CPLX1	TRPM6
CPLX1	GRIA1
CPLX1	CACNA2D2
CPLX1	PPFIA1
CPLX1	CACNA1E
PCDHA7	CTNNB1
PCDHA7	FYN
PCDHA7	ACTR2
LEP	MMP9
LEP	MYC
LEP	EDNRB
LEP	CTNNB1
LEP	MED10
LEP	MED23
LEP	NOG
LEP	PDGFB
LEP	INS
GRIA1	CACNA2D2
GRIA1	VCL
GRIA1	TMOD2
GRIA1	PPFIA1
GRIA1	NOG
GRIA1	RAB1B
ELK1	VCL
ELK1	MRPS10
ELK1	ACTR2
ELK1	MYC
ELK1	AAGAB
ELK1	FYN
ELK1	VASP
NOG	COL5A2
NOG	EPOR
NOG	MYC
NOG	ZIC2
NOG	TMEM42
NOG	CTNNB1
NOG	SAFB
NOG	FYN
NOG	CACNA2D2
NOG	PDGFB
NOG	PCDHB2
NOG	TMOD2
NOG	LAMP1
NOG	MYOF
NOG	EDNRB
NOG	ANXA5
NOG	LAMB1
NOG	AAGAB
NOG	SRSF3
NOG	IGF2BP3
MRPS10	HNRNPA1
NDUFS4	PFKL
NDUFS4	CTNNB1
NDUFS4	IL1R2
PPP1R12A	MED23
PPP1R12A	CTNNB1
PPP1R12A	SMN2
PPP1R12A	MYC
PPP1R12A	SAFB
PPP1R12A	FYN
PPP1R12A	ACTR2
PPP1R12A	NRF1
ZIC2	EBP
ZIC2	WDR82
