#tail	head
ACSM5	SOAT1
ACSM5	ACSL3
ACSM5	NIT2
ACSM5	ACSM1
ACSM5	ADCY8
ACSM5	PKM
ACSM5	ALDH9A1
ACSM5	AK2
RIOK1	POLD1
RIOK1	PKM
RIOK1	CSNK2A1
RIOK1	HIST1H4E
RIOK1	IQGAP1
RIOK1	CSNK1D
RIOK1	RUVBL1
RIOK1	CSNK1E
RIOK1	HSPA5
RIOK1	SMARCA5
RIOK1	YBX3
ZP3	CLDN11
ZP3	AR
ZP3	SPACA3
ZP3	HNRNPL
DCTN2	CSNK1D
DCTN2	CSNK1E
DCTN2	NUMA1
DCTN2	TTBK2
DCTN2	CCP110
DCTN2	CCDC14
DCTN2	HAUS6
DCTN2	WDR62
DCTN2	AR
DCTN2	PLK4
IQGAP1	HSPA5
IQGAP1	YWHAQ
IQGAP1	ADCY8
IQGAP1	PTK2
IQGAP1	HNRNPL
IQGAP1	RUVBL1
NDUFA3	NDUFB10
NDUFA3	NRROS
NDUFA3	ALDH9A1
CLDN11	AMIGO1
AR	ABCC2
AR	HNRNPL
AR	PTK2
AR	TGFB1
AR	YWHAQ
AR	RUVBL1
AR	HSPA5
AR	GNRH1
AR	SATB1
AR	SKP2
AR	F2RL3
AR	HIST1H4E
PTK2	SCO1
PTK2	CCNA1
PTK2	ALOX15
PTK2	TGFB1
PTK2	TH
PTK2	ADCY8
PTK2	PKM
PTK2	ABCC2
PTK2	HNRNPL
PTK2	A2M
PTK2	GNRH1
PTK2	F2RL3
ACSM1	SOAT1
ACSM1	NIT2
ACSM1	ADCY8
ACSM1	ALDH9A1
ACSM1	ACSL3
ACSM1	AK2
ARRB1	HIST1H4E
ARRB1	HNRNPL
ARRB1	PKM
ARRB1	TRIP10
ARRB1	YWHAQ
ARRB1	CSNK1D
ARRB1	CSNK1E
ARRB1	HSPA5
ARRB1	CSNK2A1
BCAT1	GLUD2
BCAT1	PKM
BCAT1	GPT
BCAT1	CTPS2
BCAT1	GOT1
BCAT1	FTCD
BCAT1	TPGS1
PUF60	SF3A2
PUF60	RBM8A
PUF60	TGFB1
PUF60	TH
PUF60	HNRNPL
POLD1	TRIP10
PKM	HIST1H4E
PKM	GPT
PKM	GOT1
PKM	YWHAQ
PKM	MAPT
PKM	SCO1
PKM	FTCD
PKM	ACSL3
PKM	SOAT1
