#tail	head
HTR3D	AHCYL2
HTR3D	PLA2G4A
YY1	KNTC1
YY1	PHC3
YY1	BCL2L1
YY1	HNRNPA1
YY1	LYN
HNRNPA1	AKT1
HNRNPA1	BCL2L1
HNRNPA1	HIST1H3C
HNRNPA1	KRT14
CD74	HLA-DQB2
CD74	TM4SF20
CD74	HLA-DRB1
KIF3C	WDR19
CCDC42	KRT18
LHFPL5	PLLP
RNASEH2B	HIST1H3C
GOSR1	COPG2
GOSR1	STX5
SLC11A2	KRT14
SLC11A2	TMEM263
SLC11A2	BCL2L1
SLC11A2	MAZ
ITGAM	PARVA
ITGAM	GORAB
ITGAM	AGRN
RASSF8	POC1A
KIF2B	HLA-DQB2
KIF2B	KNTC1
KIF2B	HOMER1
KIF2B	COPG1
HOMER1	NRXN1
HOMER1	RYR2
PARVA	ITGA1
TES	KRT18
TES	COPG2
TES	ANP32E
TES	LIMD2
RYR2	PLA2G4A
RYR2	KRT14
COPG1	CFTR
COPG1	COPG2
PHC3	HIST1H3C
PLA2G4A	MAPK3
PLA2G4A	SYK
PLA2G4A	IGHE
STX5	ETS1
SYK	CFTR
SYK	IGHE
SYK	AKT1
SYK	LYN
HLA-DRB1	HLA-DQB2
NRXN1	GCLM
NRXN1	NXPH1
ETS1	MED8
MAZ	PTAFR
MAZ	AHCYL2
MAZ	KRT14
MAZ	GCLM
MAZ	MAP2K6
MAZ	YWHAE
AKT1	BCL2L1
AKT1	MAPK3
AKT1	MAP2K6
POC1A	CEP44
POC1A	ECD
MED12	CFTR
MED12	MED8
MAPK3	YWHAE
SNAI1	HIST1H3C
AKAP6	PDE4A
IFT140	WDR19
IFT140	PDE4A
KRT18	HIST1H3C
KRT18	CFTR
KRT18	YWHAE
COPG2	CFTR
COPG2	CD55
IGHE	LYN
REST	HIST1H3C
REST	ETS2
ITGA1	AGRN
PLLP	EBP
PLLP	PTAFR
YWHAE	HIST1H3C
ETS2	LYN
ETS2	MAP2K6
CEP44	KRT14
ANP32E	AHCYL2
HIST1H3C	UTP3
GCLM	KRT14
GORAB	PTAFR
MAP2K6	CFTR
