#tail	head
PDE11A	GUCY2D
PDE11A	AMPD3
AMPD3	TRIM37
AMPD3	FBXO11
AMPD3	HIST3H3
AMPD3	RCHY1
PON2	SERPINH1
PON2	LINGO1
E4F1	CCND2
E4F1	EGR2
E4F1	RIOK1
E4F1	TAF11
GAB3	AKT1
GAB3	HRAS
LMNA	HRAS
LMNA	SERPINH1
LMNA	AKT1
LMNA	NPM1
LMNA	ACTN4
LMNA	CTNNB1
LMNA	FGF11
LMNA	HIST3H3
AKT1	NPM1
AKT1	CTNNB1
AKT1	CCND2
AKT1	RPL23
AKT1	HRAS
AKT1	MESD
AKT1	NRG1
AKT1	PPP2R5B
AKT1	GLIS2
AKT1	FOXO1
TUBG2	PDCL
TUBG2	DYNC1I2
TBP	GTF2E2
TBP	BRF2
TBP	TAF5
TBP	KRT26
TBP	TAF11
TBP	EGR2
TBP	GTF2B
TBP	TAF3
TBP	HIST3H3
RPLP0	CTNNB1
RPLP0	SERPINH1
RPLP0	RIOK1
RPLP0	RPL23
RPLP0	NPM1
RPLP0	RPL4
TAF5	HIST3H3
TAF5	GTF2B
TAF5	TAF3
TAF5	GTF2E2
TAF5	TAF11
KRTAP10-8	LCE5A
KRTAP10-8	DDX55
KRTAP10-8	KRTAP5-6
NPM1	ACTN4
NPM1	CTNNB1
NPM1	HIST3H3
NPM1	RPL4
NPM1	RPL23
NPM1	SERPINH1
NPM1	DYNC1I2
NPM1	FOXO1
NPM1	TAF3
NPM1	JPH2
RIOK1	HIST3H3
RIOK1	RPL23
RIOK1	RPL4
RIOK1	DDX55
MESD	GTF2E2
MESD	WNT3A
WNT3A	CTNNB1
WNT3A	PPP2R5B
UBE2K	TRIM37
UBE2K	FBXO11
UBE2K	RCHY1
RTP1	OR1L6
RTP1	OR6A2
OR6A2	REEP3
OR6A2	RTP5
PMM1	RCHY1
PMM1	MFHAS1
KRT79	KRT26
KRT79	KRT31
GUCY2D	PDE6D
WDR86	PDCL
TAF11	HIST3H3
TAF11	TAF3
TAF11	GTF2E2
TAF11	BRF2
TAF11	EGR2
TAF11	GTF2B
SPRR2B	LCE5A
PDCL	MFHAS1
RPL23	HIST3H3
RPL23	RPL4
RPL23	PDE6D
RPL23	CTNNB1
RPL23	DDX55
JPH2	HIST3H3
PDE6D	HRAS
COL16A1	SERPINH1
COL16A1	ITGB7
COL16A1	ACTN4
EGR2	BCL6
FGF11	RPL4
BRF2	GTF2E2
REEP3	OR1L6
BCL6	FBXO11
BCL6	CTNNB1
BCL6	FOXO1
BCL6	HRAS
LCE5A	KRTAP5-6
ITGB7	ACTN4
ITGB7	CTNNB1
TRIM37	CTNNB1
TRIM37	HIST3H3
RTP5	OR1L6
RTP5	KRT31
SERPINH1	CTNNB1
SERPINH1	ACTN4
SERPINH1	RPL4
BRK1	HRAS
BRK1	NRG1
DYNC1I2	PPP2R5B
HRAS	PPP2R5B
HRAS	NRG1
KRT31	KRTAP5-6
HIST3H3	TAF3
HIST3H3	CTNNB1
GTF2B	TAF3
GTF2B	GTF2E2
GTF2B	FOXO1
KRTAP5-6	LINGO1
RPL4	CTNNB1
CTNNB1	CCND2
CTNNB1	PPP2R5B
CTNNB1	GLIS2
CTNNB1	FOXO1
CTNNB1	ACTN4
NRG1	FOXO1
TAF3	GTF2E2
FOXO1	ATF7IP
ATF7IP	PPP2R5B
ATF7IP	GTF2E2
CCND2	GLIS2
