#tail	head
CDK9	YES1
CDK9	KAT2B
KCNE4	MYC
KCNE4	LEF1
KCNE4	SLC12A2
KCNE4	FXYD7
GEN1	E2F1
PRPF8	TCERG1
PRPF8	MYC
PRPF8	RNF4
DDX17	SNRNP40
DDX17	NTRK1
DDX17	ESR1
DDX17	CHD3
DDX17	LEF1
HIST1H2BJ	KAT2B
HIST1H2BJ	DNMT1
HIST1H2BJ	ESR1
HIST1H2BJ	TCF7L2
APC	UBA52
APC	LEF1
APC	ESR1
UBA52	XRCC5
UBA52	RMI1
UBA52	NTRK1
UBA52	DNMT1
UBA52	NOTCH2
ZBTB7A	GATA6
ZBTB7A	NCOR2
NTRK1	MTCH2
NTRK1	CAT
NTRK1	SAP30BP
NTRK1	EXOC8
NTRK1	ABCC1
NTRK1	TCERG1
NTRK1	OTUB1
NTRK1	SLC12A2
NTRK1	XRCC5
SEC62	PCBD1
SEC62	RNF4
SEC62	E2F1
SEC62	GAPDH
SNRPG	SNRNP40
HSPB2	TCF3
ATP6V1E1	YES1
ATP6V1E1	ABCC1
PCBD1	CHMP2A
RMI1	XRCC5
KHDRBS2	DEK
KHDRBS2	TCF3
KHDRBS2	FOXD4L3
BBC3	IGKC
H3F3B	ESR1
H3F3B	SAP30BP
H3F3B	DNMT1
H3F3B	MYC
H3F3B	LEF1
H3F3B	TCF7L2
APOOL	SAMM50
IDH3B	MYC
ESR1	KRT8
ESR1	MTCH2
ESR1	NOTCH2
ESR1	KAT2B
ESR1	CAT
E2F1	TCF3
E2F1	CUL4B
E2F1	XRCC5
E2F1	KAT2B
RNF4	GLI2
RNF4	MYC
RNF4	CAT
NCOR2	MYC
OTUB1	GAPDH
OTUB1	XRCC5
LMO3	LEF1
NOTCH2	KAT2B
ABCC1	CAT
ABCC1	DEK
ABCC1	GAPDH
ABCC1	KAT2B
KAT2B	TCF3
KAT2B	CAT
GAPDH	TCF3
GAPDH	MYC
GAPDH	LEF1
GAPDH	CUL4B
GAPDH	DEK
GAPDH	CHD3
KCNK16	SLC12A2
KCNK16	TCF3
CUL4B	DNMT1
ARID1A	CHD3
PELO	MYC
XRCC5	MYC
EHD1	TCF3
RBPMS2	KLF1
RBPMS2	FOXD4L3
SAMM50	SURF1
DST	LEF1
DNMT1	MYC
CAT	MYC
TCERG1	CHD3
GLI2	LEF1
GLI2	TCF3
KRT19	CHD3
TCF3	MYC
DEK	MYC
MYC	SLC12A2
