#tail	head
ABCB9	INS
GNG7	HTR2A
GNG7	PDGFA
GNG7	GAB2
GNG7	CD79A
GNG7	HTR2C
APC	CLIP1
APC	LEF1
APC	GAB2
APC	PRKACA
APC	GNB1
SLC24A3	MYOD1
SLC24A3	ATP2B1
SLC38A7	LEF1
PPIL1	THOC5
PPIL1	FUS
PPIL1	DDX23
GNB1	GAB2
GNB1	CD79A
MRPS17	ZNF746
MRPS17	AURKAIP1
RPL9P7	DDX21
CALM2	CSNK2A1
CALM2	CLIP1
CALM2	ATP2B1
CALM2	PDGFB
CALM2	GRK1
CALM2	MYOD1
CALM2	CD79A
NIPAL3	MRS2
NIPAL3	NAALADL2
NIPAL3	CD79A
MKRN1	NOP53
MKRN1	LEF1
MKRN1	INS
ATP2B1	PRKACA
ATP2B1	CSNK2A1
MYOD1	PRKACA
MYOD1	HTR2C
MYOD1	PDGFB
MYOD1	CLIP1
PRKACA	GRK1
HTR2A	GRK1
HTR2A	LYN
CLIP1	CSNK2A1
CLIP1	INS
RNF11	CSNK2A1
FUS	ATP5F1B
DDX21	CSNK2A1
DDX21	LYN
DDX21	GABARAPL1
GRK1	HTR2C
ZNF746	ATP5F1B
SNRNP200	GABARAPL1
SNRNP200	THOC5
SNRNP200	DDX23
PDGFB	PDGFA
PDGFB	GAB2
PDGFB	INS
PDGFB	LYN
INS	THOC5
INS	CSNK2A1
INS	PDGFA
INS	CYB5R3
INS	DDX23
HTR2C	MRS2
ATP5F1B	AURKAIP1
CDC25B	GAB2
CDC25B	LEF1
DDX23	THOC5
PDGFA	CD79A
PDGFA	GAB2
CSNK2A1	LEF1
CSNK2A1	NOP53
CSNK2A1	THOC5
GAB2	LYN
