#tail	head
ONECUT1	CCT8
ONECUT1	ONECUT3
ONECUT1	GNAO1
ONECUT1	TCF3
ONECUT1	RNF4
ONECUT1	CEBPA
ONECUT1	ITGAV
MIS18A	SCLT1
MIS18A	HIST1H2BA
MIS18A	STX11
MIS18A	NOG
MAPK8	CEBPA
MAPK8	NOG
MAPK8	PTK2B
MAPK8	CCT8
MAPK8	YWHAB
MAPK8	NFE2L2
MAPK8	TP73
NR3C1	PTK2B
NR3C1	DCTN2
NR3C1	HDAC2
NR3C1	TCF3
NR3C1	DYNLL1
NR3C1	NRG1
NR3C1	CEBPA
NR3C1	ZBTB16
NR3C1	UBA52
NR3C1	MARCKSL1
NR3C1	HOXA5
NR3C1	ZBTB20
NR3C1	NOG
NR3C1	RAF1
MT-ND4	NDUFB5
MT-ND4	NDUFA8
DCUN1D5	LNX1
DCUN1D5	ZBTB16
DCUN1D5	UBA52
MGAT1	RNF4
MGAT1	CHPF2
MGAT1	GNE
MGAT1	UGT2B11
COL4A3	PITX2
COL4A3	ITGAV
COL4A3	PTK2B
COL4A3	TCF3
COL4A3	ITGAM
COL4A3	COL9A3
LMO2	PITX2
LMO2	SLC23A2
LMO2	TGFB3
LMO2	AMFR
LMO2	NOG
COL9A3	ITGAV
COL9A3	TCF3
FOXM1	TGFB3
FOXM1	HDAC2
FOXM1	PITX2
FOXM1	ZBTB20
FOXM1	FBXL2
YWHAB	PTPN13
YWHAB	RAB11FIP1
PFKP	CHPF2
PFKP	GNE
PFKP	NDUFB5
PFKP	DYNLL1
ATP5PO	NDUFA8
ATP5PO	RPA1
ATP5PO	BLK
ATP5PO	PITX2
CGB2	MTA3
NR1D1	HLF
NR1D1	NFE2L2
TRIM50	UBE2G1
TRIM50	LNX1
TRIM50	UBA52
PIP4K2B	GNAO1
PIP4K2B	IGLV3-1
PIP4K2B	STON2
PIP4K2B	UBA52
PIP4K2B	NRG1
PIP4K2B	PTPN13
HIST1H2BA	HMG20A
HIST1H2BA	RPA1
HIST1H2BA	EGR2
HIST1H2BA	HDAC2
HIST1H2BA	PAXIP1
HMMR	DYNLL1
HMMR	TUBB3
RDX	STON2
TGFB3	PITX2
TGFB3	ZNF384
TGFB3	DAXX
TGFB3	TCF3
TGFB3	ITGAV
TGFB3	FOXO1
DYNLL1	TUBGCP6
DYNLL1	EGR2
DYNLL1	HDAC2
DYNLL1	SCLT1
DYNLL1	RAF1
DYNLL1	CLASP1
ART1	NADSYN1
ART1	TCF3
CYFIP2	NRG1
CYFIP2	IGLV3-1
CIDEC	AMFR
DAXX	TP73
DAXX	TCF3
DAXX	PTGS1
DAXX	RNF4
ALX1	NOG
ALX1	HOXA5
ALX1	CNTLN
ZMYND12	EVX2
ZMYND12	PICK1
SPOUT1	NOG
SPOUT1	PAXIP1
TRERF1	ZNF384
TRERF1	TP73
TRERF1	FOXO1
TRERF1	NOG
ITGAV	PTGS2
ITGAV	TUBB3
ITGAV	NOG
ITGAV	RNF4
ITGAV	NOS2
ITGAV	ITGAM
ITGAV	PTK2B
CLASP1	TUBB3
CLASP1	HLF
CLASP1	PITX2
CLASP1	SCLT1
CLASP1	SLIT2
JAGN1	NRG1
JAGN1	RNF4
RRM2	SCLT1
RRM2	ATP1A1
RRM2	ATP1B3
WARS2	HMG20A
WARS2	TCF3
WARS2	STX11
WARS2	NADSYN1
NFE2L2	UBA52
NFE2L2	CEBPA
NFE2L2	TREX1
NFE2L2	GTF2A1
NFE2L2	NOG
NFE2L2	RNF4
NFE2L2	NOS2
NFE2L2	DCTN2
NFE2L2	PTGS1
PTK2B	GNAO1
PTK2B	BLK
PTK2B	TCF3
PTK2B	ITGAM
TUBGCP6	DCTN2
NRCAM	TCF3
FBXL2	UBE2G1
FBXL2	PTPN13
PITX2	CEBPA
PITX2	FOXO1
PITX2	PHF21A
PITX2	TREX1
PITX2	NOG
PITX2	HMG20A
PITX2	DCTN2
PITX2	ZBTB20
PTGS2	PTGS1
PTGS2	NOG
NADSYN1	NOG
AMFR	UBE2G1
AMFR	UBA52
AMFR	RNF4
PTPN13	TUBB3
PTPN13	BLK
PTPN13	UBA52
PTPN13	NOG
NOS2	UBA52
NOS2	CCT8
FOXO1	HDAC2
FOXO1	GNAO1
FOXO1	MARCKSL1
FOXO1	ZBTB16
ITGAM	NOG
NOG	TREX1
NOG	NRG1
NOG	STON2
NOG	CNTLN
NOG	ATP1A1
NOG	MTA3
NOG	LNX1
NOG	GNAO1
NOG	GNE
NOG	ZBTB16
NOG	ATP1B3
NOG	SCLT1
NOG	SLC23A2
NOG	PTGS1
NOG	SLIT2
NOG	TCF3
UBE2G1	RNF4
UBE2G1	ZBTB16
UBE2G1	LNX1
BLK	PICK1
HMG20A	HDAC2
HMG20A	PHF21A
HMG20A	PICK1
HMG20A	MTA3
NFKBID	TCF3
NFKBID	ZBTB16
NFKBID	HOXC9
RNF4	RPN1
RNF4	ZNF384
RNF4	NDUFB5
RNF4	ATP1A1
RNF4	RPA1
MARCKSL1	NDUFB5
MARCKSL1	STON2
MARCKSL1	TCF3
TP73	UBA52
TP73	HDAC2
CEBPA	RPN1
CEBPA	ZBTB20
CEBPA	CNTLN
CEBPA	PHF21A
CEBPA	STON2
GNE	ZBTB16
TUBB3	CCT8
TUBB3	PTGS1
ZNF384	PAXIP1
ZNF384	CNTLN
HLF	RBFOX2
RPA1	RBFOX2
RPA1	TREX1
RPA1	PAXIP1
RAF1	CCT8
ZBTB16	TCF3
ZBTB16	HDAC2
PAXIP1	ATP1B3
UBA52	NRG1
UBA52	LNX1
ATP1B3	SCLT1
ATP1B3	SLC23A2
ATP1B3	ATP1A1
ATP1B3	STON2
CCT8	ATP1A1
CCT8	RPN1
CNTLN	TCF3
HOXA5	PHF21A
HOXA5	PICK1
HOXA5	RBFOX2
RPN1	STON2
GNAO1	TCF3
PHF21A	SCLT1
GTF2A1	CREB3L3
SLC23A2	ATP1A1
SLC23A2	TCF3
SLIT2	TCF3
NRG1	TCF3
SCLT1	ATP1A1
TCF3	HDAC2
